DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1989-06-20,0.724,0.724,0.7212,0.7212,0.0
1989-06-21,0.7365,0.7365,0.7365,0.7365,1.0
1989-06-22,0.7322,0.7322,0.7322,0.7322,0.0
1989-06-23,0.726,0.726,0.726,0.726,0.0
1989-06-26,0.726,0.726,0.726,0.726,0.0
1989-06-27,0.718,0.718,0.718,0.718,10.0
1989-06-28,0.7135,0.7135,0.7135,0.7135,0.0
1989-06-29,0.71,0.71,0.71,0.71,0.0
1989-06-30,0.7154,0.7154,0.7154,0.7154,0.0
1989-07-03,0.7212,0.7212,0.7212,0.7212,0.0
1989-07-05,0.7305,0.7305,0.7305,0.7305,0.0
1989-07-06,0.7205,0.7205,0.7205,0.7205,0.0
1989-07-07,0.7255,0.7255,0.7255,0.7255,0.0
1989-07-10,0.7209,0.7209,0.7207,0.7207,0.0
1989-07-11,0.715,0.715,0.715,0.715,0.0
1989-07-12,0.718,0.718,0.718,0.718,0.0
1989-07-13,0.7125,0.7125,0.7125,0.7125,0.0
1989-07-14,0.711,0.711,0.711,0.711,0.0
1989-07-17,0.7143,0.7143,0.7143,0.7143,0.0
1989-07-18,0.7117,0.7117,0.7117,0.7117,0.0
1989-07-19,0.707,0.707,0.7018,0.7018,2.0
1989-07-20,0.7082,0.7082,0.7082,0.7082,0.0
1989-07-21,0.7082,0.71,0.7082,0.7082,10.0
1989-07-24,0.707,0.707,0.707,0.707,0.0
1989-07-25,0.71,0.71,0.71,0.71,0.0
1989-07-26,0.716,0.716,0.716,0.716,0.0
1989-07-27,0.716,0.716,0.716,0.716,0.0
1989-07-28,0.709,0.709,0.709,0.709,0.0
1989-07-31,0.72,0.72,0.72,0.72,0.0
1989-08-01,0.7254,0.7254,0.7254,0.7254,0.0
1989-08-02,0.7287,0.7287,0.7287,0.7287,0.0
1989-08-03,0.7251,0.7251,0.7251,0.7251,0.0
1989-08-04,0.7232,0.7232,0.7232,0.7232,0.0
1989-08-07,0.7232,0.7232,0.7232,0.7232,0.0
1989-08-08,0.7282,0.7282,0.7282,0.7282,0.0
1989-08-09,0.7282,0.7282,0.7282,0.7282,0.0
1989-08-10,0.726,0.726,0.726,0.726,0.0
1989-08-11,0.7221,0.7221,0.7221,0.7221,0.0
1989-08-14,0.7235,0.7235,0.7235,0.7235,0.0
1989-08-15,0.7176,0.7176,0.7176,0.7176,0.0
1989-08-16,0.718,0.718,0.718,0.718,0.0
1989-08-17,0.7185,0.7185,0.7185,0.7185,0.0
1989-08-18,0.722,0.722,0.722,0.722,0.0
1989-08-21,0.7244,0.7244,0.7244,0.7244,0.0
1989-08-22,0.7304,0.7304,0.7304,0.7304,0.0
1989-08-23,0.7304,0.7304,0.7304,0.7304,0.0
1989-08-24,0.7274,0.7274,0.7274,0.7274,0.0
1989-08-25,0.725,0.725,0.725,0.725,0.0
1989-08-28,0.7266,0.7266,0.7266,0.7266,0.0
1989-08-29,0.7346,0.7346,0.7346,0.7346,0.0
1989-08-30,0.7319,0.7319,0.7319,0.7319,0.0
1989-08-31,0.73,0.73,0.73,0.73,0.0
1989-09-01,0.726,0.726,0.726,0.726,0.0
1989-09-05,0.727,0.727,0.727,0.727,2.0
1989-09-06,0.7297,0.7297,0.7297,0.7297,0.0
1989-09-07,0.729,0.7325,0.729,0.7325,1.0
1989-09-08,0.7325,0.7325,0.7325,0.7325,0.0
1989-09-11,0.7313,0.7313,0.7313,0.7313,0.0
1989-09-12,0.7338,0.7338,0.7338,0.7338,0.0
1989-09-13,0.7447,0.7447,0.7447,0.7447,0.0
1989-09-14,0.7432,0.7432,0.7432,0.7432,0.0
1989-09-15,0.7455,0.7455,0.7455,0.7455,0.0
1989-09-18,0.7445,0.7445,0.7445,0.7445,0.0
1989-09-19,0.743,0.743,0.743,0.743,0.0
1989-09-20,0.743,0.743,0.743,0.743,1.0
1989-09-21,0.7396,0.742,0.7396,0.742,21.0
1989-09-22,0.751,0.751,0.749,0.7503,60.0
1989-09-25,0.7573,0.7595,0.757,0.7595,62.0
1989-09-26,0.7595,0.7595,0.7565,0.757,1.0
1989-09-27,0.7533,0.7533,0.7533,0.7533,0.0
1989-09-28,0.7465,0.7471,0.7424,0.7424,7.0
1989-09-29,0.746,0.746,0.746,0.746,0.0
1989-10-02,0.748,0.748,0.7454,0.7454,3.0
1989-10-03,0.7485,0.7485,0.748,0.748,0.0
1989-10-04,0.747,0.7475,0.747,0.7475,1.0
1989-10-05,0.7475,0.7475,0.7475,0.7475,0.0
1989-10-06,0.7535,0.7535,0.7535,0.7535,0.0
