DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-12-17,98.835,98.835,98.835,98.835,0.0
2019-12-18,98.785,98.785,98.785,98.785,0.0
2019-12-19,98.72,98.72,98.72,98.72,0.0
2019-12-20,98.7,98.7,98.7,98.7,0.0
2019-12-23,98.69,98.69,98.69,98.69,0.0
2019-12-24,98.675,98.675,98.675,98.675,0.0
2019-12-27,98.68,98.68,98.68,98.68,0.0
2019-12-30,98.68,98.68,98.68,98.68,0.0
2019-12-31,98.615,98.615,98.615,98.615,0.0
2020-01-02,98.64,98.64,98.64,98.64,0.0
2020-01-03,98.73,98.73,98.73,98.73,0.0
2020-01-06,98.78,98.78,98.78,98.78,0.0
2020-01-07,98.765,98.765,98.765,98.765,0.0
2020-01-08,98.8,98.8,98.8,98.8,0.0
2020-01-09,98.745,98.745,98.745,98.745,0.0
2020-01-10,98.73,98.73,98.73,98.73,0.0
2020-01-13,98.775,98.775,98.775,98.775,0.0
2020-01-14,98.725,98.725,98.725,98.725,0.0
2020-01-15,98.77,98.77,98.77,98.77,0.0
2020-01-16,98.8,98.8,98.8,98.8,0.0
2020-01-17,98.805,98.805,98.805,98.805,0.0
2020-01-20,98.81,98.81,98.81,98.81,0.0
2020-01-21,98.825,98.825,98.825,98.825,0.0
2020-01-22,98.87,98.87,98.87,98.87,0.0
2020-01-23,98.885,98.885,98.885,98.885,0.0
2020-01-24,98.9,98.9,98.9,98.9,0.0
2020-01-27,98.93,98.93,98.93,98.93,0.0
2020-01-28,99.035,99.035,99.035,99.035,0.0
2020-01-29,98.975,98.975,98.975,98.975,0.0
2020-01-30,99.025,99.025,99.025,99.025,0.0
2020-01-31,99.035,99.035,99.035,99.035,0.0
2020-02-03,99.065,99.065,99.065,99.065,0.0
2020-02-04,99.065,99.065,99.065,99.065,0.0
2020-02-05,98.955,98.955,98.955,98.955,0.0
2020-02-06,98.945,98.945,98.895,98.895,3.0
2020-02-07,98.945,98.945,98.945,98.945,0.0
2020-02-10,98.98,98.98,98.98,98.98,0.0
2020-02-11,98.97,98.97,98.97,98.97,0.0
2020-02-12,98.925,98.925,98.925,98.925,0.0
2020-02-13,98.94,98.94,98.94,98.94,0.0
2020-02-14,98.94,98.94,98.94,98.94,0.0
2020-02-17,98.93,98.93,98.93,98.93,705.0
2020-02-18,98.97,98.97,98.97,98.97,1.0
2020-02-19,98.965,98.965,98.965,98.965,3.0
2020-02-20,99.0,99.0,99.0,99.0,0.0
2020-02-21,99.065,99.065,99.065,99.065,1.0
2020-02-24,99.085,99.085,99.085,99.085,0.0
2020-02-25,99.075,99.075,99.075,99.075,32.0
2020-02-26,99.085,99.085,99.085,99.085,16.0
2020-02-27,99.1,99.15,99.1,99.15,16.0
2020-02-28,99.165,99.185,99.145,99.185,1961.0
2020-03-02,99.32,99.32,99.2,99.2,13731.0
2020-03-03,99.17,99.235,99.17,99.21,2449.0
2020-03-04,99.26,99.3,99.26,99.285,553.0
2020-03-05,99.205,99.235,99.205,99.23,1315.0
2020-03-06,99.29,99.34,99.28,99.33,1847.0
2020-03-09,99.43,99.46,99.37,99.4,6971.0
2020-03-10,99.3725,99.415,99.2125,99.215,299256.0
2020-03-11,99.2125,99.355,99.205,99.3425,588826.0
2020-03-12,99.2225,99.32,99.2225,99.26,393649.0
2020-03-13,99.25,99.275,98.94,99.05,167657.0
2020-03-16,99.05,99.21,99.0375,99.105,128309.0
2020-03-17,99.065,99.065,98.975,98.99,97846.0
2020-03-18,98.865,98.875,98.8,98.81,123578.0
2020-03-19,98.725,98.725,97.485,98.515,127037.0
2020-03-20,98.61,98.98,98.6,98.865,129932.0
2020-03-23,98.96,99.15,98.925,99.095,148877.0
2020-03-24,99.115,99.17,99.105,99.115,104296.0
2020-03-25,99.075,99.085,99.015,99.035,110488.0
2020-03-26,99.055,99.125,99.05,99.09,90112.0
2020-03-27,99.08,99.12,99.06,99.095,74600.0
2020-03-30,99.185,99.265,99.175,99.24,101294.0
2020-03-31,99.2,99.265,99.18,99.26,134811.0
2020-04-01,99.27,99.345,99.26,99.34,97978.0
2020-04-02,99.335,99.36,99.23,99.25,114918.0
2020-04-03,99.25,99.26,99.18,99.255,86851.0
2020-04-06,99.24,99.275,99.22,99.24,62350.0
2020-04-07,99.19,99.2,99.09,99.095,85383.0
2020-04-08,99.125,99.13,99.05,99.095,91036.0
2020-04-09,99.045,99.115,99.035,99.105,75944.0
2020-04-14,99.085,99.135,99.065,99.085,57170.0
2020-04-15,99.085,99.1,99.07,99.095,88087.0
2020-04-16,99.195,99.2,99.145,99.16,86142.0
2020-04-17,99.14,99.16,99.12,99.15,79288.0
2020-04-20,99.18,99.185,99.155,99.17,68240.0
2020-04-21,99.18,99.185,99.125,99.15,85449.0
2020-04-22,99.17,99.175,99.145,99.165,105054.0
2020-04-23,99.135,99.145,99.115,99.13,73644.0
2020-04-24,99.135,99.135,99.1,99.13,87786.0
2020-04-27,99.11,99.115,99.085,99.095,68440.0
2020-04-28,99.045,99.095,99.035,99.08,126595.0
2020-04-29,99.1,99.105,99.07,99.085,57653.0
2020-04-30,99.08,99.12,99.065,99.115,104287.0
2020-05-01,99.105,99.14,99.1,99.135,72454.0
2020-05-04,99.16,99.18,99.15,99.175,78527.0
2020-05-05,99.165,99.18,99.13,99.14,69229.0
2020-05-06,99.135,99.135,99.085,99.09,97992.0
2020-05-07,99.08,99.095,99.06,99.08,107219.0
2020-05-08,99.105,99.13,99.085,99.115,72994.0
2020-05-11,99.065,99.07,99.03,99.045,85831.0
2020-05-12,99.035,99.06,99.02,99.05,108348.0
2020-05-13,99.07,99.09,99.04,99.05,263858.0
2020-05-14,99.09,99.125,99.09,99.11,135315.0
2020-05-15,99.12,99.13,99.085,99.1,101056.0
