DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-09-01,96.28,96.28,96.28,96.28,0.0
2022-09-02,96.32,96.32,96.32,96.32,0.0
2022-09-05,96.31,96.31,96.31,96.31,0.0
2022-09-06,96.37,96.37,96.37,96.37,0.0
2022-09-07,96.33,96.33,96.33,96.33,0.0
2022-09-08,96.52,96.52,96.52,96.52,0.0
2022-09-09,96.53,96.53,96.53,96.53,0.0
2022-09-12,96.51,96.51,96.51,96.51,0.0
2022-09-13,96.555,96.555,96.555,96.555,0.0
2022-09-14,96.41,96.41,96.41,96.41,0.0
2022-09-15,96.265,96.265,96.265,96.265,0.0
2022-09-16,96.21,96.21,96.21,96.21,0.0
2022-09-19,96.245,96.245,96.245,96.245,0.0
2022-09-20,96.29,96.29,96.29,96.29,0.0
2022-09-21,96.295,96.295,96.295,96.295,0.0
2022-09-22,96.275,96.275,96.275,96.275,0.0
2022-09-23,95.955,95.955,95.955,95.955,0.0
2022-09-26,95.785,95.785,95.785,95.785,0.0
2022-09-27,95.77,95.77,95.77,95.77,0.0
2022-09-28,95.805,95.805,95.805,95.805,0.0
2022-09-29,95.945,95.945,95.945,95.945,0.0
2022-09-30,95.985,95.985,95.985,95.985,0.0
2022-10-03,95.96,95.96,95.96,95.96,0.0
2022-10-04,96.485,96.485,96.485,96.485,0.0
2022-10-05,96.465,96.465,96.465,96.465,0.0
2022-10-06,96.39,96.39,96.39,96.39,0.0
2022-10-07,96.18,96.18,96.18,96.18,0.0
2022-10-10,96.13,96.13,96.13,96.13,0.0
2022-10-11,96.03,96.03,96.03,96.03,0.0
2022-10-12,96.075,96.075,96.075,96.075,0.0
2022-10-13,96.085,96.085,96.085,96.085,0.0
2022-10-14,95.98,95.98,95.98,95.98,0.0
2022-10-17,95.985,95.985,95.985,95.985,0.0
2022-10-18,96.045,96.045,96.045,96.045,0.0
2022-10-19,95.95,95.95,95.95,95.95,0.0
2022-10-20,95.805,95.805,95.805,95.805,0.0
2022-10-21,95.635,95.635,95.635,95.635,0.0
2022-10-24,95.765,95.765,95.765,95.765,0.0
2022-10-25,95.825,95.825,95.825,95.825,0.0
2022-10-26,95.885,95.885,95.885,95.885,0.0
2022-10-27,96.015,96.015,96.015,96.015,0.0
2022-10-28,96.095,96.095,96.095,96.095,0.0
2022-10-31,96.08,96.08,96.08,96.08,0.0
2022-11-01,96.08,96.08,96.08,96.08,0.0
2022-11-02,95.965,95.965,95.965,95.965,0.0
2022-11-03,95.865,95.865,95.865,95.865,0.0
2022-11-04,96.005,96.005,96.005,96.005,0.0
2022-11-07,95.985,95.985,95.985,95.985,0.0
2022-11-08,95.905,95.905,95.905,95.905,0.0
2022-11-09,95.985,95.985,95.985,95.985,0.0
2022-11-10,96.18,96.18,96.18,96.18,0.0
2022-11-11,96.245,96.245,96.245,96.245,0.0
2022-11-14,96.135,96.135,96.135,96.135,0.0
2022-11-15,96.125,96.125,96.125,96.125,0.0
2022-11-16,96.165,96.165,96.165,96.165,0.0
2022-11-17,96.245,96.245,96.245,96.245,0.0
2022-11-18,96.215,96.215,96.215,96.215,0.0
2022-11-21,96.215,96.215,96.215,96.215,0.0
2022-11-22,96.22,96.22,96.22,96.22,0.0
2022-11-23,96.11,96.11,96.11,96.11,0.0
2022-11-24,96.12,96.14,96.085,96.14,100.0
2022-11-25,96.155,96.155,96.155,96.155,0.0
2022-11-28,96.225,96.225,96.225,96.225,0.0
2022-11-29,96.195,96.195,96.195,96.195,0.0
2022-11-30,96.295,96.295,96.295,96.295,0.0
2022-12-01,96.34,96.34,96.34,96.34,0.0
2022-12-02,96.455,96.455,96.455,96.455,0.0
2022-12-05,96.475,96.475,96.475,96.475,0.0
2022-12-06,96.38,96.38,96.38,96.38,0.0
2022-12-07,96.375,96.375,96.375,96.375,0.0
2022-12-08,96.41,96.41,96.41,96.41,0.0
2022-12-09,96.435,96.435,96.435,96.435,0.0
2022-12-12,96.42,96.42,96.42,96.42,0.0
2022-12-13,96.41,96.41,96.41,96.41,0.0
2022-12-14,96.44,96.44,96.44,96.44,0.0
2022-12-15,96.315,96.315,96.315,96.315,0.0
2022-12-16,96.315,96.315,96.315,96.315,0.0
2022-12-19,96.325,96.325,96.325,96.325,0.0
2022-12-20,96.27,96.27,96.27,96.27,0.0
2022-12-21,96.35,96.35,96.35,96.35,0.0
2022-12-22,96.265,96.265,96.265,96.265,0.0
2022-12-23,96.21,96.21,96.21,96.21,0.0
2022-12-28,96.05,96.05,96.05,96.05,0.0
2022-12-29,95.995,95.995,95.995,95.995,0.0
2022-12-30,95.98,95.98,95.98,95.98,0.0
2023-01-03,96.03,96.03,96.03,96.03,0.0
2023-01-04,96.105,96.105,96.105,96.105,0.0
2023-01-05,96.1,96.1,96.1,96.1,0.0
2023-01-06,96.06,96.06,96.06,96.06,0.0
2023-01-09,96.155,96.155,96.155,96.155,0.0
2023-01-10,96.195,96.195,96.195,96.195,0.0
2023-01-11,96.225,96.225,96.225,96.225,0.0
2023-01-12,96.3,96.3,96.3,96.3,0.0
2023-01-13,96.345,96.345,96.345,96.345,0.0
2023-01-16,96.33,96.33,96.33,96.33,0.0
2023-01-17,96.34,96.34,96.34,96.34,0.0
2023-01-18,96.345,96.345,96.34,96.34,150.0
2023-01-19,96.57,96.57,96.57,96.57,0.0
2023-01-20,96.56,96.56,96.56,96.56,0.0
2023-01-23,96.535,96.535,96.535,96.535,0.0
2023-01-24,96.53,96.53,96.53,96.53,0.0
2023-01-25,96.365,96.365,96.365,96.365,0.0
2023-01-26,96.375,96.375,96.375,96.375,0.0
2023-01-27,96.32,96.32,96.32,96.32,0.0
2023-01-30,96.305,96.335,96.305,96.335,50.0
2023-01-31,96.36,96.36,96.36,96.36,0.0
2023-02-01,96.33,96.33,96.33,96.33,0.0
2023-02-02,96.42,96.42,96.42,96.42,0.0
2023-02-03,96.545,96.545,96.545,96.545,0.0
2023-02-06,96.415,96.415,96.415,96.415,0.0
2023-02-07,96.25,96.25,96.25,96.25,0.0
2023-02-08,96.2,96.2,96.2,96.2,0.0
2023-02-09,96.13,96.13,96.13,96.13,0.0
2023-02-10,96.035,96.035,96.035,96.035,0.0
2023-02-13,95.96,95.96,95.96,95.96,0.0
2023-02-14,95.975,95.975,95.975,95.975,0.0
2023-02-15,95.925,95.925,95.925,95.925,0.0
2023-02-16,95.955,95.955,95.955,95.955,0.0
2023-02-17,95.905,95.905,95.905,95.905,0.0
2023-02-20,95.87,95.87,95.87,95.87,0.0
2023-02-21,95.8,95.8,95.8,95.8,0.0
2023-02-22,95.835,95.835,95.835,95.835,0.0
2023-02-23,95.805,95.805,95.805,95.805,0.0
2023-02-24,95.805,95.805,95.805,95.805,0.0
2023-02-27,95.73,95.73,95.73,95.73,0.0
2023-02-28,95.78,95.78,95.78,95.78,0.0
2023-03-01,95.885,95.885,95.885,95.885,0.0
2023-03-02,95.88,95.88,95.88,95.88,0.0
2023-03-03,95.88,95.88,95.88,95.88,0.0
2023-03-06,95.89,95.89,95.89,95.89,0.0
2023-03-07,96.07,96.07,96.07,96.07,0.0
2023-03-08,96.01,96.01,96.01,96.01,0.0
2023-03-09,96.025,96.025,96.025,96.025,0.0
2023-03-10,96.12,96.12,96.12,96.12,0.0
2023-03-13,96.24,96.24,96.24,96.24,0.0
2023-03-14,96.59,96.59,96.59,96.59,0.0
2023-03-15,96.46,96.46,96.46,96.46,0.0
2023-03-16,96.83,96.83,96.83,96.83,0.0
2023-03-17,96.55,96.55,96.55,96.55,0.0
2023-03-20,96.84,96.84,96.84,96.84,0.0
2023-03-21,96.845,96.845,96.845,96.845,0.0
2023-03-22,96.63,96.63,96.63,96.63,0.0
