DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2005-09-09,94.23,94.23,94.23,94.23,0.0
2005-09-12,94.21,94.21,94.21,94.21,0.0
2005-09-13,94.21,94.21,94.21,94.21,0.0
2005-09-14,94.29,94.29,94.29,94.29,0.0
2005-09-15,94.28,94.28,94.28,94.28,0.0
2005-09-16,94.3,94.3,94.3,94.3,0.0
2005-09-19,94.25,94.25,94.25,94.25,0.0
2005-09-20,94.3,94.3,94.3,94.3,0.0
2005-09-21,94.32,94.32,94.32,94.32,0.0
2005-09-22,94.36,94.36,94.36,94.36,0.0
2005-09-23,94.33,94.33,94.33,94.33,0.0
2005-09-26,94.3,94.3,94.3,94.3,0.0
2005-09-27,94.14,94.14,94.14,94.14,0.0
2005-09-28,94.08,94.08,94.08,94.08,0.0
2005-09-29,94.12,94.12,94.12,94.12,0.0
2005-09-30,94.12,94.12,94.12,94.12,0.0
2005-10-03,94.08,94.08,94.08,94.08,0.0
2005-10-04,94.05,94.05,94.05,94.05,0.0
2005-10-05,94.12,94.12,94.12,94.12,0.0
2005-10-06,94.16,94.16,94.16,94.16,0.0
2005-10-07,94.12,94.12,94.12,94.12,0.0
2005-10-10,94.13,94.13,94.13,94.13,0.0
2005-10-11,94.14,94.14,94.14,94.14,0.0
2005-10-12,94.09,94.09,94.09,94.09,0.0
2005-10-13,94.07,94.07,94.07,94.07,0.0
2005-10-14,94.05,94.05,94.05,94.05,0.0
2005-10-17,94.02,94.02,94.02,94.02,0.0
2005-10-18,94.03,94.03,94.03,94.03,0.0
2005-10-19,94.08,94.08,94.08,94.08,0.0
2005-10-20,94.1,94.1,94.1,94.1,0.0
2005-10-21,94.11,94.11,94.11,94.11,0.0
2005-10-24,94.14,94.14,94.14,94.14,0.0
2005-10-25,94.08,94.08,94.08,94.08,0.0
2005-10-26,94.03,94.03,94.03,94.03,0.0
2005-10-27,94.04,94.04,94.04,94.04,0.0
2005-10-28,94.08,94.08,94.08,94.08,0.0
2005-10-31,94.03,94.03,94.03,94.03,0.0
2005-11-01,94.04,94.04,94.04,94.04,0.0
2005-11-02,94.06,94.06,94.06,94.06,0.0
2005-11-03,94.02,94.02,94.02,94.02,0.0
2005-11-04,93.94,93.94,93.94,93.94,0.0
2005-11-07,93.93,93.93,93.93,93.93,0.0
2005-11-08,93.95,93.95,93.95,93.95,0.0
2005-11-09,93.98,93.98,93.98,93.98,0.0
2005-11-10,93.95,93.95,93.95,93.95,0.0
2005-11-11,94.0,94.0,94.0,94.0,0.0
2005-11-14,94.08,94.08,94.08,94.08,0.0
2005-11-15,94.0,94.0,94.0,94.0,0.0
2005-11-16,94.03,94.03,94.03,94.03,0.0
2005-11-17,94.08,94.08,94.08,94.08,0.0
2005-11-18,94.07,94.07,94.07,94.07,0.0
2005-11-21,94.02,94.02,94.02,94.02,0.0
2005-11-22,94.08,94.08,94.08,94.08,0.0
2005-11-23,94.09,94.09,94.09,94.09,0.0
2005-11-24,94.03,94.03,94.03,94.03,0.0
2005-11-25,94.05,94.05,94.05,94.05,0.0
2005-11-28,94.06,94.06,94.06,94.06,0.0
2005-11-29,94.08,94.08,94.08,94.08,0.0
2005-11-30,94.07,94.07,94.07,94.07,0.0
2005-12-01,94.05,94.05,94.05,94.05,0.0
2005-12-02,94.07,94.07,94.07,94.07,0.0
2005-12-05,93.98,93.98,93.98,93.98,0.0
2005-12-06,93.92,93.92,93.92,93.92,0.0
2005-12-07,93.95,93.95,93.95,93.95,0.0
2005-12-08,93.92,93.92,93.92,93.92,0.0
2005-12-09,94.0,94.0,94.0,94.0,0.0
2005-12-12,93.96,93.96,93.96,93.96,0.0
2005-12-13,93.96,93.96,93.96,93.96,0.0
