DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2003-05-26,176.5,176.5,176.5,176.5,0.0
2003-05-27,179.0,179.0,179.0,179.0,0.0
2003-05-28,179.0,179.0,179.0,179.0,0.0
2003-05-29,179.0,179.0,179.0,179.0,0.0
2003-05-30,184.0,184.0,184.0,184.0,0.0
2003-06-02,182.0,182.0,182.0,182.0,0.0
2003-06-03,182.0,182.0,182.0,182.0,0.0
2003-06-04,181.5,181.5,181.5,181.5,0.0
2003-06-05,179.5,179.5,179.5,179.5,0.0
2003-06-06,181.5,181.5,181.5,181.5,0.0
2003-06-10,185.0,185.0,185.0,185.0,0.0
2003-06-11,186.0,186.0,186.0,186.0,0.0
2003-06-12,184.0,184.0,184.0,184.0,0.0
2003-06-13,184.5,184.5,184.5,184.5,0.0
2003-06-16,184.0,184.0,184.0,184.0,0.0
2003-06-17,186.5,186.5,186.5,186.5,0.0
2003-06-18,185.5,185.5,185.5,185.5,0.0
2003-06-19,182.5,182.5,182.5,182.5,0.0
2003-06-23,184.0,184.0,184.0,184.0,0.0
2003-06-24,182.0,182.0,182.0,182.0,0.0
2003-06-25,184.5,184.5,184.5,184.5,0.0
2003-06-26,178.5,178.5,178.5,178.5,0.0
2003-06-27,178.5,178.5,178.5,178.5,0.0
2003-06-30,174.5,174.5,174.5,174.5,0.0
2003-07-01,171.5,171.5,171.5,171.5,0.0
2003-07-02,172.0,172.0,172.0,172.0,0.0
2003-07-03,174.5,174.5,174.5,174.5,0.0
2003-07-04,172.0,172.0,172.0,172.0,0.0
2003-07-07,171.0,171.0,171.0,171.0,0.0
2003-07-08,169.5,169.5,169.5,169.5,0.0
2003-07-09,170.5,170.5,170.5,170.5,0.0
2003-07-11,167.5,167.5,167.5,167.5,0.0
2003-07-14,174.5,174.5,174.5,174.5,0.0
2003-07-15,172.0,172.0,172.0,172.0,0.0
2003-07-16,173.0,173.0,173.0,173.0,0.0
2003-07-17,172.3,172.3,172.3,172.3,0.0
2003-07-18,177.5,177.5,177.5,177.5,0.0
2003-07-22,184.5,184.5,184.5,184.5,0.0
2003-07-23,184.5,184.5,184.5,184.5,0.0
2003-07-24,179.5,179.5,179.5,179.5,0.0
2003-07-25,181.5,181.5,181.5,181.5,0.0
2003-07-28,177.5,177.5,177.5,177.5,0.0
2003-07-29,181.5,181.5,181.5,181.5,0.0
2003-07-30,178.5,178.5,178.5,178.5,0.0
2003-07-31,180.5,180.5,180.5,180.5,0.0
2003-08-01,188.0,188.0,188.0,188.0,0.0
2003-08-04,188.5,188.5,188.5,188.5,0.0
2003-08-05,191.5,191.5,191.5,191.5,0.0
2003-08-06,189.5,189.5,189.5,189.5,0.0
2003-08-07,193.0,193.0,193.0,193.0,0.0
2003-08-08,194.0,194.0,194.0,194.0,0.0
2003-08-11,193.5,193.5,193.5,193.5,0.0
2003-08-12,192.0,192.0,192.0,192.0,0.0
2003-08-13,193.5,193.5,193.5,193.5,0.0
2003-08-14,196.0,196.0,196.0,196.0,0.0
2003-08-15,197.5,197.5,197.5,197.5,0.0
2003-08-18,200.0,200.0,200.0,200.0,0.0
2003-08-19,205.0,205.0,205.0,205.0,0.0
2003-08-20,201.5,201.5,201.5,201.5,0.0
2003-08-21,200.5,200.5,200.5,200.5,0.0
2003-08-22,206.5,206.5,206.5,206.5,0.0
2003-08-25,205.5,205.5,205.5,205.5,0.0
2003-08-26,208.5,208.5,208.5,208.5,0.0
2003-08-27,210.5,210.5,210.5,210.5,0.0
2003-08-28,215.0,215.0,215.0,215.0,0.0
2003-08-29,209.0,209.0,209.0,209.0,0.0
2003-09-01,208.3,208.3,208.3,208.3,0.0
2003-09-02,213.0,213.0,213.0,213.0,0.0
2003-09-03,214.0,214.0,214.0,214.0,0.0
2003-09-04,222.0,222.0,222.0,222.0,0.0
2003-09-05,215.3,215.3,215.3,215.3,0.0
2003-09-08,211.5,211.5,211.5,211.5,0.0
2003-09-09,208.5,208.5,208.5,208.5,0.0
2003-09-10,207.0,207.0,207.0,207.0,0.0
2003-09-11,202.0,202.0,202.0,202.0,0.0
2003-09-12,202.0,202.0,202.0,202.0,0.0
2003-09-15,202.0,202.0,202.0,202.0,0.0
2003-09-16,194.5,194.5,194.5,194.5,0.0
2003-09-17,192.8,192.8,192.8,192.8,0.0
2003-09-18,193.3,193.3,193.3,193.3,0.0
2003-09-19,193.0,193.0,193.0,193.0,0.0
2003-09-22,188.0,188.0,188.0,188.0,0.0
2003-09-23,190.0,190.0,190.0,190.0,0.0
2003-09-24,187.8,187.8,187.8,187.8,0.0
2003-09-25,187.8,187.8,187.8,187.8,0.0
2003-09-26,187.8,187.8,187.8,187.8,0.0
2003-09-29,189.0,189.0,189.0,189.0,0.0
2003-09-30,188.0,188.0,188.0,188.0,0.0
2003-10-01,188.0,188.0,188.0,188.0,0.0
2003-10-02,187.5,187.5,187.5,187.5,0.0
2003-10-03,183.5,183.5,183.5,183.5,0.0
2003-10-06,183.5,183.5,183.5,183.5,0.0
2003-10-07,183.5,183.5,183.5,183.5,0.0
2003-10-08,178.0,178.0,178.0,178.0,0.0
2003-10-09,179.0,179.0,179.0,179.0,0.0
2003-10-10,179.0,179.0,179.0,179.0,0.0
2003-10-13,176.0,176.0,176.0,176.0,0.0
2003-10-14,179.3,179.3,179.3,179.3,0.0
2003-10-15,174.0,174.0,174.0,174.0,0.0
2003-10-16,175.5,175.5,175.5,175.5,0.0
2003-10-17,176.5,176.5,176.5,176.5,0.0
2003-10-20,168.5,168.5,168.5,168.5,0.0
2003-10-21,172.5,172.5,172.5,172.5,0.0
2003-10-22,173.0,173.0,173.0,173.0,0.0
2003-10-23,177.5,177.5,177.5,177.5,0.0
2003-10-24,181.0,181.0,181.0,181.0,0.0
2003-10-27,182.0,182.0,182.0,182.0,0.0
2003-10-28,181.0,181.0,181.0,181.0,0.0
2003-10-29,180.5,180.5,180.5,180.5,0.0
2003-10-30,183.5,183.5,183.5,183.5,0.0
2003-10-31,182.0,182.0,182.0,182.0,0.0
2003-11-03,180.0,180.0,180.0,180.0,0.0
2003-11-04,179.5,179.5,179.5,179.5,0.0
2003-11-05,178.5,178.5,178.5,178.5,0.0
2003-11-06,178.5,178.5,178.5,178.5,0.0
2003-11-07,179.5,179.5,179.5,179.5,0.0
2003-11-10,179.5,179.5,179.5,179.5,0.0
2003-11-11,185.5,185.5,185.5,185.5,0.0
2003-11-12,185.5,185.5,185.5,185.5,0.0
2003-11-13,185.5,185.5,185.5,185.5,0.0
2003-11-14,185.0,185.0,185.0,185.0,0.0
2003-11-17,189.5,189.5,189.5,189.5,0.0
2003-11-18,184.5,184.5,184.5,184.5,0.0
2003-11-19,179.5,179.5,179.5,179.5,0.0
2003-11-20,175.5,175.5,175.5,175.5,0.0
2003-11-21,175.5,175.5,175.5,175.5,0.0
2003-11-24,179.0,179.0,179.0,179.0,0.0
2003-11-25,178.0,178.0,178.0,178.0,0.0
2003-11-26,178.0,178.0,178.0,178.0,0.0
2003-11-27,179.5,179.5,179.5,179.5,0.0
2003-11-28,176.0,176.0,176.0,176.0,0.0
2003-12-01,176.5,176.5,176.5,176.5,0.0
2003-12-02,173.5,173.5,173.5,173.5,0.0
2003-12-03,172.0,172.0,172.0,172.0,0.0
2003-12-04,168.5,168.5,168.5,168.5,0.0
2003-12-05,169.5,169.5,169.5,169.5,0.0
2003-12-08,169.5,169.5,169.5,169.5,0.0
2003-12-09,171.0,171.0,167.0,167.0,25.0
2003-12-10,165.0,165.0,165.0,165.0,0.0
2003-12-11,158.0,158.0,158.0,158.0,0.0
2003-12-12,158.0,158.0,158.0,158.0,0.0
2003-12-15,158.0,158.0,158.0,158.0,0.0
2003-12-16,158.0,158.0,158.0,158.0,0.0
2003-12-17,159.0,159.0,159.0,159.0,0.0
2003-12-18,161.5,161.5,161.5,161.5,0.0
2003-12-19,161.5,161.5,161.5,161.5,0.0
2003-12-22,161.5,161.5,161.5,161.5,0.0
2003-12-23,161.5,161.5,161.5,161.5,0.0
2003-12-24,161.5,161.5,161.5,161.5,0.0
2003-12-29,159.3,159.3,159.3,159.3,0.0
2003-12-30,160.5,160.5,160.5,160.5,0.0
2003-12-31,159.3,159.3,159.3,159.3,0.0
2004-01-02,159.3,159.3,159.3,159.3,0.0
2004-01-05,159.8,159.8,159.8,159.8,0.0
2004-01-06,160.0,160.0,160.0,160.0,0.0
2004-01-07,160.0,160.0,160.0,160.0,0.0
2004-01-08,160.0,160.0,160.0,160.0,0.0
2004-01-09,163.0,163.0,163.0,163.0,0.0
2004-01-12,158.5,158.5,158.5,158.5,0.0
2004-01-13,159.0,159.0,159.0,159.0,0.0
2004-01-14,157.5,157.5,157.5,157.5,0.0
2004-01-15,160.0,160.0,160.0,160.0,0.0
2004-01-16,161.0,161.0,161.0,161.0,0.0
2004-01-19,165.0,165.0,165.0,165.0,0.0
2004-01-20,167.5,167.5,167.5,167.5,0.0
2004-01-21,167.0,167.0,167.0,167.0,0.0
2004-01-22,167.0,167.0,167.0,167.0,0.0
2004-01-23,164.0,164.0,164.0,164.0,0.0
2004-01-27,164.0,164.0,164.0,164.0,0.0
2004-01-28,164.0,164.0,164.0,164.0,0.0
2004-01-29,164.0,164.0,164.0,164.0,0.0
2004-01-30,164.0,164.0,164.0,164.0,0.0
2004-02-02,164.0,164.0,164.0,164.0,0.0
2004-02-03,164.0,164.0,164.0,164.0,0.0
2004-02-04,164.0,164.0,164.0,164.0,0.0
2004-02-05,164.0,164.0,164.0,164.0,0.0
2004-02-06,164.0,164.0,164.0,164.0,0.0
2004-02-09,164.0,164.0,164.0,164.0,0.0
2004-02-10,162.0,162.0,162.0,162.0,0.0
2004-02-11,162.0,162.0,162.0,162.0,0.0
2004-02-12,162.0,162.0,162.0,162.0,0.0
2004-02-13,162.0,162.0,162.0,162.0,0.0
2004-02-16,162.0,162.0,162.0,162.0,0.0
2004-02-17,162.0,162.0,162.0,162.0,0.0
2004-02-18,162.0,162.0,162.0,162.0,0.0
2004-02-19,162.0,162.0,162.0,162.0,0.0
2004-02-20,162.0,162.0,162.0,162.0,0.0
2004-02-23,159.5,159.5,159.5,159.5,0.0
2004-02-24,159.5,159.5,159.5,159.5,0.0
2004-02-25,161.5,161.5,161.5,161.5,0.0
