DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-03-08,120.17,120.17,120.17,120.17,0.0
2024-03-11,119.94,119.94,119.94,119.94,0.0
2024-03-12,119.49,119.49,119.49,119.49,0.0
2024-03-13,119.43,119.43,119.43,119.43,0.0
2024-03-14,118.76,118.76,118.76,118.76,0.0
2024-03-15,118.72,118.72,118.72,118.72,0.0
2024-03-18,118.79,118.79,118.79,118.79,0.0
2024-03-19,118.92,118.92,118.92,118.92,0.0
2024-03-20,118.88,118.88,118.88,118.88,0.0
2024-03-21,119.06,119.06,119.06,119.06,0.0
2024-03-22,119.53,119.53,119.53,119.53,0.0
2024-03-25,119.17,119.17,119.17,119.17,0.0
2024-03-26,119.22,119.22,119.22,119.22,0.0
2024-03-27,119.64,119.64,119.64,119.64,0.0
2024-03-28,119.54,119.54,119.54,119.54,0.0
2024-04-02,119.16,119.16,119.16,119.16,0.0
2024-04-03,119.11,119.11,119.11,119.11,0.0
2024-04-04,119.32,119.32,119.32,119.32,0.0
2024-04-05,119.05,119.05,119.05,119.05,0.0
2024-04-08,118.75,118.75,118.75,118.75,0.0
2024-04-09,119.14,119.14,119.14,119.14,0.0
2024-04-10,118.61,118.61,118.61,118.61,0.0
2024-04-11,118.49,118.49,118.49,118.49,0.0
2024-04-12,119.29,119.29,119.29,119.29,0.0
2024-04-15,118.76,118.76,118.76,118.76,0.0
2024-04-16,118.18,118.18,118.18,118.18,0.0
2024-04-17,118.48,118.48,118.48,118.48,0.0
2024-04-18,118.27,118.27,118.27,118.27,0.0
2024-04-19,118.17,118.17,118.17,118.17,0.0
2024-04-22,118.34,118.34,118.34,118.34,0.0
2024-04-23,118.31,118.31,118.31,118.31,0.0
2024-04-24,117.77,117.77,117.77,117.77,0.0
2024-04-25,117.45,117.45,117.45,117.45,0.0
2024-04-26,117.77,117.77,117.77,117.77,0.0
2024-04-29,118.07,118.07,118.07,118.07,0.0
2024-04-30,117.59,117.59,117.59,117.59,0.0
2024-05-02,117.79,117.79,117.79,117.79,0.0
2024-05-03,118.07,118.07,118.07,118.07,0.0
2024-05-06,118.33,118.33,118.33,118.33,0.0
2024-05-07,118.52,118.52,118.52,118.52,0.0
2024-05-08,118.31,118.31,118.31,118.31,0.0
2024-05-09,118.11,118.11,118.11,118.11,0.0
2024-05-10,117.94,117.94,117.94,117.94,0.0
2024-05-13,118.1,118.1,118.1,118.1,0.0
2024-05-14,117.85,117.85,117.85,117.85,0.0
2024-05-15,118.46,118.46,118.46,118.46,0.0
2024-05-16,118.37,118.37,118.37,118.37,0.0
2024-05-17,117.97,117.97,117.97,117.97,0.0
2024-05-20,117.79,117.79,117.79,117.79,0.0
2024-05-21,117.91,117.91,117.91,117.91,0.0
2024-05-22,117.82,117.82,117.82,117.82,0.0
2024-05-23,117.21,117.21,117.21,117.21,0.0
2024-05-24,117.27,117.27,117.27,117.27,0.0
2024-05-27,117.6,117.6,117.6,117.6,0.0
2024-05-28,117.4,117.4,117.4,117.4,0.0
2024-05-29,116.96,116.96,116.96,116.96,0.0
2024-05-30,116.93,116.93,116.93,116.93,0.0
2024-05-31,117.09,117.09,117.09,117.09,0.0
2024-06-03,117.44,117.44,117.44,117.44,0.0
2024-06-04,117.67,117.67,117.67,117.67,0.0
2024-06-05,117.77,117.77,117.77,117.77,0.0
2024-06-06,116.96,116.96,116.96,116.96,0.0
2024-06-07,116.74,116.74,116.74,116.74,0.0
2024-06-10,116.58,116.58,116.58,116.58,0.0
2024-06-11,116.89,116.89,116.89,116.89,0.0
2024-06-12,117.21,117.21,117.21,117.21,0.0
2024-06-13,117.38,117.38,117.38,117.38,0.0
2024-06-14,118.29,118.29,118.29,118.29,0.0
2024-06-17,117.95,117.95,117.95,117.95,0.0
2024-06-18,118.0,118.0,118.0,118.0,0.0
2024-06-19,117.99,117.99,117.99,117.99,0.0
2024-06-20,117.87,117.87,117.87,117.87,0.0
2024-06-21,118.06,118.06,118.06,118.06,0.0
2024-06-24,117.94,117.94,117.94,117.94,0.0
