DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-12-09,113.97,113.97,113.97,113.97,0.0
2013-12-10,114.69,114.69,114.69,114.69,0.0
2013-12-11,114.8,114.8,114.8,114.8,0.0
2013-12-12,114.39,114.39,114.39,114.39,0.0
2013-12-13,114.55,114.55,114.55,114.55,0.0
2013-12-16,114.9,114.9,114.9,114.9,0.0
2013-12-17,114.9,114.9,114.9,114.9,0.0
2013-12-18,114.69,114.69,114.69,114.69,0.0
2013-12-19,114.72,114.72,114.72,114.72,0.0
2013-12-20,114.46,114.46,114.46,114.46,0.0
2013-12-23,113.95,113.95,113.95,113.95,0.0
2013-12-27,113.87,113.87,113.87,113.87,0.0
2013-12-30,114.82,114.82,114.82,114.82,0.0
2014-01-02,115.81,115.81,115.81,115.81,0.0
2014-01-03,116.05,116.05,116.05,116.05,0.0
2014-01-06,116.13,116.13,116.13,116.13,0.0
2014-01-07,116.68,116.68,116.68,116.68,0.0
2014-01-08,116.61,116.61,116.61,116.61,0.0
2014-01-09,116.41,116.41,116.41,116.41,0.0
2014-01-10,114.65,114.65,114.65,114.65,0.0
2014-01-13,114.85,114.85,114.85,114.85,0.0
2014-01-14,114.97,114.97,114.97,114.97,0.0
2014-01-15,115.15,115.15,115.15,115.15,0.0
2014-01-16,115.31,115.31,115.31,115.31,0.0
2014-01-17,115.57,115.57,115.57,115.57,0.0
2014-01-20,116.06,116.06,116.06,116.06,0.0
2014-01-21,115.73,115.73,115.73,115.73,0.0
2014-01-22,115.68,115.68,115.68,115.68,0.0
2014-01-23,115.47,115.47,115.47,115.47,0.0
2014-01-24,115.09,115.09,115.09,115.09,0.0
2014-01-27,115.1,115.1,115.1,115.1,0.0
2014-01-28,115.57,115.57,115.57,115.57,0.0
2014-01-29,115.56,115.56,115.56,115.56,0.0
2014-01-30,115.89,115.89,115.89,115.89,0.0
2014-01-31,116.42,116.42,116.42,116.42,0.0
2014-02-03,116.51,116.51,116.51,116.51,0.0
2014-02-04,116.3,116.3,116.3,116.3,0.0
2014-02-05,116.72,116.72,116.72,116.72,0.0
2014-02-06,116.74,116.74,116.74,116.74,0.0
2014-02-07,117.38,117.38,117.38,117.38,0.0
2014-02-10,117.55,117.55,117.55,117.55,0.0
2014-02-11,116.44,116.44,116.44,116.44,0.0
2014-02-12,117.18,117.18,117.18,117.18,0.0
2014-02-13,117.37,117.37,117.37,117.37,0.0
2014-02-14,117.66,117.66,117.66,117.66,0.0
2014-02-17,118.26,118.26,118.26,118.26,0.0
2014-02-18,118.84,118.84,118.84,118.84,0.0
2014-02-19,118.65,118.65,118.65,118.65,0.0
2014-02-20,118.09,118.09,118.09,118.09,0.0
2014-02-21,118.56,118.56,118.56,118.56,0.0
2014-02-24,118.49,118.49,118.49,118.49,0.0
2014-02-25,118.69,118.69,118.69,118.69,0.0
2014-02-26,119.06,119.06,119.06,119.06,0.0
2014-02-27,119.7,119.7,119.7,119.7,0.0
2014-02-28,119.68,119.68,119.68,119.68,0.0
2014-03-03,119.84,119.84,119.84,119.84,0.0
2014-03-04,120.4,120.4,120.4,120.4,0.0
2014-03-05,120.81,120.81,120.81,120.81,0.0
2014-03-06,119.54,119.54,119.54,119.54,0.0
2014-03-07,120.31,120.31,120.31,120.31,0.0
2014-03-10,119.3,119.3,119.3,119.3,0.0
2014-03-11,119.93,119.93,119.75,119.75,1.0
2014-03-12,119.62,119.62,119.62,119.62,0.0
2014-03-13,119.67,119.67,119.67,119.67,0.0
2014-03-14,119.32,119.32,119.32,119.32,0.0
2014-03-17,119.65,119.65,119.65,119.65,0.0
2014-03-18,119.75,119.75,119.75,119.75,0.0
2014-03-19,119.6,119.6,119.6,119.6,0.0
2014-03-20,119.18,119.18,119.18,119.18,0.0
2014-03-21,119.38,119.38,119.38,119.38,0.0
2014-03-24,119.27,119.27,119.27,119.27,0.0
2014-03-25,119.54,119.54,119.54,119.54,0.0
2014-03-26,119.77,119.77,119.77,119.77,0.0
2014-03-27,120.2,120.2,120.2,120.2,0.0
2014-03-28,120.4,120.4,120.1,120.1,1.0
2014-03-31,120.16,120.16,120.16,120.16,0.0
2014-04-01,120.58,120.58,120.58,120.58,0.0
2014-04-02,120.41,120.41,120.41,120.41,0.0
2014-04-03,120.85,120.85,120.85,120.85,0.0
2014-04-04,121.71,121.71,121.71,121.71,0.0
2014-04-07,121.58,121.58,121.58,121.58,0.0
2014-04-08,121.28,121.28,121.28,121.28,0.0
2014-04-09,121.55,121.55,121.55,121.55,0.0
2014-04-10,121.87,121.87,121.87,121.87,0.0
2014-04-11,121.4,121.4,121.4,121.4,0.0
2014-04-14,121.75,121.75,121.75,121.75,0.0
2014-04-15,122.33,122.33,122.33,122.33,0.0
2014-04-16,122.5,122.5,122.5,122.5,0.0
2014-04-17,122.3,122.3,122.3,122.3,0.0
2014-04-22,122.54,122.54,122.54,122.54,0.0
2014-04-23,122.67,122.67,122.67,122.67,0.0
2014-04-24,122.34,122.34,122.34,122.34,0.0
2014-04-25,122.38,122.38,122.38,122.38,0.0
2014-04-28,122.21,122.21,122.21,122.21,0.0
2014-04-29,122.21,122.21,122.21,122.21,0.0
2014-04-30,122.8,122.8,122.8,122.8,0.0
2014-05-02,123.66,123.66,123.06,123.06,1.0
2014-05-05,123.11,123.11,123.11,123.11,0.0
2014-05-06,123.46,123.46,123.46,123.46,0.0
2014-05-07,123.37,123.37,123.37,123.37,0.0
2014-05-08,124.12,124.12,124.12,124.12,0.0
2014-05-09,123.99,123.99,123.99,123.99,0.0
2014-05-12,123.59,123.59,123.59,123.59,0.0
2014-05-13,123.85,123.85,123.85,123.85,0.0
2014-05-14,124.05,124.05,124.03,124.03,2002.0
2014-05-15,123.63,123.63,122.59,122.59,1.0
2014-05-16,122.62,122.62,122.62,122.62,36.0
2014-05-19,122.8,122.8,121.87,121.87,2.0
2014-05-20,121.28,121.28,120.88,120.99,3283.0
2014-05-21,120.55,121.64,120.43,121.38,1336.0
2014-05-22,121.45,121.78,121.12,121.12,1919.0
2014-05-23,121.66,121.91,121.52,121.91,2079.0
2014-05-26,122.95,123.42,122.95,123.42,31.0
2014-05-27,123.7,123.78,123.29,123.34,4482.0
2014-05-28,123.5,124.19,123.49,123.99,15688.0
2014-05-29,123.92,124.12,123.69,123.75,5194.0
2014-05-30,123.71,123.85,123.55,123.74,11792.0
2014-06-02,123.68,124.06,123.66,123.73,38464.0
2014-06-03,123.7,123.92,123.31,123.49,75065.0
2014-06-04,123.32,123.62,123.2,123.32,75728.0
2014-06-05,123.39,124.27,123.29,124.04,106172.0
2014-06-06,124.26,126.21,124.21,125.79,120889.0
2014-06-09,125.79,126.45,125.77,126.26,53188.0
2014-06-10,126.25,126.35,125.3,125.59,68289.0
2014-06-11,125.32,125.69,125.1,125.54,55855.0
2014-06-12,125.3,125.56,124.95,125.23,79027.0
2014-06-13,125.33,125.73,125.05,125.66,48867.0
2014-06-16,125.63,125.91,125.48,125.61,30893.0
2014-06-17,125.63,125.63,124.98,125.12,53403.0
2014-06-18,125.05,125.36,124.66,124.94,55729.0
2014-06-19,125.61,125.81,125.33,125.52,60294.0
2014-06-20,125.35,125.47,124.78,125.14,48564.0
2014-06-23,125.16,125.66,125.0,125.58,33663.0
2014-06-24,125.51,126.06,125.46,125.85,43922.0
2014-06-25,125.95,126.28,125.64,126.2,53288.0
2014-06-26,126.05,126.43,126.05,126.33,45825.0
2014-06-27,126.25,126.43,125.93,126.34,59423.0
2014-06-30,126.25,126.49,126.05,126.18,37555.0
2014-07-01,126.2,126.43,126.06,126.33,42474.0
2014-07-02,126.45,126.51,125.54,125.66,61710.0
2014-07-03,125.68,126.27,125.22,126.09,78552.0
2014-07-04,126.26,126.65,126.26,126.53,25809.0
2014-07-07,126.44,126.63,126.35,126.58,25086.0
2014-07-08,126.61,126.61,126.21,126.37,51310.0
2014-07-09,126.36,126.38,125.61,125.97,61932.0
2014-07-10,126.02,126.12,125.2,125.38,89540.0
2014-07-11,125.35,125.9,125.05,125.84,81165.0
2014-07-14,125.86,126.17,125.6,125.97,27813.0
2014-07-15,126.02,126.4,125.95,126.19,54799.0
2014-07-16,126.33,126.66,126.27,126.54,41224.0
2014-07-17,126.61,126.93,126.49,126.77,41489.0
2014-07-18,126.75,126.86,126.36,126.63,35336.0
2014-07-21,126.92,127.16,126.57,126.93,36324.0
2014-07-22,126.95,127.11,126.76,126.86,29364.0
2014-07-23,126.83,127.36,126.73,127.26,43348.0
2014-07-24,127.32,127.51,127.12,127.27,40564.0
2014-07-25,127.26,127.61,127.26,127.42,33998.0
2014-07-28,127.47,127.93,127.35,127.9,35967.0
2014-07-29,127.86,128.3,127.82,128.16,47110.0
2014-07-30,128.19,128.39,127.52,127.94,67555.0
2014-07-31,127.7,128.04,127.44,127.76,66927.0
2014-08-01,127.71,127.73,126.7,127.17,94465.0
2014-08-04,127.47,127.87,127.24,127.68,35341.0
2014-08-05,127.95,127.95,126.99,127.1,47582.0
2014-08-06,127.22,127.29,126.52,126.71,89201.0
2014-08-07,126.53,127.18,126.0,126.28,87145.0
2014-08-08,126.26,126.7,125.41,126.46,98517.0
2014-08-11,126.72,126.98,126.63,126.89,47347.0
2014-08-12,126.78,127.66,126.77,127.57,68316.0
2014-08-13,127.4,127.96,127.25,127.62,46048.0
2014-08-14,127.62,128.42,127.62,128.33,44309.0
2014-08-15,128.26,129.08,128.26,128.89,38582.0
2014-08-18,128.88,129.03,128.28,128.51,37308.0
2014-08-19,128.49,129.01,128.46,128.93,39940.0
2014-08-20,128.87,129.26,128.86,128.91,42282.0
2014-08-21,128.89,129.25,128.65,129.09,55071.0
2014-08-22,129.08,129.22,128.88,129.04,41444.0
2014-08-25,129.25,130.51,129.2,130.23,45902.0
2014-08-26,130.08,130.85,130.08,130.52,55279.0
2014-08-27,130.9,131.36,130.75,131.05,84021.0
2014-08-28,131.0,131.22,130.1,130.36,146214.0
2014-08-29,130.41,130.94,130.41,130.52,97817.0
2014-09-01,130.45,131.19,130.45,130.69,68880.0
2014-09-02,130.84,130.84,130.27,130.37,104060.0
2014-09-03,130.5,130.59,130.08,130.21,143311.0
2014-09-04,130.4,131.97,130.03,131.33,169377.0
2014-09-05,131.56,132.54,131.48,132.42,49581.0
2014-09-08,132.48,132.48,131.99,132.1,6333.0
