DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-03-08,142.49,142.49,142.49,142.49,0.0
2013-03-11,142.76,142.76,142.76,142.76,0.0
2013-03-12,143.11,143.11,143.11,143.11,0.0
2013-03-13,143.26,143.26,143.26,143.26,0.0
2013-03-14,143.25,143.25,143.25,143.25,0.0
2013-03-15,143.51,143.51,143.51,143.51,0.0
2013-03-18,144.13,144.13,144.13,144.13,0.0
2013-03-19,144.79,144.79,144.79,144.79,0.0
2013-03-20,144.47,144.47,144.47,144.47,0.0
2013-03-21,144.64,144.64,144.64,144.64,0.0
2013-03-22,144.54,144.54,144.54,144.54,0.0
2013-03-25,144.91,144.91,144.91,144.91,0.0
2013-03-26,145.02,145.02,145.02,145.02,0.0
2013-03-27,145.76,145.76,145.76,145.76,0.0
2013-03-28,145.75,145.75,145.75,145.75,0.0
2013-04-02,145.48,145.48,145.48,145.48,0.0
2013-04-03,143.67,143.67,143.67,143.67,0.0
2013-04-04,144.11,144.11,144.11,144.11,0.0
2013-04-05,144.49,144.49,144.49,144.49,0.0
2013-04-08,144.23,144.23,144.23,144.23,200.0
2013-04-09,143.95,143.95,143.95,143.95,0.0
2013-04-10,143.5,143.5,143.5,143.5,0.0
2013-04-11,143.4,143.4,143.4,143.4,23.0
2013-04-12,144.03,144.03,144.03,144.03,0.0
2013-04-15,143.69,145.8,143.69,144.48,2.0
2013-04-16,144.17,144.17,144.17,144.17,0.0
2013-04-17,144.68,144.68,144.68,144.68,0.0
2013-04-18,144.92,144.92,144.92,144.92,100.0
2013-04-19,144.68,144.68,144.68,144.68,74.0
2013-04-22,145.0,145.0,145.0,145.0,0.0
2013-04-23,144.74,144.74,144.74,144.74,0.0
2013-04-24,144.84,144.84,144.84,144.84,0.0
2013-04-25,144.85,144.85,144.85,144.85,0.0
2013-04-26,145.19,145.19,145.19,145.19,0.0
2013-04-29,145.31,145.31,145.31,145.31,0.0
2013-04-30,145.23,145.23,145.23,145.23,0.0
2013-05-02,145.81,145.81,145.81,145.81,0.0
2013-05-03,147.0,147.0,145.5,145.75,10.0
2013-05-06,145.13,145.13,143.77,144.56,3.0
2013-05-07,143.83,143.83,143.83,143.83,0.0
2013-05-08,144.19,144.19,144.19,144.19,0.0
2013-05-09,144.24,144.24,144.24,144.24,0.0
2013-05-10,142.85,142.85,142.85,142.85,0.0
2013-05-13,142.98,142.98,142.98,142.98,0.0
