DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2005-09-12,104.7,104.7,104.7,104.7,0.0
2005-09-13,105.16,105.16,105.16,105.16,0.0
2005-09-14,105.28,105.28,105.28,105.28,0.0
2005-09-15,104.68,104.68,104.68,104.68,0.0
2005-09-16,104.42,104.42,104.42,104.42,0.0
2005-09-19,105.4,105.4,105.4,105.4,0.0
2005-09-20,105.62,105.62,105.62,105.62,0.0
2005-09-21,106.62,106.62,106.62,106.62,0.0
2005-09-22,106.64,106.64,106.64,106.64,0.0
2005-09-23,106.1,106.1,106.1,106.1,0.0
2005-09-26,104.9,104.9,104.9,104.9,0.0
2005-09-27,105.12,105.12,105.12,105.12,0.0
2005-09-28,105.52,105.52,105.52,105.52,0.0
2005-09-29,105.02,105.02,105.02,105.02,0.0
2005-09-30,105.1,105.1,105.1,105.1,0.0
2005-10-03,104.68,104.68,104.68,104.68,0.0
2005-10-04,104.8,104.8,104.8,104.8,0.0
2005-10-05,104.96,104.96,104.96,104.96,0.0
2005-10-06,104.7,104.7,104.7,104.7,0.0
2005-10-07,105.08,105.08,105.08,105.08,0.0
2005-10-10,105.3,105.3,105.3,105.3,0.0
2005-10-11,104.72,104.72,104.72,104.72,0.0
2005-10-12,104.18,104.18,104.18,104.18,0.0
2005-10-13,103.08,103.08,103.08,103.08,0.0
2005-10-14,102.86,102.86,102.86,102.86,0.0
2005-10-17,103.2,103.2,103.2,103.2,0.0
2005-10-18,103.36,103.36,103.36,103.36,0.0
2005-10-19,103.64,103.64,103.64,103.64,0.0
2005-10-20,103.52,103.52,103.52,103.52,0.0
2005-10-21,104.42,104.42,104.42,104.42,0.0
2005-10-24,103.98,103.98,103.98,103.98,0.0
2005-10-25,103.02,103.02,103.02,103.02,0.0
2005-10-26,102.3,102.3,102.3,102.3,0.0
2005-10-27,101.8,101.8,101.8,101.8,0.0
2005-10-28,101.88,101.88,101.88,101.88,0.0
2005-10-31,102.34,102.34,102.34,102.34,0.0
2005-11-01,102.16,102.16,102.16,102.16,0.0
2005-11-02,101.8,101.8,101.8,101.8,0.0
2005-11-03,101.54,101.54,101.54,101.54,0.0
2005-11-04,101.24,101.24,101.24,101.24,0.0
2005-11-07,101.24,101.24,101.24,101.24,0.0
2005-11-08,101.88,101.88,101.88,101.88,0.0
2005-11-09,101.16,101.16,101.16,101.16,0.0
2005-11-10,101.22,101.22,101.22,101.22,0.0
2005-11-11,102.38,102.38,102.38,102.38,0.0
2005-11-14,102.02,102.02,102.02,102.02,0.0
2005-11-15,102.46,102.46,102.46,102.46,0.0
2005-11-16,103.46,103.46,103.46,103.46,0.0
2005-11-17,102.24,102.24,102.24,102.24,0.0
2005-11-18,101.2,101.2,101.2,101.2,0.0
2005-11-21,101.78,101.78,101.78,101.78,0.0
2005-11-22,101.76,101.76,101.76,101.76,0.0
2005-11-23,102.04,102.04,102.04,102.04,0.0
2005-11-24,103.04,103.04,103.04,103.04,0.0
2005-11-25,103.0,103.0,103.0,103.0,0.0
2005-11-28,103.0,103.0,103.0,103.0,0.0
2005-11-29,102.28,102.28,102.28,102.28,0.0
2005-11-30,102.66,102.66,102.66,102.66,0.0
2005-12-01,103.08,103.08,103.08,103.08,0.0
2005-12-02,103.36,103.36,103.36,103.36,0.0
2005-12-05,102.98,102.98,102.98,102.98,0.0
