DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1997-04-08,112.16,112.16,112.16,112.16,1.0
1997-04-09,112.3,112.3,112.3,112.3,1.0
1997-04-10,112.12,112.12,112.12,112.12,0.0
1997-04-11,111.87,111.87,111.87,111.87,2.0
1997-04-14,112.03,112.03,112.03,112.03,0.0
1997-04-15,112.75,112.75,112.75,112.75,0.0
1997-04-16,112.88,112.88,112.88,112.88,1.0
1997-04-17,113.3,113.3,113.3,113.3,2.0
1997-04-18,113.3,113.3,113.3,113.3,0.0
1997-04-21,113.23,113.23,113.23,113.23,0.0
1997-04-22,113.27,113.27,113.27,113.27,0.0
1997-04-23,113.14,113.14,113.14,113.14,0.0
1997-04-24,112.78,112.78,112.78,112.78,0.0
1997-04-25,112.5,112.5,112.5,112.5,0.0
1997-04-28,112.25,112.25,112.25,112.25,0.0
1997-04-29,113.58,113.58,113.58,113.58,0.0
1997-04-30,114.0,114.0,114.0,114.0,0.0
1997-05-01,114.32,114.32,114.32,114.32,0.0
1997-05-02,114.7,114.7,114.7,114.7,0.0
1997-05-05,114.95,114.95,114.95,114.95,0.0
1997-05-06,115.12,115.12,115.12,115.12,0.0
1997-05-07,114.04,114.04,114.04,114.04,0.0
1997-05-08,114.33,114.33,114.33,114.33,0.0
1997-05-09,114.93,114.93,114.93,114.93,0.0
1997-05-12,114.81,114.81,114.81,114.81,0.0
1997-05-13,114.56,114.56,114.56,114.56,0.0
1997-05-14,114.8,114.8,114.8,114.8,0.0
1997-05-15,115.06,115.06,115.06,115.06,0.0
1997-05-16,115.18,115.18,114.7,114.7,10.0
1997-05-20,115.28,115.28,115.28,115.28,10.0
1997-05-21,115.35,115.53,115.35,115.53,33.0
1997-05-22,115.4,115.43,115.09,115.09,3144.0
1997-05-23,115.3,115.3,115.0,115.01,3244.0
1997-05-26,115.05,115.05,115.05,115.05,201.0
1997-05-27,114.93,114.93,114.26,114.27,8139.0
1997-05-28,114.28,114.3,114.15,114.28,3203.0
1997-05-29,114.37,114.85,114.37,114.82,6706.0
1997-05-30,115.05,115.55,114.85,115.35,3029.0
1997-06-02,115.55,115.75,115.25,115.65,6479.0
1997-06-03,115.75,115.75,115.28,115.62,5627.0
1997-06-04,115.66,115.69,115.35,115.59,2907.0
1997-06-05,115.49,115.6,115.48,115.57,2257.0
1997-06-06,115.78,116.73,115.26,116.7,10297.0
1997-06-09,116.46,116.6,116.26,116.32,2827.0
1997-06-10,116.56,117.09,116.55,116.7,7332.0
1997-06-11,116.65,116.85,116.5,116.62,1988.0
1997-06-12,116.67,117.8,116.67,117.65,5210.0
1997-06-13,118.02,118.5,117.9,118.05,4271.0
1997-06-16,118.38,118.45,118.09,118.35,1003.0
1997-06-17,118.4,118.55,117.9,118.16,1971.0
1997-06-18,118.06,118.2,117.95,118.02,5834.0
1997-06-19,117.92,118.35,117.75,118.31,3093.0
1997-06-20,118.43,118.94,118.43,118.85,2648.0
1997-06-23,118.65,118.79,118.5,118.53,473.0
1997-06-24,118.46,118.52,118.21,118.4,1462.0
1997-06-25,118.37,118.7,118.21,118.43,2257.0
1997-06-26,118.17,118.2,117.32,117.39,6147.0
1997-06-27,117.55,117.85,117.25,117.73,2810.0
1997-06-30,117.74,117.75,116.6,116.82,2030.0
1997-07-02,117.63,117.85,117.47,117.76,3981.0
1997-07-03,117.81,119.1,117.8,118.83,5637.0
1997-07-04,118.75,118.89,118.73,118.85,402.0
1997-07-07,118.89,119.65,118.88,119.6,4379.0
