DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1990-01-29,0.807,0.807,0.8068,0.8068,1.0
1990-01-30,0.8064,0.8064,0.8064,0.8064,0.0
1990-01-31,0.8086,0.8086,0.8086,0.8086,0.0
1990-02-01,0.8106,0.8106,0.8106,0.8106,0.0
1990-02-02,0.8102,0.8102,0.8102,0.8102,0.0
1990-02-05,0.811,0.811,0.811,0.811,0.0
1990-02-06,0.8109,0.8109,0.8109,0.8109,0.0
1990-02-07,0.8069,0.8071,0.8061,0.8061,1.0
1990-02-08,0.805,0.805,0.8035,0.8035,4.0
1990-02-09,0.8014,0.8014,0.8014,0.8014,0.0
1990-02-12,0.7989,0.7989,0.7989,0.7989,0.0
1990-02-13,0.7995,0.8005,0.7988,0.7988,1.0
1990-02-14,0.7954,0.7954,0.7954,0.7954,0.0
1990-02-15,0.7966,0.7966,0.7966,0.7966,0.0
1990-02-16,0.7966,0.7966,0.7966,0.7966,0.0
1990-02-20,0.7981,0.7981,0.7981,0.7981,0.0
1990-02-21,0.7994,0.7994,0.7994,0.7994,0.0
1990-02-22,0.8017,0.8017,0.8017,0.8017,0.0
1990-02-23,0.8,0.8,0.7997,0.7997,3.0
1990-02-26,0.7996,0.7996,0.7996,0.7996,0.0
1990-02-27,0.8,0.8,0.7977,0.7977,0.0
1990-02-28,0.8,0.8,0.8,0.8,2.0
1990-03-01,0.8015,0.8017,0.7997,0.7997,3.0
1990-03-02,0.8007,0.8007,0.8007,0.8007,0.0
1990-03-05,0.8025,0.8043,0.8025,0.8043,1.0
1990-03-06,0.8063,0.8063,0.8063,0.8063,0.0
1990-03-07,0.8078,0.8096,0.8078,0.8096,1.0
1990-03-08,0.812,0.812,0.812,0.812,0.0
1990-03-09,0.8105,0.8105,0.8105,0.8105,0.0
1990-03-12,0.811,0.812,0.811,0.812,5.0
1990-03-13,0.8139,0.8139,0.8139,0.8139,0.0
1990-03-14,0.8165,0.8165,0.8159,0.8159,1.0
1990-03-15,0.808,0.808,0.808,0.808,0.0
1990-03-16,0.8069,0.8069,0.8069,0.8069,0.0
1990-03-19,0.8065,0.8065,0.8065,0.8065,0.0
1990-03-20,0.81,0.81,0.81,0.81,0.0
1990-03-21,0.81,0.81,0.8098,0.8098,1.0
1990-03-22,0.809,0.812,0.809,0.8113,1.0
1990-03-23,0.8118,0.8118,0.8118,0.8118,0.0
1990-03-26,0.8096,0.8096,0.8096,0.8096,0.0
1990-03-27,0.8098,0.8098,0.8098,0.8098,0.0
1990-03-28,0.8094,0.8094,0.8094,0.8094,0.0
1990-03-29,0.8112,0.8112,0.8112,0.8112,0.0
1990-03-30,0.8118,0.8118,0.8118,0.8118,0.0
1990-04-02,0.8145,0.8145,0.8145,0.8145,0.0
1990-04-03,0.8163,0.8163,0.8163,0.8163,0.0
1990-04-04,0.8165,0.8165,0.8158,0.8158,3.0
1990-04-05,0.8137,0.8137,0.8137,0.8137,0.0
1990-04-06,0.8154,0.8154,0.8154,0.8154,0.0
1990-04-09,0.8164,0.8164,0.8164,0.8164,0.0
1990-04-10,0.8189,0.8189,0.8189,0.8189,0.0
1990-04-11,0.8159,0.8159,0.8159,0.8159,0.0
1990-04-12,0.8137,0.8181,0.8137,0.8181,4.0
1990-04-16,0.8134,0.8134,0.8134,0.8134,0.0
1990-04-17,0.8152,0.8152,0.8152,0.8152,0.0
1990-04-18,0.8164,0.8165,0.8164,0.8165,1.0
1990-04-19,0.8166,0.8166,0.8166,0.8166,0.0
1990-04-20,0.8173,0.8173,0.8173,0.8173,0.0
1990-04-23,0.8205,0.8205,0.8195,0.8205,3.0
1990-04-24,0.821,0.8216,0.821,0.8216,4.0
1990-04-25,0.8199,0.8199,0.8199,0.8199,0.0
1990-04-26,0.8201,0.8201,0.8201,0.8201,0.0
1990-04-27,0.818,0.8202,0.818,0.8202,5.0
1990-04-30,0.8186,0.8186,0.8186,0.8186,0.0
1990-05-01,0.8205,0.8205,0.8196,0.8196,1.0
1990-05-02,0.8185,0.8185,0.8181,0.8181,1.0
1990-05-03,0.8193,0.8193,0.8193,0.8193,0.0
1990-05-04,0.822,0.8222,0.822,0.8222,15.0
