DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2004-06-10,370.0,370.0,370.0,370.0,10.0
2004-06-11,370.0,370.0,370.0,370.0,0.0
2004-06-14,370.0,370.0,370.0,370.0,0.0
2004-06-15,369.5,369.5,369.5,369.5,0.0
2004-06-16,367.5,367.5,367.5,367.5,0.0
2004-06-17,367.5,367.5,367.5,367.5,0.0
2004-06-18,367.5,367.5,367.5,367.5,0.0
2004-06-21,368.0,368.0,368.0,368.0,0.0
2004-06-22,368.0,368.0,368.0,368.0,0.0
2004-06-23,370.0,373.0,370.0,373.0,5.0
2004-06-24,377.0,377.0,377.0,377.0,0.0
2004-06-25,377.5,377.5,377.5,377.5,4.0
2004-06-28,373.0,373.0,373.0,373.0,0.0
2004-06-29,373.0,373.0,373.0,373.0,0.0
2004-06-30,371.5,371.5,371.5,371.5,0.0
2004-07-02,369.0,369.0,369.0,369.0,0.0
2004-07-05,369.0,369.0,369.0,369.0,0.0
2004-07-06,364.5,364.5,364.5,364.5,0.0
2004-07-07,364.5,364.5,364.5,364.5,0.0
2004-07-08,364.5,364.5,364.5,364.5,0.0
2004-07-09,359.0,359.0,359.0,359.0,0.0
2004-07-12,359.0,359.0,359.0,359.0,0.0
2004-07-13,358.5,358.5,358.5,358.5,0.0
2004-07-14,358.5,358.5,358.5,358.5,0.0
2004-07-15,358.5,358.5,358.5,358.5,0.0
2004-07-16,358.0,358.0,358.0,358.0,0.0
2004-07-19,358.0,358.0,358.0,358.0,0.0
2004-07-20,358.0,358.0,358.0,358.0,0.0
2004-07-21,353.0,353.0,353.0,353.0,0.0
2004-07-22,353.0,353.0,353.0,353.0,0.0
2004-07-23,352.0,352.0,352.0,352.0,0.0
2004-07-26,352.0,352.0,352.0,352.0,0.0
2004-07-27,352.0,352.0,352.0,352.0,0.0
2004-07-28,352.0,352.0,352.0,352.0,0.0
2004-07-29,352.0,352.0,352.0,352.0,0.0
2004-07-30,352.0,352.0,352.0,352.0,0.0
2004-08-03,352.0,352.0,352.0,352.0,0.0
2004-08-04,352.0,352.0,352.0,352.0,0.0
2004-08-05,352.0,352.0,352.0,352.0,0.0
2004-08-06,352.0,352.0,352.0,352.0,0.0
2004-08-09,352.0,352.0,352.0,352.0,0.0
2004-08-10,352.0,352.0,352.0,352.0,0.0
2004-08-11,352.0,352.0,352.0,352.0,0.0
2004-08-12,352.0,352.0,352.0,352.0,0.0
2004-08-13,352.0,352.0,352.0,352.0,0.0
2004-08-16,352.0,352.0,352.0,352.0,0.0
2004-08-17,353.0,353.0,353.0,353.0,0.0
2004-08-18,353.0,353.0,353.0,353.0,0.0
2004-08-19,353.0,353.0,353.0,353.0,0.0
2004-08-20,353.0,353.0,353.0,353.0,0.0
2004-08-23,364.0,364.0,364.0,364.0,0.0
2004-08-24,365.0,365.0,365.0,365.0,0.0
2004-08-25,365.0,367.0,365.0,367.0,0.0
2004-08-26,371.0,371.0,371.0,371.0,24.0
2004-08-27,365.0,365.0,365.0,365.0,0.0
2004-08-30,372.0,373.0,372.0,373.0,8.0
2004-08-31,374.0,374.0,374.0,374.0,0.0
2004-09-01,374.0,374.0,374.0,374.0,0.0
2004-09-02,374.0,374.0,374.0,374.0,3.0
2004-09-03,369.7,369.7,369.7,369.7,0.0
2004-09-07,357.0,357.0,357.0,357.0,0.0
2004-09-08,357.0,357.0,357.0,357.0,0.0
2004-09-09,357.0,357.0,357.0,357.0,0.0
2004-09-10,352.8,352.8,352.8,352.8,0.0
2004-09-13,352.8,352.8,352.8,352.8,0.0
2004-09-14,352.8,352.8,352.8,352.8,0.0
2004-09-15,352.8,352.8,352.8,352.8,0.0
2004-09-16,352.8,352.8,352.8,352.8,0.0
2004-09-17,352.8,352.8,352.8,352.8,0.0
2004-09-20,347.5,347.5,347.5,347.5,0.0
2004-09-21,344.2,344.2,344.2,344.2,0.0
2004-09-22,344.0,344.0,344.0,344.0,0.0
2004-09-23,337.3,337.3,337.3,337.3,0.0
2004-09-24,330.0,330.0,330.0,330.0,0.0
2004-09-27,326.0,326.0,326.0,326.0,0.0
