DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2004-09-13,0.8127,0.8127,0.8127,0.8127,0.0
2004-09-14,0.8122,0.8122,0.8122,0.8122,0.0
2004-09-15,0.8054,0.8054,0.8054,0.8054,0.0
2004-09-16,0.807,0.807,0.807,0.807,0.0
2004-09-17,0.806,0.806,0.806,0.806,0.0
2004-09-20,0.8036,0.8036,0.8036,0.8036,0.0
2004-09-21,0.8148,0.8148,0.8148,0.8148,0.0
2004-09-22,0.8111,0.8111,0.8111,0.8111,0.0
2004-09-23,0.8107,0.8107,0.8107,0.8107,0.0
2004-09-24,0.8098,0.8098,0.8098,0.8098,0.0
2004-09-27,0.8108,0.8108,0.8108,0.8108,0.0
2004-09-28,0.8125,0.8125,0.8125,0.8125,0.0
2004-09-29,0.8122,0.8122,0.8122,0.8122,0.0
2004-09-30,0.8214,0.8214,0.8214,0.8214,0.0
2004-10-01,0.8181,0.8181,0.8181,0.8181,0.0
2004-10-04,0.809,0.809,0.809,0.809,0.0
2004-10-05,0.8114,0.8114,0.8114,0.8114,0.0
2004-10-06,0.8073,0.8073,0.8073,0.8073,0.0
2004-10-07,0.809,0.809,0.809,0.809,0.0
2004-10-08,0.8183,0.8183,0.8183,0.8183,0.0
2004-10-12,0.8134,0.8134,0.8134,0.8134,0.0
2004-10-13,0.8158,0.8158,0.8158,0.8158,0.0
2004-10-14,0.8216,0.8216,0.8216,0.8216,0.0
2004-10-15,0.8288,0.8288,0.8288,0.8288,0.0
2004-10-18,0.8306,0.8306,0.8306,0.8306,0.0
2004-10-19,0.8322,0.8322,0.8322,0.8322,0.0
2004-10-20,0.8368,0.8368,0.8368,0.8368,0.0
2004-10-21,0.8403,0.8403,0.8403,0.8403,0.0
2004-10-22,0.8416,0.8416,0.8416,0.8416,0.0
2004-10-25,0.8537,0.8537,0.8537,0.8537,0.0
2004-10-26,0.8502,0.8502,0.8502,0.8502,0.0
2004-10-27,0.8464,0.8464,0.8464,0.8464,0.0
2004-10-28,0.851,0.851,0.851,0.851,0.0
2004-10-29,0.8556,0.8556,0.8556,0.8556,0.0
2004-11-01,0.8498,0.8498,0.8498,0.8498,0.0
2004-11-02,0.8454,0.8454,0.8454,0.8454,0.0
2004-11-03,0.8556,0.8556,0.8556,0.8556,0.0
2004-11-04,0.8596,0.8596,0.8596,0.8596,0.0
2004-11-05,0.8675,0.8675,0.8675,0.8675,0.0
2004-11-08,0.8651,0.8651,0.8651,0.8651,0.0
2004-11-09,0.8641,0.8641,0.8641,0.8641,0.0
2004-11-10,0.8655,0.8655,0.8655,0.8655,0.0
2004-11-12,0.8744,0.8744,0.8744,0.8744,0.0
2004-11-15,0.8677,0.8677,0.8677,0.8677,0.0
2004-11-16,0.87,0.87,0.87,0.87,0.0
