DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-04-01,2254.0,2254.0,2254.0,2254.0,0.0
2013-04-02,2241.0,2241.0,2241.0,2241.0,0.0
2013-04-03,2228.0,2228.0,2228.0,2228.0,0.0
2013-04-04,2232.0,2232.0,2232.0,2232.0,0.0
2013-04-05,2222.0,2222.0,2222.0,2222.0,0.0
2013-04-08,2264.0,2264.0,2264.0,2264.0,0.0
2013-04-09,2288.0,2288.0,2288.0,2288.0,0.0
2013-04-10,2297.0,2304.0,2297.0,2304.0,16.0
2013-04-11,2316.0,2316.0,2316.0,2316.0,0.0
2013-04-12,2340.0,2340.0,2340.0,2340.0,0.0
2013-04-15,2337.0,2337.0,2337.0,2337.0,0.0
2013-04-16,2374.0,2374.0,2374.0,2374.0,0.0
2013-04-17,2373.0,2373.0,2373.0,2373.0,0.0
2013-04-18,2374.0,2374.0,2374.0,2374.0,0.0
2013-04-19,2389.0,2389.0,2389.0,2389.0,0.0
2013-04-22,2365.0,2365.0,2365.0,2365.0,0.0
2013-04-23,2382.0,2382.0,2382.0,2382.0,0.0
2013-04-24,2382.0,2382.0,2382.0,2382.0,0.0
2013-04-25,2390.0,2413.0,2386.0,2413.0,11.0
2013-04-26,2417.0,2420.0,2409.0,2420.0,23.0
2013-04-29,2413.0,2419.0,2388.0,2388.0,15.0
2013-04-30,2423.0,2423.0,2423.0,2423.0,0.0
2013-05-01,2427.0,2461.0,2426.0,2461.0,5.0
2013-05-02,2460.0,2460.0,2460.0,2460.0,0.0
2013-05-03,2463.0,2467.0,2463.0,2466.0,13.0
2013-05-06,2457.0,2457.0,2457.0,2457.0,0.0
2013-05-07,2447.0,2447.0,2447.0,2447.0,1.0
2013-05-08,2443.0,2443.0,2443.0,2443.0,6.0
2013-05-09,2402.0,2402.0,2402.0,2402.0,0.0
2013-05-10,2380.0,2380.0,2354.0,2354.0,20.0
2013-05-13,2350.0,2376.0,2350.0,2376.0,5.0
2013-05-14,2394.0,2395.0,2394.0,2395.0,18.0
2013-05-15,2391.0,2391.0,2391.0,2391.0,0.0
2013-05-16,2342.0,2342.0,2342.0,2342.0,0.0
2013-05-17,2345.0,2345.0,2345.0,2345.0,13.0
2013-05-20,2344.0,2344.0,2344.0,2344.0,4.0
2013-05-21,2379.0,2379.0,2379.0,2379.0,2.0
2013-05-22,2357.0,2357.0,2357.0,2357.0,0.0
2013-05-23,2308.0,2327.0,2307.0,2327.0,14.0
2013-05-24,2301.0,2301.0,2293.0,2293.0,5.0
2013-05-28,2253.0,2253.0,2253.0,2253.0,0.0
2013-05-29,2258.0,2258.0,2258.0,2258.0,1.0
2013-05-30,2263.0,2263.0,2263.0,2263.0,3.0
2013-05-31,2243.0,2243.0,2243.0,2243.0,0.0
2013-06-03,2287.0,2287.0,2287.0,2287.0,0.0
2013-06-04,2323.0,2323.0,2323.0,2323.0,3.0
2013-06-05,2349.0,2349.0,2349.0,2349.0,2.0
2013-06-06,2393.0,2393.0,2393.0,2393.0,4.0
2013-06-07,2395.0,2395.0,2395.0,2395.0,1.0
2013-06-10,2398.0,2398.0,2398.0,2398.0,0.0
2013-06-11,2384.0,2393.0,2384.0,2390.0,18.0
2013-06-12,2401.0,2407.0,2401.0,2407.0,20.0
