DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2017-01-03,163.05,163.05,163.05,163.05,0.0
2017-01-04,167.35,167.35,167.35,167.35,0.0
2017-01-05,169.5,169.5,169.5,169.5,0.0
2017-01-06,168.65,168.65,168.65,168.65,0.0
2017-01-09,170.15,170.15,170.15,170.15,0.0
2017-01-10,174.15,174.15,174.15,174.15,0.0
2017-01-11,175.55,175.55,175.55,175.55,0.0
2017-01-12,176.4,176.4,176.4,176.4,0.0
2017-01-13,176.1,176.1,176.1,176.1,0.0
2017-01-17,176.65,176.65,176.65,176.65,0.0
2017-01-18,175.95,175.95,175.95,175.95,0.0
2017-01-19,177.5,177.5,177.5,177.5,0.0
2017-01-20,179.85,179.85,179.85,179.85,0.0
2017-01-23,182.0,182.0,182.0,182.0,0.0
2017-01-24,179.45,179.45,179.45,179.45,0.0
2017-01-25,179.85,179.85,179.85,179.85,0.0
2017-01-26,178.75,178.75,178.75,178.75,0.0
2017-01-27,179.7,179.7,179.7,179.7,0.0
2017-01-30,178.6,178.6,178.6,178.6,0.0
2017-01-31,176.85,176.85,176.85,176.85,0.0
2017-02-01,177.45,177.45,177.45,177.45,0.0
2017-02-02,173.5,173.5,173.5,173.5,0.0
2017-02-03,173.8,173.8,173.8,173.8,0.0
2017-02-06,171.75,171.75,171.75,171.75,0.0
2017-02-07,170.85,170.85,170.85,170.85,0.0
2017-02-08,170.95,170.95,170.95,170.95,0.0
2017-02-09,173.1,173.1,173.1,173.1,0.0
2017-02-10,173.65,173.65,173.65,173.65,0.0
2017-02-13,171.7,171.7,171.7,171.7,0.0
2017-02-14,170.95,170.95,170.95,170.95,0.0
2017-02-15,172.05,172.05,172.05,172.05,0.0
2017-02-16,173.6,173.6,173.6,173.6,0.0
2017-02-17,174.7,174.7,174.7,174.7,0.0
2017-02-21,176.75,176.75,176.75,176.75,0.0
2017-02-22,176.0,176.0,176.0,176.0,0.0
2017-02-23,175.2,175.2,175.2,175.2,0.0
2017-02-24,171.7,171.7,171.7,171.7,0.0
2017-02-27,166.8,166.8,166.8,166.8,0.0
2017-02-28,168.5,168.5,168.5,168.5,0.0
2017-03-01,170.65,170.65,170.65,170.65,0.0
2017-03-02,170.35,170.35,170.35,170.35,0.0
2017-03-03,169.35,169.35,169.35,169.35,9.0
2017-03-06,167.7,167.7,167.7,167.7,0.0
2017-03-07,167.25,167.25,167.25,167.25,0.0
2017-03-08,167.95,167.95,167.95,167.95,0.0
2017-03-09,167.15,167.15,167.15,167.15,0.0
2017-03-10,168.35,168.35,168.35,168.35,0.0
2017-03-13,169.35,169.35,169.35,169.35,0.0
2017-03-14,168.2,168.2,168.2,168.2,0.0
2017-03-15,168.6,168.6,167.9,167.9,2.0
2017-03-16,168.15,168.15,168.15,168.15,0.0
2017-03-17,168.75,168.75,168.75,168.75,0.0
2017-03-20,171.95,171.95,171.95,171.95,0.0
2017-03-21,171.55,171.55,171.55,171.55,5.0
2017-03-22,169.85,169.9,168.2,168.25,15.0
2017-03-23,167.3,167.3,167.15,167.15,2.0
2017-03-24,164.55,164.55,163.85,163.85,14.0
2017-03-27,164.9,165.65,164.9,165.65,7.0
2017-03-28,163.6,164.35,163.5,164.35,51.0
2017-03-29,162.7,164.55,162.5,164.55,9.0
2017-03-30,164.7,164.7,164.7,164.7,6.0
2017-03-31,163.25,164.7,163.0,164.7,7.0
2017-04-03,163.15,163.15,163.15,163.15,0.0
2017-04-04,163.15,163.15,163.15,163.15,0.0
2017-04-05,162.45,162.95,162.45,162.95,1.0
