DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-07-30,276.5,276.5,276.5,276.5,0.0
2019-07-31,275.55,275.55,275.55,275.55,0.0
2019-08-01,275.6,275.6,275.6,275.6,0.0
2019-08-02,266.3,266.3,266.3,266.3,0.0
2019-08-05,263.65,263.65,263.65,263.65,0.0
2019-08-06,264.8,264.8,264.8,264.8,0.0
2019-08-07,266.15,266.15,266.15,266.15,0.0
2019-08-08,269.4,269.4,269.4,269.4,0.0
2019-08-09,267.6,267.6,267.6,267.6,0.0
2019-08-12,267.25,267.25,267.25,267.25,0.0
2019-08-13,271.6,271.6,271.6,271.6,0.0
2019-08-14,267.8,267.8,267.8,267.8,0.0
2019-08-15,268.25,268.25,268.25,268.25,0.0
2019-08-16,268.1,268.1,268.1,268.1,0.0
2019-08-19,268.7,268.7,268.7,268.7,0.0
2019-08-20,266.35,266.35,266.35,266.35,0.0
2019-08-21,267.05,267.05,267.05,267.05,0.0
2019-08-22,264.75,264.75,264.75,264.75,0.0
2019-08-23,261.75,261.75,261.75,261.75,0.0
2019-08-26,262.95,262.95,262.95,262.95,0.0
2019-08-27,263.1,263.1,263.1,263.1,0.0
2019-08-28,264.15,264.15,264.15,264.15,0.0
2019-08-29,265.3,265.3,265.3,265.3,0.0
2019-08-30,262.9,262.9,262.9,262.9,0.0
2019-09-03,260.55,260.55,260.55,260.55,0.0
2019-09-04,267.05,267.05,267.05,267.05,0.0
2019-09-05,271.95,271.95,271.95,271.95,0.0
2019-09-06,271.1,271.1,271.1,271.1,0.0
2019-09-09,270.2,270.2,270.2,270.2,0.0
2019-09-10,270.3,270.3,270.3,270.3,0.0
2019-09-11,269.35,269.35,269.35,269.35,0.0
2019-09-12,271.75,271.75,271.75,271.75,0.0
2019-09-13,277.5,277.5,277.5,277.5,0.0
2019-09-16,272.55,272.55,272.55,272.55,0.0
2019-09-17,270.9,270.9,270.9,270.9,0.0
2019-09-18,269.3,269.3,269.3,269.3,0.0
2019-09-19,268.9,268.9,268.9,268.9,0.0
2019-09-20,268.5,268.5,268.5,268.5,0.0
2019-09-23,268.95,268.95,268.95,268.95,0.0
2019-09-24,268.3,268.3,268.3,268.3,0.0
2019-09-25,268.85,268.85,268.85,268.85,0.0
2019-09-26,265.7,265.7,265.7,265.7,0.0
2019-09-27,267.7,267.7,267.7,267.7,0.0
2019-09-30,265.85,265.85,265.85,265.85,0.0
2019-10-01,265.25,265.25,265.25,265.25,0.0
2019-10-02,265.8,265.8,265.8,265.8,0.0
2019-10-03,265.05,265.05,265.05,265.05,0.0
2019-10-04,265.8,265.8,265.8,265.8,0.0
2019-10-07,267.3,267.3,267.3,267.3,0.0
2019-10-08,266.65,266.65,266.65,266.65,0.0
2019-10-09,266.3,266.3,266.3,266.3,0.0
2019-10-10,270.35,270.35,270.35,270.35,0.0
2019-10-11,272.05,272.05,272.05,272.05,0.0
2019-10-14,272.65,272.65,272.65,272.65,0.0
2019-10-15,270.8,270.8,270.8,270.8,0.0
2019-10-16,268.6,268.6,268.6,268.6,0.0
2019-10-17,269.25,269.25,269.25,269.25,0.0
2019-10-18,272.75,272.75,272.75,272.75,0.0
2019-10-21,273.85,273.85,273.85,273.85,0.0
2019-10-22,273.15,273.15,273.15,273.15,0.0
2019-10-23,276.2,276.2,276.2,276.2,0.0
2019-10-24,275.95,275.95,275.95,275.95,0.0
2019-10-25,276.6,276.6,276.6,276.6,0.0
2019-10-28,277.4,277.4,277.4,277.4,0.0
2019-10-29,278.0,278.0,278.0,278.0,0.0
2019-10-30,277.3,277.3,277.3,277.3,0.0
2019-10-31,272.8,272.8,272.8,272.8,0.0
2019-11-01,273.8,273.8,273.8,273.8,0.0
2019-11-04,276.0,276.0,276.0,276.0,0.0
2019-11-05,278.75,278.75,278.75,278.75,0.0
2019-11-06,275.45,275.45,275.45,275.45,0.0
2019-11-07,281.45,281.45,281.45,281.45,0.0
2019-11-08,277.3,277.3,277.3,277.3,0.0
2019-11-11,275.8,275.8,275.8,275.8,0.0
2019-11-12,274.3,274.3,274.3,274.3,0.0
2019-11-13,273.7,273.7,273.7,273.7,0.0
2019-11-14,272.2,272.2,272.2,272.2,0.0
2019-11-15,273.6,273.6,273.6,273.6,0.0
2019-11-18,271.95,271.95,271.95,271.95,0.0
2019-11-19,275.55,275.55,275.55,275.55,0.0
2019-11-20,274.85,274.85,274.85,274.85,0.0
2019-11-21,272.45,272.45,272.45,272.45,0.0
2019-11-22,274.35,274.35,274.35,274.35,0.0
2019-11-25,274.6,274.6,274.6,274.6,0.0
2019-11-26,278.25,278.25,278.25,278.25,0.0
2019-11-27,277.95,277.95,277.95,277.95,0.0
2019-11-29,274.95,274.95,274.95,274.95,0.0
2019-12-02,274.0,274.0,274.0,274.0,0.0
2019-12-03,271.1,271.1,271.1,271.1,0.0
2019-12-04,274.5,274.5,274.5,274.5,0.0
2019-12-05,275.15,275.15,275.15,275.15,0.0
2019-12-06,281.3,281.3,281.3,281.3,0.0
2019-12-09,284.3,284.3,284.3,284.3,0.0
2019-12-10,285.15,285.15,285.15,285.15,0.0
2019-12-11,287.3,287.3,287.3,287.3,0.0
2019-12-12,288.05,288.05,288.05,288.05,0.0
2019-12-13,286.2,286.2,286.2,286.2,0.0
