DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1981-09-24,330.0,331.5,327.0,329.5,792.0
1981-09-25,330.0,331.0,326.75,326.75,278.0
1981-09-28,323.5,330.5,322.5,327.75,418.0
1981-09-29,330.25,332.75,330.0,332.75,196.0
1981-09-30,332.5,334.75,331.25,334.75,493.0
1981-10-01,336.25,337.0,333.5,334.0,249.0
1981-10-02,334.75,335.75,334.0,335.5,159.0
1981-10-05,338.0,340.25,338.0,340.0,385.0
1981-10-06,337.75,341.25,337.0,338.0,489.0
1981-10-07,338.0,339.5,336.5,336.5,601.0
1981-10-08,336.0,338.0,335.0,335.5,267.0
1981-10-09,335.75,338.5,335.75,337.75,328.0
1981-10-12,336.5,340.25,336.5,340.0,209.0
1981-10-13,340.0,344.0,338.5,343.75,210.0
1981-10-14,343.5,345.5,341.5,345.0,352.0
1981-10-15,344.0,344.0,340.0,340.25,409.0
1981-10-16,339.25,340.0,338.0,338.25,306.0
1981-10-19,337.75,340.5,337.25,339.25,140.0
1981-10-20,339.5,339.5,336.75,336.75,281.0
1981-10-21,336.0,339.5,336.0,337.5,196.0
1981-10-22,337.5,338.0,335.0,335.25,209.0
1981-10-23,335.0,339.0,334.5,338.25,647.0
1981-10-26,337.0,338.0,337.0,337.5,331.0
1981-10-27,337.75,339.75,336.75,338.75,329.0
1981-10-28,339.5,342.0,338.5,340.5,396.0
1981-10-29,341.0,341.5,338.5,338.75,546.0
1981-10-30,338.0,339.75,338.0,338.5,288.0
1981-11-02,338.75,339.75,338.75,339.25,245.0
1981-11-03,338.75,338.75,337.0,337.0,234.0
1981-11-04,336.5,337.0,334.75,335.0,634.0
1981-11-05,335.0,335.75,334.5,334.75,338.0
1981-11-06,334.75,335.25,332.5,332.5,658.0
1981-11-09,332.5,335.0,331.5,331.5,728.0
1981-11-10,331.25,331.75,327.0,327.25,830.0
1981-11-11,327.25,328.75,326.5,327.0,502.0
1981-11-12,328.0,331.5,328.0,329.75,575.0
1981-11-13,331.0,331.75,327.75,328.0,581.0
1981-11-16,326.5,328.0,325.5,326.25,478.0
1981-11-17,326.25,326.5,323.25,323.25,467.0
1981-11-18,323.25,325.0,321.5,321.75,724.0
1981-11-19,322.25,323.5,321.0,323.25,459.0
1981-11-20,324.25,326.0,323.25,323.25,488.0
1981-11-23,323.0,323.25,318.0,318.25,924.0
1981-11-24,317.5,318.5,312.25,312.25,1821.0
1981-11-25,313.25,314.75,310.25,310.75,1427.0
1981-11-27,310.25,312.25,308.0,308.75,832.0
1981-11-30,309.5,310.0,306.0,306.25,1490.0
1981-12-01,306.25,312.0,300.75,309.25,2397.0
1981-12-02,310.0,311.5,308.0,308.5,1018.0
1981-12-03,308.5,310.0,307.5,307.75,674.0
1981-12-04,310.25,310.75,308.75,309.25,802.0
1981-12-07,308.25,308.25,302.5,302.75,2386.0
1981-12-08,301.75,304.0,299.5,299.5,2323.0
1981-12-09,299.5,300.0,293.5,295.25,4591.0
1981-12-10,294.5,295.25,286.5,288.25,3635.0
1981-12-11,289.0,292.0,285.5,291.5,4313.0
1981-12-14,287.0,290.5,284.5,286.0,2473.0
1981-12-15,285.5,286.5,279.75,280.75,2421.0
1981-12-16,278.0,290.5,271.0,286.5,5109.0
1981-12-17,289.0,294.5,288.5,290.75,4648.0
1981-12-18,290.5,291.25,285.75,287.75,2662.0
1981-12-21,286.5,289.0,284.0,285.5,1608.0
1981-12-22,285.5,287.0,284.0,286.25,1622.0
1981-12-23,282.0,285.5,282.0,284.0,2331.0
1981-12-24,285.0,289.0,285.0,288.75,919.0
1981-12-28,289.75,298.0,289.5,297.5,2713.0
1981-12-29,294.5,295.0,292.0,293.75,1883.0
1981-12-30,293.5,294.5,291.75,294.25,1458.0
1981-12-31,296.0,298.25,295.25,295.25,1308.0
1982-01-04,296.75,297.75,295.25,297.0,1328.0
1982-01-05,295.75,296.0,293.0,294.75,1712.0
1982-01-06,296.0,299.0,295.25,298.25,2020.0
1982-01-07,297.75,299.5,297.25,298.25,918.0
1982-01-08,298.75,298.75,294.5,294.75,2359.0
1982-01-11,294.75,295.25,292.0,292.5,1960.0
1982-01-12,290.5,291.75,288.75,291.5,2104.0
1982-01-13,292.0,292.5,290.5,291.5,1584.0
1982-01-14,292.0,292.5,290.0,291.25,887.0
1982-01-15,291.5,291.5,289.25,290.25,2163.0
1982-01-18,289.5,293.25,289.5,292.5,1687.0
1982-01-19,290.5,290.75,289.0,289.5,1952.0
1982-01-20,290.75,291.0,288.0,290.5,2563.0
1982-01-21,291.5,294.75,291.25,293.75,3276.0
1982-01-22,293.75,295.75,293.0,294.75,1436.0
1982-01-25,294.0,294.0,290.75,292.0,1034.0
1982-01-26,293.0,295.0,292.75,294.0,2341.0
1982-01-27,294.0,299.75,294.0,299.5,3336.0
1982-01-28,299.0,300.75,297.5,297.5,3501.0
1982-01-29,297.5,303.25,297.5,301.25,3427.0
1982-02-01,301.0,308.75,300.75,307.25,6784.0
1982-02-02,306.5,307.0,304.75,306.75,4813.0
1982-02-03,306.0,307.0,303.25,306.75,4967.0
1982-02-04,305.5,308.75,305.25,307.25,4710.0
1982-02-05,306.5,306.75,304.25,304.75,3459.0
1982-02-08,302.5,303.5,301.0,301.25,4232.0
1982-02-09,300.0,303.0,299.5,300.0,4052.0
1982-02-10,301.5,303.5,301.25,303.25,3105.0
1982-02-11,304.5,305.0,302.5,302.75,2438.0
1982-02-12,302.0,303.0,299.5,301.5,4239.0
1982-02-16,298.0,301.0,297.0,301.0,4747.0
1982-02-17,301.0,302.5,299.5,301.5,2352.0
1982-02-18,301.0,301.75,300.25,300.5,2708.0
1982-02-19,298.0,299.0,294.0,294.25,7178.0
1982-02-22,294.75,296.75,294.0,294.0,4185.0
1982-02-23,292.5,293.75,291.25,292.25,4052.0
1982-02-24,292.5,294.25,292.5,292.75,2712.0
1982-02-25,292.0,293.75,290.5,292.75,4462.0
1982-02-26,292.5,295.75,291.25,294.25,4875.0
1982-03-01,295.25,296.0,294.25,295.0,2830.0
1982-03-02,295.5,297.0,294.25,296.75,3017.0
1982-03-03,296.75,297.0,293.0,294.25,5000.0
1982-03-04,293.25,294.0,291.0,291.25,5095.0
1982-03-05,291.5,292.0,287.0,287.5,5596.0
1982-03-08,285.5,286.0,280.75,282.5,14002.0
1982-03-09,282.0,284.5,281.0,283.75,5723.0
1982-03-10,284.75,286.5,284.25,285.75,5270.0
1982-03-11,284.0,286.0,283.25,285.75,5757.0
1982-03-12,285.0,285.25,280.25,281.0,6704.0
1982-03-15,279.5,286.25,279.0,285.0,9464.0
1982-03-16,286.25,287.5,283.0,283.0,5975.0
1982-03-17,284.25,287.0,284.25,285.75,4636.0
1982-03-18,287.0,289.5,286.5,288.0,4743.0
1982-03-19,287.0,290.0,286.0,289.25,3933.0
1982-03-22,290.0,291.5,290.0,290.5,3518.0
1982-03-23,290.5,292.25,288.75,289.25,6227.0
1982-03-24,289.0,290.5,288.25,290.25,3941.0
1982-03-25,289.5,290.75,288.5,289.5,3453.0
1982-03-26,288.5,291.0,287.75,290.5,4707.0
1982-03-29,289.5,294.0,289.0,293.5,5962.0
1982-03-30,294.0,295.5,293.5,293.75,5148.0
1982-03-31,293.25,295.5,292.75,294.5,2759.0
1982-04-01,295.25,296.25,293.25,293.5,4030.0
1982-04-02,293.5,298.0,293.5,296.75,5795.0
1982-04-05,298.5,300.75,298.5,300.25,6911.0
1982-04-06,300.0,301.5,298.75,300.0,6807.0
1982-04-07,299.0,299.25,297.0,297.25,4365.0
1982-04-08,298.0,301.0,298.0,298.75,5246.0
1982-04-12,297.5,299.0,296.0,298.25,5670.0
1982-04-13,299.0,301.0,298.25,298.5,5338.0
1982-04-14,299.5,300.0,297.0,297.25,5096.0
1982-04-15,297.0,299.0,296.0,297.25,3623.0
1982-04-16,297.25,298.5,296.75,297.25,2646.0
1982-04-19,297.5,298.75,296.0,297.25,5248.0
1982-04-20,298.75,300.5,298.5,299.0,6756.0
1982-04-21,299.25,299.75,297.25,297.25,4779.0
1982-04-22,296.0,296.25,295.0,295.25,4133.0
1982-04-23,297.5,297.5,295.25,297.0,6330.0
1982-04-26,296.75,298.0,295.0,296.75,4557.0
1982-04-27,295.5,296.75,295.5,295.75,3568.0
1982-04-28,295.75,296.5,294.25,295.5,4210.0
1982-04-29,294.5,295.5,293.25,295.25,6032.0
1982-04-30,296.0,298.0,292.5,293.0,11214.0
1982-05-03,292.5,292.75,288.5,288.5,9767.0
1982-05-04,288.25,289.0,287.0,287.0,7746.0
1982-05-05,286.75,287.75,285.5,285.5,8933.0
1982-05-06,284.5,286.25,284.0,285.25,7615.0
1982-05-07,286.5,287.25,286.0,286.5,6060.0
1982-05-10,285.75,285.75,282.25,283.5,11205.0
1982-05-11,284.5,284.75,282.5,283.75,6758.0
1982-05-12,282.5,286.25,282.5,284.25,8629.0
1982-05-13,284.25,285.25,283.0,283.0,5692.0
1982-05-14,285.5,286.0,283.75,285.5,6338.0
1982-05-17,284.75,286.25,284.25,285.0,6361.0
1982-05-18,285.0,286.5,283.5,284.5,5742.0
1982-05-19,285.0,285.75,284.0,285.5,3745.0
1982-05-20,286.25,286.5,284.75,286.5,4682.0
1982-05-21,285.5,287.75,284.75,286.0,7415.0
1982-05-24,284.75,285.75,284.25,284.75,4355.0
1982-05-25,285.0,285.0,280.25,280.75,12301.0
1982-05-26,280.5,282.25,279.5,281.75,11517.0
1982-05-27,281.5,282.0,280.0,280.5,5982.0
