DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2020-06-01,60.39,60.39,60.39,60.39,0.0
2020-06-02,61.1,61.1,61.1,61.1,0.0
2020-06-03,61.38,61.38,61.38,61.38,0.0
2020-06-04,61.24,61.24,61.24,61.24,0.0
2020-06-05,62.4,62.4,62.4,62.4,0.0
2020-06-08,61.77,61.77,61.77,61.77,0.0
2020-06-09,61.59,61.59,61.59,61.59,0.0
2020-06-10,61.8,61.8,61.8,61.8,0.0
2020-06-11,61.04,61.04,61.04,61.04,0.0
2020-06-12,60.73,60.73,60.73,60.73,0.0
2020-06-15,60.29,60.29,60.29,60.29,0.0
2020-06-16,60.86,60.86,60.86,60.86,0.0
2020-06-17,61.8,61.8,61.8,61.8,0.0
2020-06-18,61.35,61.35,61.35,61.35,0.0
2020-06-19,61.61,61.61,61.61,61.61,0.0
2020-06-22,61.75,61.75,61.75,61.75,0.0
2020-06-23,61.21,61.21,61.21,61.21,0.0
2020-06-24,60.89,60.89,60.89,60.89,0.0
2020-06-25,61.34,61.34,61.34,61.34,0.0
2020-06-26,61.11,61.11,61.11,61.11,0.0
2020-06-29,61.2,61.2,61.2,61.2,0.0
2020-06-30,62.03,62.03,62.03,62.03,0.0
2020-07-01,63.4,63.4,63.4,63.4,0.0
2020-07-02,63.63,63.63,63.63,63.63,0.0
2020-07-06,63.82,63.82,63.82,63.82,0.0
2020-07-07,64.02,64.02,64.02,64.02,0.0
2020-07-08,65.26,65.26,65.26,65.26,0.0
2020-07-09,65.09,65.09,65.09,65.09,0.0
2020-07-10,65.54,65.54,65.54,65.54,0.0
2020-07-13,65.7,65.7,65.7,65.7,0.0
2020-07-14,65.05,65.05,65.05,65.05,0.0
2020-07-15,64.54,64.54,64.54,64.54,0.0
2020-07-16,64.67,64.67,64.67,64.67,0.0
2020-07-17,64.24,64.24,64.24,64.24,0.0
2020-07-20,64.76,64.76,64.76,64.76,0.0
2020-07-21,64.72,64.72,64.72,64.72,0.0
2020-07-22,64.43,64.43,64.43,64.43,0.0
2020-07-23,63.88,63.88,63.88,63.88,0.0
2020-07-24,62.43,62.43,62.43,62.43,0.0
2020-07-27,63.43,63.43,63.43,63.43,0.0
2020-07-28,63.4,63.4,63.4,63.4,0.0
2020-07-29,63.91,63.91,63.91,63.91,0.0
2020-07-30,64.84,64.84,64.84,64.84,0.0
2020-07-31,64.03,64.03,64.03,64.03,0.0
2020-08-03,64.85,64.85,64.85,64.85,0.0
2020-08-04,65.03,65.03,65.03,65.03,0.0
2020-08-05,65.43,65.43,65.43,65.43,0.0
2020-08-06,65.75,65.75,65.75,65.75,0.0
2020-08-07,64.75,64.75,64.75,64.75,0.0
2020-08-10,65.11,65.11,65.11,65.11,0.0
2020-08-11,65.86,65.86,65.86,65.86,0.0
2020-08-12,65.81,65.81,65.81,65.81,0.0
2020-08-13,66.34,66.34,66.34,66.34,0.0
2020-08-14,66.0,66.0,66.0,66.0,0.0
2020-08-17,66.18,66.18,66.18,66.18,0.0
2020-08-18,64.99,64.99,64.99,64.99,0.0
2020-08-19,65.11,65.11,65.11,65.11,0.0
2020-08-20,64.99,64.99,64.99,64.99,0.0
2020-08-21,64.72,64.72,64.72,64.72,0.0
2020-08-24,64.82,64.82,64.82,64.82,0.0
2020-08-25,64.62,64.62,64.62,64.62,0.0
2020-08-26,64.57,64.57,64.57,64.57,0.0
2020-08-27,65.19,65.19,65.19,65.19,0.0
2020-08-28,65.4,65.4,65.4,65.4,0.0
2020-08-31,65.83,65.83,65.83,65.83,0.0
2020-09-01,66.25,66.25,66.25,66.25,0.0
2020-09-02,65.5,65.5,65.5,65.5,0.0
2020-09-03,65.49,65.49,65.49,65.49,0.0
2020-09-04,65.49,65.49,65.49,65.49,0.0
2020-09-08,64.7,64.7,64.7,64.7,0.0
2020-09-09,64.92,64.92,64.92,64.92,0.0
2020-09-10,65.52,65.52,65.52,65.52,0.0
2020-09-11,64.75,64.75,64.75,64.75,0.0
2020-09-14,66.0,66.0,66.0,66.0,0.0
2020-09-15,65.55,65.55,65.55,65.55,0.0
2020-09-16,65.58,65.58,65.58,65.58,0.0
2020-09-17,65.96,65.96,65.96,65.96,0.0
2020-09-18,65.72,65.72,65.72,65.72,0.0
2020-09-21,65.5,65.5,65.5,65.5,0.0
2020-09-22,65.69,65.69,65.69,65.69,0.0
2020-09-23,65.59,65.59,65.59,65.59,0.0
2020-09-24,65.53,65.53,65.53,65.53,0.0
2020-09-25,65.74,65.74,65.74,65.74,0.0
2020-09-28,65.51,65.51,65.51,65.51,0.0
2020-09-29,64.82,64.82,64.82,64.82,0.0
2020-09-30,64.94,64.94,64.94,64.94,0.0
2020-10-01,65.29,65.29,65.29,65.29,0.0
2020-10-02,64.9,64.9,64.9,64.9,0.0
2020-10-05,64.92,64.92,64.92,64.92,0.0
