DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-12-18,62.66,62.66,62.66,62.66,0.0
2023-12-19,62.85,62.85,62.85,62.85,0.0
2023-12-20,62.71,62.71,62.71,62.71,0.0
2023-12-21,62.08,62.08,62.08,62.08,0.0
2023-12-22,61.45,61.45,61.45,61.45,0.0
2023-12-26,61.66,61.66,61.66,61.66,0.0
2023-12-27,61.59,61.59,61.59,61.59,0.0
2023-12-28,61.05,61.05,61.05,61.05,0.0
2023-12-29,60.85,60.85,60.85,60.85,0.0
2024-01-02,60.96,60.96,60.96,60.96,0.0
2024-01-03,61.72,61.72,61.72,61.72,0.0
2024-01-04,61.48,61.48,61.48,61.48,0.0
2024-01-05,61.73,61.73,61.73,61.73,0.0
2024-01-08,61.5,61.5,61.5,61.5,0.0
2024-01-09,61.59,61.59,61.59,61.59,0.0
2024-01-10,61.69,61.69,61.69,61.69,0.0
2024-01-11,62.06,62.06,62.06,62.06,0.0
2024-01-12,62.76,62.76,62.76,62.76,0.0
2024-01-15,62.58,62.58,62.58,62.58,0.0
2024-01-16,62.42,62.42,62.42,62.42,0.0
2024-01-17,62.38,62.38,62.38,62.38,0.0
2024-01-18,62.72,62.72,62.72,62.72,0.0
2024-01-19,62.21,62.21,62.21,62.21,0.0
2024-01-22,63.0,63.0,63.0,63.0,0.0
2024-01-23,62.96,62.96,62.96,62.96,0.0
2024-01-24,63.26,63.26,63.26,63.26,0.0
2024-01-25,63.66,63.66,63.66,63.66,0.0
2024-01-26,64.21,64.21,64.21,64.21,0.0
2024-01-29,63.73,63.73,63.73,63.73,0.0
2024-01-30,64.4,64.4,64.4,64.4,0.0
2024-01-31,63.96,63.96,63.96,63.96,0.0
2024-02-01,63.15,63.15,63.15,63.15,0.0
2024-02-02,62.88,62.88,62.88,62.88,0.0
2024-02-05,63.45,63.45,63.45,63.45,0.0
2024-02-06,63.29,63.29,63.29,63.29,0.0
2024-02-07,63.69,63.69,63.69,63.69,0.0
2024-02-08,64.39,64.39,64.39,64.39,0.0
2024-02-09,64.68,64.68,64.68,64.68,0.0
2024-02-12,65.06,65.06,65.06,65.06,0.0
2024-02-13,65.39,65.39,65.39,65.39,0.0
2024-02-14,64.95,64.95,64.95,64.95,0.0
2024-02-15,65.09,65.09,65.09,65.09,0.0
