DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2021-11-19,59.39,59.39,59.39,59.39,0.0
2021-11-22,59.59,59.59,59.59,59.59,0.0
2021-11-23,60.17,60.17,60.17,60.17,0.0
2021-11-24,60.33,60.33,60.33,60.33,0.0
2021-11-26,58.81,58.81,58.81,58.81,0.0
2021-11-29,59.73,59.73,59.73,59.73,0.0
2021-11-30,57.05,57.05,57.05,57.05,0.0
2021-12-01,57.48,57.48,57.48,57.48,0.0
2021-12-02,57.71,57.71,57.71,57.71,0.0
2021-12-03,59.08,59.08,59.08,59.08,0.0
2021-12-06,60.06,60.06,60.06,60.06,0.0
2021-12-07,61.7,61.7,61.7,61.7,0.0
2021-12-08,61.97,61.97,61.97,61.97,0.0
2021-12-09,61.17,61.17,61.17,61.17,0.0
2021-12-10,61.03,61.03,61.03,61.03,0.0
2021-12-13,61.12,61.12,61.12,61.12,0.0
2021-12-14,61.09,61.09,61.09,61.09,0.0
2021-12-15,60.37,60.37,60.37,60.37,0.0
2021-12-16,59.72,59.72,59.72,59.72,0.0
2021-12-17,58.47,58.47,58.47,58.47,0.0
2021-12-20,57.84,57.84,57.84,57.84,0.0
2021-12-21,58.77,58.77,58.77,58.77,0.0
2021-12-22,58.25,58.25,58.25,58.25,0.0
2021-12-23,58.72,58.72,58.72,58.72,0.0
2021-12-27,59.58,59.58,59.58,59.58,0.0
2021-12-28,59.14,59.14,59.14,59.14,0.0
2021-12-29,59.65,59.65,59.65,59.65,0.0
2021-12-30,59.56,59.56,59.56,59.56,0.0
2021-12-31,58.24,58.24,58.24,58.24,0.0
2022-01-03,59.18,59.18,59.18,59.18,0.0
2022-01-04,59.81,59.81,59.81,59.81,0.0
2022-01-05,59.46,59.46,59.46,59.46,0.0
2022-01-06,59.7,59.7,59.7,59.7,0.0
2022-01-07,59.51,59.51,59.51,59.51,0.0
2022-01-10,59.2,59.2,59.2,59.2,0.0
2022-01-11,60.13,60.13,60.13,60.13,0.0
2022-01-12,59.97,59.97,59.97,59.97,0.0
2022-01-13,60.2,60.2,60.2,60.2,0.0
2022-01-14,60.69,60.69,60.69,60.69,0.0
2022-01-18,61.38,61.38,61.38,61.38,0.0
2022-01-19,61.62,61.62,61.62,61.62,0.0
2022-01-20,62.67,62.67,62.67,62.67,0.0
2022-01-21,63.18,63.18,63.18,63.18,0.0
2022-01-24,63.02,63.02,63.02,63.02,0.0
2022-01-25,64.04,64.04,64.04,64.04,0.0
2022-01-26,64.35,64.35,64.35,64.35,0.0
2022-01-27,63.99,63.99,63.99,63.99,0.0
2022-01-28,63.71,63.71,63.71,63.71,0.0
2022-01-31,64.23,64.23,64.23,64.23,0.0
2022-02-01,64.41,64.41,64.41,64.41,0.0
2022-02-02,64.59,64.59,64.59,64.59,0.0
2022-02-03,65.35,65.35,65.35,65.35,0.0
2022-02-04,65.73,65.73,65.73,65.73,0.0
2022-02-07,66.14,66.14,66.14,66.14,0.0
2022-02-08,65.81,65.81,65.81,65.81,0.0
2022-02-09,67.25,67.25,67.25,67.25,0.0
2022-02-10,67.87,67.87,67.87,67.87,0.0
2022-02-11,68.38,68.38,68.38,68.38,0.0
2022-02-14,68.58,68.58,68.58,68.58,0.0
2022-02-15,67.11,67.11,67.11,67.11,0.0
2022-02-16,67.45,67.45,67.45,67.45,0.0
2022-02-17,67.66,67.66,67.66,67.66,0.0
2022-02-18,67.97,67.97,67.97,67.97,0.0
2022-02-22,69.1,69.1,69.1,69.1,0.0
2022-02-23,70.05,70.05,70.05,70.05,0.0
2022-02-24,68.52,68.52,68.52,68.52,0.0
2022-02-25,66.87,66.87,66.87,66.87,0.0
2022-02-28,65.28,65.28,65.28,65.28,0.0
2022-03-01,66.89,66.89,66.89,66.89,0.0
2022-03-02,69.45,69.45,69.45,69.45,0.0
2022-03-03,69.31,69.31,69.31,69.31,0.0
2022-03-04,69.22,69.22,69.22,69.22,0.0
2022-03-07,67.55,67.55,67.55,67.55,0.0
2022-03-08,64.43,64.43,64.43,64.43,0.0
2022-03-09,64.3,64.3,64.3,64.3,0.0
2022-03-10,64.57,64.57,64.57,64.57,0.0
2022-03-11,66.11,66.11,66.11,66.11,0.0
2022-03-14,64.76,64.76,64.76,64.76,0.0
2022-03-15,66.64,66.64,66.64,66.64,0.0
2022-03-16,65.27,65.27,65.27,65.27,0.0
2022-03-17,67.11,67.11,67.11,67.11,0.0
2022-03-18,67.02,67.02,67.02,67.02,0.0
2022-03-21,68.26,68.26,68.26,68.26,0.0
2022-03-22,68.14,68.14,68.14,68.14,0.0
2022-03-23,68.39,68.39,68.39,68.39,0.0
2022-03-24,66.83,66.83,66.83,66.83,0.0
2022-03-25,67.88,67.88,67.88,67.88,0.0
2022-03-28,67.53,67.53,67.53,67.53,0.0
2022-03-29,67.35,67.35,67.35,67.35,0.0
2022-03-30,67.61,67.61,67.61,67.61,0.0
2022-03-31,67.55,67.55,67.55,67.55,0.0
2022-04-01,70.5,70.5,70.5,70.5,0.0
2022-04-04,69.07,69.07,69.07,69.07,0.0
2022-04-05,68.19,68.19,68.19,68.19,0.0
2022-04-06,66.59,66.59,66.59,66.59,0.0
2022-04-07,67.83,67.83,67.83,67.83,0.0
2022-04-08,67.84,67.84,67.84,67.84,0.0
2022-04-11,66.51,66.51,66.51,66.51,0.0
2022-04-12,67.4,67.4,67.4,67.4,0.0
2022-04-13,66.77,66.77,66.77,66.77,0.0
2022-04-14,65.71,65.71,65.71,65.71,0.0
2022-04-18,65.14,65.14,65.14,65.14,0.0
2022-04-19,64.65,64.65,64.65,64.65,0.0
2022-04-20,64.43,64.43,64.43,64.43,0.0
2022-04-21,65.7,65.7,65.7,65.7,0.0
2022-04-22,63.98,63.98,63.98,63.98,0.0
2022-04-25,63.52,63.52,63.52,63.52,0.0
2022-04-26,63.42,63.42,63.42,63.42,0.0
2022-04-27,62.76,62.76,62.76,62.76,0.0
2022-04-28,63.02,63.02,63.02,63.02,0.0
2022-04-29,62.34,62.34,62.34,62.34,0.0
2022-05-02,62.54,62.54,62.54,62.54,0.0
2022-05-03,62.98,62.98,62.98,62.98,0.0
2022-05-04,64.47,64.47,64.47,64.47,0.0
2022-05-05,64.8,64.8,64.8,64.8,0.0
2022-05-06,64.68,64.68,64.68,64.68,0.0
2022-05-09,62.76,62.76,62.76,62.76,0.0
2022-05-10,62.92,62.92,62.92,62.92,0.0
2022-05-11,65.86,65.86,65.86,65.86,0.0
2022-05-12,65.28,65.28,65.28,65.28,0.0
2022-05-13,63.46,63.46,63.46,63.46,0.0
2022-05-16,63.51,63.51,63.51,63.51,0.0
2022-05-17,64.94,64.94,64.94,64.94,0.0
2022-05-18,64.6,64.6,64.6,64.6,0.0
2022-05-19,65.42,65.42,65.42,65.42,0.0
2022-05-20,64.91,64.91,64.91,64.91,0.0
2022-05-23,65.93,65.93,65.93,65.93,0.0
2022-05-24,66.34,66.34,66.34,66.34,0.0
2022-05-25,66.61,66.61,66.61,66.61,0.0
2022-05-26,66.45,66.45,66.45,66.45,0.0
2022-05-27,66.21,66.21,66.21,66.21,0.0
2022-05-31,65.67,65.67,65.67,65.67,0.0
2022-06-01,65.06,65.06,65.06,65.06,0.0
2022-06-02,65.48,65.48,65.48,65.48,0.0
2022-06-03,64.93,64.93,64.93,64.93,0.0
2022-06-06,64.41,64.41,64.41,64.41,0.0
2022-06-07,65.97,65.97,65.97,65.97,0.0
2022-06-08,66.01,66.01,66.01,66.01,0.0
2022-06-09,66.99,66.99,66.99,66.99,0.0
2022-06-10,66.49,66.49,66.49,66.49,0.0
2022-06-13,66.87,66.87,66.87,66.87,0.0
2022-06-14,66.03,66.03,66.03,66.03,0.0
2022-06-15,65.71,65.71,65.71,65.71,0.0
2022-06-16,67.32,67.32,67.32,67.32,0.0
2022-06-17,66.5,66.5,66.5,66.5,0.0
2022-06-21,66.21,66.21,66.21,66.21,0.0
2022-06-22,65.1,65.1,65.1,65.1,0.0
2022-06-23,63.61,63.61,63.61,63.61,0.0
2022-06-24,65.56,65.56,65.56,65.56,0.0
2022-06-27,66.71,66.71,66.71,66.71,0.0
2022-06-28,68.2,68.2,68.2,68.2,0.0
2022-06-29,67.87,67.87,67.87,67.87,0.0
2022-06-30,65.45,65.45,65.45,65.45,0.0
2022-07-01,65.25,65.25,65.25,65.25,0.0
2022-07-05,62.72,62.72,62.72,62.72,0.0
2022-07-06,63.03,63.03,63.03,63.03,0.0
2022-07-07,64.01,64.01,64.01,64.01,0.0
2022-07-08,64.25,64.25,64.25,64.25,0.0
2022-07-11,65.96,65.96,65.96,65.96,0.0
2022-07-12,63.96,63.96,63.96,63.96,0.0
2022-07-13,64.87,64.87,64.87,64.87,0.0
2022-07-14,64.19,64.19,64.19,64.19,0.0
2022-07-15,65.35,65.35,65.35,65.35,0.0
2022-07-18,67.66,67.66,67.66,67.66,0.0
2022-07-19,67.55,67.55,67.55,67.55,0.0
2022-07-20,66.75,66.75,66.75,66.75,0.0
2022-07-21,65.79,65.79,65.79,65.79,0.0
2022-07-22,65.54,65.54,65.54,65.54,0.0
2022-07-25,66.29,66.29,66.29,66.29,0.0
2022-07-26,66.41,66.41,66.41,66.41,0.0
2022-07-27,67.76,67.76,67.76,67.76,0.0
2022-07-28,66.48,66.48,66.48,66.48,0.0
2022-07-29,67.37,67.37,67.37,67.37,0.0
2022-08-01,65.99,65.99,65.99,65.99,0.0
2022-08-02,67.51,67.51,67.51,67.51,0.0
