DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2012-12-27,7680.0,7680.0,7680.0,7680.0,157.0
2012-12-28,7640.0,7640.0,7632.0,7632.0,37.0
2013-01-02,7788.5,7800.0,7788.5,7791.0,9.0
2013-01-03,7775.0,7779.5,7759.0,7771.5,63.0
2013-01-04,7756.0,7794.5,7753.5,7783.5,57.0
2013-01-07,7773.5,7773.5,7743.5,7746.0,55.0
2013-01-08,7735.5,7735.5,7707.5,7714.0,93.0
2013-01-09,7719.0,7741.0,7718.0,7741.0,43.0
2013-01-10,7755.0,7764.0,7724.0,7724.0,22.0
2013-01-11,7713.0,7734.0,7713.0,7732.5,10.0
2013-01-14,7758.5,7798.5,7743.5,7755.0,7.0
2013-01-15,7724.0,7739.5,7670.5,7689.0,12.0
2013-01-16,7678.0,7710.5,7678.0,7710.0,10.0
2013-01-17,7692.5,7780.0,7686.0,7748.5,6.0
2013-01-18,7737.0,7737.0,7732.0,7736.5,21.0
2013-01-21,7755.0,7767.0,7754.5,7767.0,5.0
2013-01-22,7765.0,7767.0,7705.0,7723.5,16.0
2013-01-23,7719.0,7744.0,7719.0,7731.0,6.0
2013-01-24,7725.0,7771.0,7689.0,7768.5,11.0
2013-01-25,7764.0,7887.0,7764.0,7870.5,149.0
2013-01-28,7900.0,7900.0,7852.0,7855.0,32.0
2013-01-29,7861.5,7873.5,7822.0,7873.5,71.0
2013-01-30,7880.0,7883.5,7800.0,7826.0,23.0
2013-01-31,7807.0,7828.5,7797.5,7815.0,19.0
2013-02-01,7812.0,7872.0,7812.0,7849.0,122.0
2013-02-04,7843.0,7852.5,7650.0,7665.0,16.0
2013-02-05,7674.0,7692.0,7674.0,7683.5,3.0
2013-02-06,7690.5,7700.0,7565.0,7605.5,66.0
2013-02-07,7604.5,7674.0,7591.0,7608.5,474.0
2013-02-08,7633.5,7672.0,7606.5,7662.5,81.0
2013-02-11,7668.0,7685.0,7626.5,7648.0,49.0
2013-02-12,7636.0,7685.5,7611.0,7672.0,79.0
2013-02-13,7675.5,7752.5,7669.5,7727.5,97.0
2013-02-14,7717.0,7738.0,7637.5,7651.0,70.0
2013-02-15,7640.0,7666.0,7592.0,7609.0,56.0
2013-02-18,7620.0,7646.0,7587.5,7646.0,28.0
2013-02-19,7635.5,7778.5,7631.5,7774.5,85.0
2013-02-20,7779.0,7793.5,7725.0,7748.5,32.0
2013-02-21,7698.0,7703.0,7590.0,7599.0,146.0
2013-02-22,7635.5,7694.0,7628.0,7676.5,146.0
2013-02-25,7714.5,7875.5,7651.0,7785.0,295.0
2013-02-26,7636.5,7679.0,7612.0,7615.0,290.0
2013-02-27,7656.0,7693.0,7592.5,7693.0,220.0
2013-02-28,7730.0,7798.5,7715.5,7767.0,172.0
2013-03-01,7744.5,7772.0,7643.5,7730.0,455.0
2013-03-04,7682.5,7748.0,7659.5,7717.0,493.0
2013-03-05,7768.0,7900.0,7753.5,7888.5,843.0
2013-03-06,7869.5,7993.5,7869.5,7937.0,1598.0
2013-03-07,7954.0,7974.0,7932.0,7952.0,2252.0
2013-03-08,7964.5,8048.5,7964.5,8002.0,2448.0
