DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-05-06,26435.0,26435.0,26435.0,26435.0,0.0
2019-05-07,26003.0,26003.0,26003.0,26003.0,0.0
2019-05-08,26045.0,26045.0,26045.0,26045.0,0.0
2019-05-09,25843.0,25843.0,25843.0,25843.0,0.0
2019-05-10,25988.0,25988.0,25988.0,25988.0,0.0
2019-05-13,25300.0,25300.0,25300.0,25300.0,0.0
2019-05-14,25588.0,25588.0,25588.0,25588.0,0.0
2019-05-15,25685.0,25685.0,25685.0,25685.0,0.0
2019-05-16,25878.0,25878.0,25878.0,25878.0,0.0
2019-05-17,25791.0,25791.0,25791.0,25791.0,0.0
2019-05-20,25704.0,25704.0,25704.0,25704.0,0.0
2019-05-21,25883.0,25883.0,25883.0,25883.0,0.0
2019-05-22,25781.0,25781.0,25781.0,25781.0,0.0
2019-05-23,25471.0,25471.0,25471.0,25471.0,0.0
2019-05-24,25623.0,25623.0,25623.0,25623.0,0.0
2019-05-28,25374.0,25374.0,25374.0,25374.0,0.0
2019-05-29,25114.0,25114.0,25114.0,25114.0,0.0
2019-05-30,25194.0,25194.0,25194.0,25194.0,0.0
2019-05-31,24824.0,24824.0,24824.0,24824.0,0.0
2019-06-03,24870.0,24870.0,24870.0,24870.0,0.0
2019-06-04,25335.0,25335.0,25335.0,25335.0,0.0
2019-06-05,25550.0,25550.0,25550.0,25550.0,0.0
2019-06-06,25728.0,25728.0,25728.0,25728.0,0.0
2019-06-07,25988.0,25988.0,25988.0,25988.0,0.0
2019-06-10,26000.0,26096.0,26000.0,26081.0,6.0
2019-06-11,26056.0,26056.0,26056.0,26056.0,0.0
2019-06-12,25995.0,25995.0,25995.0,25995.0,0.0
2019-06-13,26101.0,26101.0,26101.0,26101.0,0.0
2019-06-14,26116.0,26116.0,26116.0,26116.0,0.0
2019-06-17,26124.0,26124.0,26124.0,26124.0,0.0
2019-06-18,26489.0,26489.0,26489.0,26489.0,0.0
