DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-09-22,11090.0,11090.0,11090.0,11090.0,0.0
2008-09-23,10886.0,10886.0,10886.0,10886.0,0.0
2008-09-24,10880.0,10880.0,10880.0,10880.0,0.0
2008-09-25,11038.0,11038.0,11038.0,11038.0,0.0
2008-09-26,11167.0,11167.0,11167.0,11167.0,0.0
2008-09-29,10484.0,10484.0,10484.0,10484.0,0.0
2008-09-30,10871.0,10871.0,10871.0,10871.0,0.0
2008-10-01,10870.0,10897.0,10870.0,10897.0,1.0
2008-10-02,10896.0,10896.0,10567.0,10567.0,0.0
2008-10-03,10565.0,10630.0,10374.0,10374.0,1.0
2008-10-06,9974.0,9974.0,9974.0,9974.0,0.0
2008-10-07,9551.0,9551.0,9551.0,9551.0,0.0
2008-10-08,9224.0,9224.0,9224.0,9224.0,0.0
2008-10-09,8629.0,8629.0,8629.0,8629.0,0.0
2008-10-10,8401.0,8401.0,8401.0,8401.0,0.0
2008-10-13,9519.0,9519.0,9519.0,9519.0,0.0
2008-10-14,9373.0,9373.0,9373.0,9373.0,0.0
2008-10-15,8515.0,8515.0,8515.0,8515.0,0.0
2008-10-16,8516.0,8977.0,8510.0,8977.0,2.0
2008-10-17,8782.0,8782.0,8782.0,8782.0,0.0
2008-10-20,9328.0,9328.0,9328.0,9328.0,0.0
2008-10-21,9046.0,9046.0,9046.0,9046.0,0.0
2008-10-22,8507.0,8507.0,8507.0,8507.0,0.0
2008-10-23,8724.0,8724.0,8724.0,8724.0,0.0
2008-10-24,8324.0,8324.0,8211.0,8211.0,1.0
2008-10-27,7961.0,7961.0,7961.0,7961.0,0.0
2008-10-28,8701.0,9039.0,8701.0,9039.0,1.0
2008-10-29,8789.0,8789.0,8789.0,8789.0,0.0
2008-10-30,9161.0,9161.0,9161.0,9161.0,0.0
2008-10-31,9233.0,9233.0,9233.0,9233.0,0.0
2008-11-03,9267.0,9267.0,9267.0,9267.0,0.0
2008-11-04,9518.0,9518.0,9518.0,9518.0,0.0
2008-11-05,9102.0,9102.0,9102.0,9102.0,0.0
2008-11-06,8618.0,8618.0,8618.0,8618.0,0.0
2008-11-07,8901.0,8901.0,8901.0,8901.0,0.0
2008-11-10,8784.0,8784.0,8784.0,8784.0,0.0
2008-11-11,8534.0,8534.0,8534.0,8534.0,0.0
2008-11-12,8175.0,8175.0,8175.0,8175.0,0.0
2008-11-13,8730.0,8730.0,8730.0,8730.0,0.0
2008-11-14,8271.0,8271.0,8271.0,8271.0,0.0
2008-11-17,8156.0,8156.0,8156.0,8156.0,0.0
2008-11-18,8384.0,8384.0,8384.0,8384.0,0.0
2008-11-19,7913.0,7913.0,7913.0,7913.0,0.0
2008-11-20,7367.0,7367.0,7367.0,7367.0,0.0
2008-11-21,7916.0,7916.0,7916.0,7916.0,0.0
2008-11-24,8285.0,8285.0,8285.0,8285.0,0.0
2008-11-25,8345.0,8345.0,8345.0,8345.0,0.0
2008-11-26,8598.0,8598.0,8598.0,8598.0,0.0
2008-11-28,8721.0,8721.0,8721.0,8721.0,0.0
2008-12-01,8039.0,8039.0,8039.0,8039.0,0.0
2008-12-02,8347.0,8347.0,8347.0,8347.0,0.0
2008-12-03,8346.0,8494.0,8150.0,8494.0,2.0
2008-12-04,8312.0,8312.0,8312.0,8312.0,0.0
2008-12-05,8527.0,8527.0,8527.0,8527.0,0.0
2008-12-08,8791.0,8791.0,8791.0,8791.0,0.0
2008-12-09,8640.0,8640.0,8640.0,8640.0,0.0
2008-12-10,8635.0,8635.0,8635.0,8635.0,0.0
2008-12-11,8517.0,8517.0,8517.0,8517.0,0.0
2008-12-12,8609.0,8609.0,8609.0,8609.0,0.0
2008-12-15,8524.0,8524.0,8524.0,8524.0,0.0
2008-12-16,8834.0,8834.0,8834.0,8834.0,0.0
2008-12-17,8720.0,8720.0,8720.0,8720.0,0.0
2008-12-18,8588.0,8588.0,8588.0,8588.0,0.0
2008-12-19,8443.0,8443.0,8443.0,8443.0,0.0
2008-12-22,8449.0,8449.0,8449.0,8449.0,0.0
2008-12-23,8298.0,8298.0,8298.0,8298.0,0.0
2008-12-24,8333.0,8333.0,8333.0,8333.0,0.0
2008-12-26,8382.0,8382.0,8382.0,8382.0,0.0
2008-12-29,8383.0,8383.0,8383.0,8383.0,0.0
2008-12-30,8539.0,8539.0,8539.0,8539.0,0.0
2008-12-31,8623.0,8623.0,8623.0,8623.0,0.0
2009-01-02,8854.0,8854.0,8854.0,8854.0,0.0
2009-01-05,8804.0,8804.0,8804.0,8804.0,0.0
2009-01-06,8845.0,8845.0,8845.0,8845.0,0.0
2009-01-07,8634.0,8634.0,8634.0,8634.0,0.0
2009-01-08,8586.0,8586.0,8586.0,8586.0,0.0
2009-01-09,8423.0,8423.0,8423.0,8423.0,0.0
2009-01-12,8343.0,8343.0,8343.0,8343.0,0.0
2009-01-13,8303.0,8303.0,8303.0,8303.0,0.0
2009-01-14,8054.0,8054.0,8054.0,8054.0,0.0
2009-01-15,8057.0,8057.0,8057.0,8057.0,0.0
2009-01-16,8138.0,8138.0,8138.0,8138.0,0.0
2009-01-20,7840.0,7840.0,7840.0,7840.0,0.0
2009-01-21,8073.0,8073.0,8073.0,8073.0,0.0
2009-01-22,7987.0,7987.0,7987.0,7987.0,0.0
2009-01-23,7868.0,7868.0,7868.0,7868.0,0.0
2009-01-26,7937.0,7937.0,7937.0,7937.0,0.0
2009-01-27,7993.0,7993.0,7993.0,7993.0,0.0
2009-01-28,8219.0,8219.0,8219.0,8219.0,0.0
2009-01-29,8009.0,8009.0,8009.0,8009.0,0.0
2009-01-30,7853.0,7853.0,7853.0,7853.0,0.0
2009-02-02,7815.0,7815.0,7815.0,7815.0,0.0
2009-02-03,7907.0,7928.0,7838.0,7914.0,1.0
2009-02-04,7987.0,8100.0,7801.0,7855.0,6.0
2009-02-05,7923.0,7923.0,7923.0,7923.0,0.0
2009-02-06,8183.0,8183.0,8183.0,8183.0,0.0
2009-02-09,8145.0,8145.0,8145.0,8145.0,0.0
2009-02-10,7807.0,7807.0,7807.0,7807.0,0.0
2009-02-11,7826.0,7826.0,7826.0,7826.0,0.0
2009-02-12,7866.0,7866.0,7866.0,7866.0,0.0
2009-02-13,7708.0,7708.0,7708.0,7708.0,0.0
2009-02-17,7437.0,7437.0,7437.0,7437.0,0.0
2009-02-18,7413.0,7413.0,7413.0,7413.0,0.0
2009-02-19,7391.0,7391.0,7391.0,7391.0,0.0
2009-02-20,7200.0,7278.0,7200.0,7278.0,1.0
2009-02-23,7041.0,7041.0,7041.0,7041.0,0.0
2009-02-24,7229.0,7229.0,7229.0,7229.0,0.0
2009-02-25,7154.0,7154.0,7154.0,7154.0,0.0
2009-02-26,7106.0,7106.0,7106.0,7106.0,0.0
2009-02-27,6980.0,6980.0,6980.0,6980.0,0.0
2009-03-02,6707.0,6707.0,6707.0,6707.0,0.0
2009-03-03,6600.0,6737.0,6584.0,6584.0,3.0
2009-03-04,6829.0,6838.0,6745.0,6745.0,7.0
2009-03-05,6655.0,6815.0,6500.0,6555.0,9.0
2009-03-06,6494.0,6606.0,6415.0,6598.0,18.0
2009-03-09,6431.0,6586.0,6431.0,6452.0,8.0
2009-03-10,6638.0,6827.0,6610.0,6808.0,7.0
2009-03-11,6824.0,6824.0,6824.0,6824.0,40.0
2009-03-12,6950.0,7078.0,6805.0,7078.0,5.0
2009-03-13,7123.0,7142.0,7039.0,7142.0,2.0
2009-03-16,7146.0,7146.0,7146.0,7146.0,0.0
2009-03-17,7151.0,7317.0,7112.0,7317.0,19.0
2009-03-18,7250.0,7429.0,7250.0,7408.0,12.0
2009-03-19,7395.0,7430.0,7310.0,7321.0,10.0
2009-03-20,7301.0,7350.0,7180.0,7180.0,10.0
2009-03-23,7380.0,7698.0,7367.0,7670.0,12.0
2009-03-24,7657.0,7697.0,7551.0,7576.0,182.0
2009-03-25,7660.0,7760.0,7451.0,7636.0,42.0
2009-03-26,7732.0,7827.0,7657.0,7805.0,33.0
2009-03-27,7788.0,7814.0,7636.0,7716.0,37.0
2009-03-30,7622.0,7622.0,7338.0,7430.0,51.0
2009-03-31,7500.0,7620.0,7444.0,7512.0,53.0
2009-04-01,7447.0,7681.0,7383.0,7670.0,87.0
2009-04-02,7675.0,7973.0,7665.0,7910.0,81.0
2009-04-03,7924.0,7977.0,7798.0,7935.0,20.0
2009-04-06,8000.0,8000.0,7763.0,7869.0,76.0
2009-04-07,7861.0,7891.0,7667.0,7715.0,18.0
2009-04-08,7624.0,7788.0,7614.0,7746.0,57.0
2009-04-09,7665.0,7986.0,7665.0,7970.0,50.0
2009-04-13,7929.0,8016.0,7867.0,7948.0,97.0
2009-04-14,7940.0,7987.0,7798.0,7835.0,77.0
2009-04-15,7823.0,7941.0,7769.0,7929.0,50.0
2009-04-16,7950.0,8064.0,7859.0,8010.0,68.0
2009-04-17,7977.0,8082.0,7958.0,8032.0,27.0
2009-04-20,7980.0,8004.0,7735.0,7768.0,178.0
2009-04-21,7800.0,7876.0,7677.0,7869.0,28.0
