DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-03-19,94.326,94.326,94.326,94.326,0.0
2019-03-20,93.706,93.706,93.706,93.706,0.0
2019-03-21,94.477,94.477,94.477,94.477,0.0
2019-03-22,94.641,94.641,94.641,94.641,0.0
2019-03-25,94.558,94.558,94.558,94.558,0.0
2019-03-26,94.625,94.715,94.625,94.715,1.0
2019-03-27,94.773,94.773,94.773,94.773,0.0
2019-03-28,95.244,95.244,95.244,95.244,0.0
2019-03-29,95.125,95.335,95.125,95.335,55.0
2019-04-01,95.289,95.289,95.289,95.289,0.0
2019-04-02,95.413,95.413,95.413,95.413,0.0
2019-04-03,95.157,95.157,95.157,95.157,0.0
2019-04-04,95.41,95.41,95.41,95.41,0.0
2019-04-05,95.5,95.5,95.487,95.487,2.0
2019-04-08,95.09,95.09,95.09,95.09,0.0
2019-04-09,95.071,95.071,95.071,95.071,0.0
2019-04-10,95.018,95.018,95.018,95.018,0.0
2019-04-11,95.239,95.239,95.239,95.239,0.0
2019-04-12,94.9,95.043,94.9,95.043,1.0
2019-04-15,94.9,95.001,94.9,95.001,3.0
2019-04-16,95.092,95.092,95.092,95.092,0.0
2019-04-17,95.098,95.098,95.098,95.098,0.0
2019-04-18,95.576,95.576,95.576,95.576,0.0
2019-04-22,95.375,95.375,95.375,95.375,0.0
2019-04-23,95.735,95.735,95.735,95.735,0.0
2019-04-24,96.28,96.28,96.28,96.28,0.0
2019-04-25,96.46,96.46,96.21,96.344,4.0
2019-04-26,96.025,96.151,96.025,96.151,2.0
2019-04-29,96.006,96.006,96.006,96.006,0.0
2019-04-30,95.95,95.95,95.626,95.626,2.0
2019-05-01,95.58,95.87,95.53,95.87,2.0
2019-05-02,96.006,96.006,96.006,96.006,0.0
2019-05-03,95.785,95.785,95.7,95.7,1.0
2019-05-06,95.713,95.713,95.713,95.713,0.0
2019-05-07,95.844,95.844,95.844,95.844,0.0
2019-05-08,95.833,95.833,95.833,95.833,0.0
2019-05-09,95.855,95.855,95.609,95.609,1.0
2019-05-10,95.57,95.57,95.57,95.57,0.0
2019-05-13,95.59,95.59,95.42,95.565,32.0
2019-05-14,95.802,95.802,95.802,95.802,0.0
2019-05-15,95.835,95.856,95.835,95.856,2.0
2019-05-16,96.153,96.153,96.153,96.153,0.0
2019-05-17,96.26,96.299,96.26,96.299,2.0
2019-05-20,96.239,96.239,96.239,96.239,0.0
2019-05-21,96.351,96.351,96.351,96.351,0.0
2019-05-22,96.336,96.336,96.336,96.336,0.0
2019-05-23,96.183,96.183,96.183,96.183,0.0
2019-05-24,95.942,95.942,95.942,95.942,0.0
2019-05-27,95.942,95.942,95.942,95.942,0.0
2019-05-28,96.11,96.292,96.11,96.292,20.0
2019-05-29,96.565,96.565,96.49,96.49,1.0
2019-05-30,96.503,96.503,96.503,96.503,0.0
