DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-31,1994.5,1994.5,1994.5,1994.5,0.0
2022-06-01,1878.0,1878.0,1878.0,1878.0,0.0
2022-06-02,1877.5,1877.5,1877.5,1877.5,0.0
2022-06-03,1804.0,1804.0,1804.0,1804.0,0.0
2022-06-06,1914.5,1914.5,1914.5,1914.5,0.0
2022-06-07,1893.0,1893.0,1893.0,1893.0,0.0
2022-06-08,1824.5,1824.5,1824.5,1824.5,0.0
2022-06-09,1817.5,1817.5,1817.5,1817.5,0.0
2022-06-10,1701.0,1701.0,1701.0,1701.0,0.0
2022-06-13,1243.5,1243.5,1243.5,1243.5,0.0
2022-06-14,1200.0,1250.5,1182.0,1222.5,10.0
2022-06-15,1189.5,1189.5,1189.5,1189.5,0.0
2022-06-16,1108.0,1108.0,1108.0,1108.0,0.0
2022-06-17,1092.5,1092.5,1092.5,1092.5,0.0
2022-06-21,1139.5,1139.5,1139.5,1139.5,0.0
2022-06-22,1080.0,1080.0,1080.0,1080.0,0.0
2022-06-23,1135.5,1135.5,1135.5,1135.5,0.0
2022-06-24,1241.0,1241.0,1241.0,1241.0,0.0
2022-06-27,1209.0,1209.0,1209.0,1209.0,0.0
2022-06-28,1181.0,1230.5,1163.5,1163.5,25.0
2022-06-29,1124.5,1124.5,1124.5,1124.5,0.0
2022-06-30,1023.5,1023.5,1023.5,1023.5,0.0
2022-07-01,1073.0,1073.0,1073.0,1073.0,0.0
2022-07-05,1155.0,1155.0,1155.0,1155.0,0.0
2022-07-06,1160.0,1160.0,1160.0,1160.0,0.0
2022-07-07,1257.5,1257.5,1257.5,1257.5,0.0
2022-07-08,1250.5,1250.5,1250.5,1250.5,0.0
2022-07-11,1148.0,1148.0,1148.0,1148.0,0.0
2022-07-12,1048.0,1048.0,1048.0,1048.0,0.0
2022-07-13,1083.0,1083.0,1083.0,1083.0,0.0
2022-07-14,1199.5,1199.5,1199.5,1199.5,0.0
2022-07-15,1273.0,1273.0,1273.0,1273.0,0.0
2022-07-18,1476.5,1476.5,1476.5,1476.5,0.0
2022-07-19,1570.0,1570.0,1570.0,1570.0,0.0
2022-07-20,1556.5,1556.5,1556.5,1556.5,0.0
2022-07-21,1588.0,1588.0,1588.0,1588.0,0.0
2022-07-22,1601.0,1645.0,1529.0,1537.0,50.0
2022-07-25,1499.0,1499.0,1499.0,1499.0,0.0
2022-07-26,1373.5,1373.5,1373.5,1373.5,0.0
2022-07-27,1596.5,1596.5,1596.5,1596.5,0.0
2022-07-28,1736.0,1736.0,1736.0,1736.0,0.0
2022-07-29,1733.5,1733.5,1733.5,1733.5,0.0
2022-08-01,1629.0,1629.0,1629.0,1629.0,0.0
2022-08-02,1643.0,1643.0,1643.0,1643.0,0.0
2022-08-03,1628.5,1682.0,1592.5,1656.5,18.0
2022-08-04,1660.5,1660.5,1573.5,1581.0,18.0
2022-08-05,1673.5,1673.5,1673.5,1673.5,0.0
2022-08-08,1765.5,1765.5,1765.5,1765.5,0.0
2022-08-09,1751.0,1768.0,1644.0,1662.0,17.0
2022-08-10,1797.5,1797.5,1797.5,1797.5,0.0
2022-08-11,1862.5,1909.5,1862.5,1877.0,56.0
2022-08-12,1880.0,1912.5,1834.5,1907.5,30.0
2022-08-15,1912.5,1988.0,1852.0,1867.5,103.0
2022-08-16,1853.0,1890.5,1832.0,1859.0,24.0
2022-08-17,1912.5,1937.0,1798.5,1819.0,21.0
2022-08-18,1851.0,1851.0,1851.0,1851.0,0.0
2022-08-19,1675.0,1691.0,1655.5,1678.5,56.0
2022-08-22,1564.0,1564.0,1511.0,1546.5,23.0
2022-08-23,1592.5,1657.5,1544.0,1636.5,17.0
2022-08-24,1657.0,1673.5,1588.5,1662.0,10.0
2022-08-25,1685.0,1702.0,1634.0,1693.0,30.0
2022-08-26,1626.0,1626.0,1516.0,1540.0,969.0
2022-08-29,1477.5,1529.0,1401.5,1510.0,284.0
2022-08-30,1553.5,1583.5,1453.0,1524.5,56.0
2022-08-31,1557.0,1557.0,1557.0,1557.0,0.0
2022-09-01,1553.5,1563.5,1491.0,1546.0,19.0
2022-09-02,1528.0,1629.5,1523.5,1535.0,20.0
2022-09-06,1628.0,1666.5,1530.5,1550.5,25.0
2022-09-07,1503.0,1632.5,1468.5,1551.0,19.0
2022-09-08,1621.0,1646.0,1577.0,1632.5,25.0
2022-09-09,1682.0,1733.0,1611.5,1707.0,27.0
2022-09-12,1724.5,1771.0,1680.0,1710.0,40.0
2022-09-13,1665.5,1738.5,1551.5,1586.0,194.0
2022-09-14,1578.5,1599.5,1532.0,1581.0,82.0
2022-09-15,1600.0,1651.0,1456.5,1496.5,224.0
2022-09-16,1469.5,1469.5,1403.5,1427.0,30.0
2022-09-19,1350.0,1365.0,1278.5,1358.5,11.0
2022-09-20,1347.5,1347.5,1347.5,1347.5,0.0
2022-09-21,1357.5,1377.0,1303.5,1318.5,98.0
2022-09-22,1251.5,1330.5,1216.5,1320.0,302.0
2022-09-23,1289.0,1353.5,1257.5,1289.0,12.0
2022-09-26,1318.5,1333.5,1274.5,1323.5,48.0
2022-09-27,1380.5,1394.5,1300.0,1320.5,60.0
2022-09-28,1293.5,1348.0,1247.5,1328.5,2009.0
2022-09-29,1333.5,1344.5,1282.5,1326.0,70.0
2022-09-30,1331.5,1331.5,1331.5,1331.5,0.0
2022-10-03,1312.5,1312.5,1312.5,1312.5,0.0
2022-10-04,1343.5,1366.0,1340.0,1351.5,472.0
2022-10-05,1328.0,1364.0,1312.5,1344.0,66.0
2022-10-06,1374.5,1381.0,1342.5,1354.0,167.0
2022-10-07,1315.5,1355.5,1312.0,1323.5,12.0
2022-10-10,1313.0,1333.0,1291.5,1300.0,208.0
2022-10-11,1287.5,1287.5,1260.0,1274.5,774.0
2022-10-12,1288.5,1300.0,1267.0,1290.5,32.0
2022-10-13,1250.0,1293.5,1178.0,1278.0,1650.0
2022-10-14,1300.0,1337.0,1276.0,1291.0,503.0
2022-10-17,1300.0,1331.5,1289.0,1320.5,509.0
2022-10-18,1331.0,1337.5,1280.5,1296.0,2017.0
2022-10-19,1305.5,1310.5,1283.5,1292.5,407.0
2022-10-20,1278.0,1306.5,1266.5,1279.5,1032.0
2022-10-21,1276.0,1302.5,1249.5,1298.5,561.0
2022-10-24,1340.0,1367.0,1318.0,1338.5,6274.0
2022-10-25,1338.5,1520.5,1329.0,1490.0,12435.0
2022-10-26,1469.0,1592.0,1444.5,1561.5,10605.0
2022-10-27,1564.0,1583.5,1511.5,1566.0,13332.0
2022-10-28,1525.0,1581.0,1481.0,1562.0,19088.0
2022-10-31,1600.5,1638.5,1549.0,1566.0,13243.0
2022-11-01,1551.0,1615.0,1551.0,1579.5,7885.0
2022-11-02,1576.5,1622.5,1503.0,1537.5,23905.0
2022-11-03,1516.0,1560.0,1507.0,1546.0,5875.0
2022-11-04,1540.0,1681.5,1523.0,1650.0,14547.0
2022-11-07,1613.0,1613.0,1548.5,1602.5,10252.0
2022-11-08,1564.0,1580.0,1234.5,1308.0,58441.0
2022-11-09,1311.5,1340.0,1034.5,1134.0,47986.0
2022-11-10,1050.5,1310.5,1048.0,1309.0,40613.0
2022-11-11,1296.0,1296.5,1160.0,1209.5,37584.0
2022-11-14,1173.5,1259.5,1131.0,1193.5,22609.0
2022-11-15,1202.5,1272.5,1202.5,1238.5,14307.0
2022-11-16,1232.0,1256.0,1157.5,1187.5,22662.0
2022-11-17,1182.5,1208.5,1155.0,1187.0,13228.0
2022-11-18,1195.5,1221.0,1183.0,1201.0,8040.0
2022-11-21,1152.5,1159.5,1072.0,1097.5,14687.0
2022-11-22,1100.5,1137.5,1067.5,1123.5,11893.0
2022-11-23,1131.5,1187.5,1123.0,1175.5,11397.0
2022-11-25,1181.0,1216.0,1172.5,1189.78,9633.0
