DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2026-03-27,2175.0,2175.0,2175.0,2175.0,0.0
2026-03-30,2202.0,2202.0,2202.0,2202.0,0.0
2026-03-31,2282.0,2282.0,2282.0,2282.0,0.0
2026-04-01,2332.0,2332.0,2332.0,2332.0,0.0
2026-04-02,2248.5,2248.5,2248.5,2248.5,0.0
2026-04-06,2333.5,2333.5,2333.5,2333.5,0.0
2026-04-07,2299.0,2299.0,2299.0,2299.0,0.0
2026-04-08,2405.5,2405.5,2405.5,2405.5,0.0
2026-04-09,2411.5,2411.5,2411.5,2411.5,0.0
2026-04-10,2451.5,2451.5,2451.5,2451.5,0.0
2026-04-13,2460.5,2460.5,2460.5,2460.5,0.0
2026-04-14,2515.0,2515.0,2515.0,2515.0,0.0
2026-04-15,2582.0,2582.0,2582.0,2582.0,0.0
2026-04-16,2565.5,2565.5,2565.5,2565.5,0.0
2026-04-17,2640.0,2640.0,2640.0,2640.0,0.0
2026-04-20,2534.0,2534.0,2534.0,2534.0,0.0
2026-04-21,2496.0,2496.0,2496.0,2496.0,0.0
2026-04-22,2602.5,2602.5,2602.5,2602.5,0.0
2026-04-23,2512.0,2512.0,2512.0,2512.0,0.0
2026-04-24,2520.0,2520.0,2520.0,2520.0,0.0
2026-04-27,2482.0,2482.0,2482.0,2482.0,0.0
2026-04-28,2496.0,2496.0,2496.0,2496.0,0.0
2026-04-29,2419.5,2419.5,2419.5,2419.5,0.0
2026-04-30,2452.0,2452.0,2452.0,2452.0,0.0
2026-05-01,2499.5,2499.5,2499.5,2499.5,0.0
2026-05-04,2553.0,2553.0,2553.0,2553.0,0.0
2026-05-05,2569.5,2569.5,2569.5,2569.5,0.0
2026-05-06,2544.5,2544.5,2544.5,2544.5,0.0
2026-05-07,2486.0,2486.0,2486.0,2486.0,0.0
2026-05-08,2504.5,2504.5,2504.5,2504.5,0.0
2026-05-11,2532.5,2532.5,2532.5,2532.5,0.0
2026-05-12,2472.0,2472.0,2472.0,2472.0,0.0
2026-05-13,2441.0,2441.0,2441.0,2441.0,0.0
2026-05-14,2487.0,2487.0,2487.0,2487.0,0.0
2026-05-15,2404.0,2404.0,2404.0,2404.0,0.0
2026-05-18,2296.0,2296.0,2296.0,2296.0,0.0
2026-05-19,2282.0,2282.0,2282.0,2282.0,0.0
2026-05-20,2310.0,2310.0,2310.0,2310.0,0.0
2026-05-21,2313.5,2313.5,2313.5,2313.5,0.0
2026-05-22,2229.0,2229.0,2229.0,2229.0,0.0
2026-05-26,2237.0,2237.0,2237.0,2237.0,0.0
2026-05-27,2218.0,2218.0,2218.0,2218.0,0.0
2026-05-28,2172.0,2172.0,2172.0,2172.0,0.0
2026-05-29,2175.0,2175.0,2175.0,2175.0,0.0
2026-06-01,2160.0,2160.0,2160.0,2160.0,0.0
2026-06-02,2059.5,2059.5,2059.5,2059.5,0.0
2026-06-03,1944.5,1944.5,1944.5,1944.5,0.0
2026-06-04,1915.5,1915.5,1915.5,1915.5,0.0
2026-06-05,1698.0,1698.0,1698.0,1698.0,0.0
2026-06-08,1816.0,1816.0,1816.0,1816.0,0.0
2026-06-09,1784.5,1784.5,1784.5,1784.5,0.0
2026-06-10,1755.0,1755.0,1755.0,1755.0,0.0
2026-06-11,1810.0,1810.0,1810.0,1810.0,0.0
2026-06-12,1793.5,1793.5,1793.5,1793.5,0.0
2026-06-15,1957.5,1957.5,1957.5,1957.5,0.0
2026-06-16,1931.0,1931.0,1931.0,1931.0,0.0
2026-06-17,1865.5,1865.5,1865.5,1865.5,0.0
2026-06-18,1833.0,1833.0,1833.0,1833.0,0.0
2026-06-22,1864.0,1864.0,1864.0,1864.0,0.0
2026-06-23,1786.0,1786.0,1786.0,1786.0,0.0
2026-06-24,1701.5,1701.5,1701.5,1701.5,0.0
2026-06-25,1673.5,1673.5,1673.5,1673.5,0.0
2026-06-26,1694.0,1694.0,1694.0,1694.0,0.0
2026-06-29,1744.5,1744.5,1744.5,1744.5,0.0
2026-06-30,1695.0,1695.0,1695.0,1695.0,0.0
2026-07-01,1736.0,1736.0,1736.0,1736.0,0.0
2026-07-02,1824.0,1824.0,1824.0,1824.0,0.0
2026-07-06,1923.5,1923.5,1923.5,1923.5,0.0
2026-07-07,1919.0,1919.0,1919.0,1919.0,0.0
2026-07-08,1866.0,1866.0,1866.0,1866.0,0.0
2026-07-09,1874.0,1874.0,1874.0,1874.0,0.0
2026-07-10,1921.0,1921.0,1921.0,1921.0,0.0
2026-07-13,1901.0,1901.0,1901.0,1901.0,0.0
2026-07-14,2011.0,2011.0,2011.0,2011.0,0.0
2026-07-15,2060.5,2060.5,2060.5,2060.5,0.0
2026-07-16,2008.5,2008.5,2008.5,2008.5,0.0
2026-07-17,1974.5,1974.5,1974.5,1974.5,0.0
2026-07-20,2031.5,2031.5,2031.5,2031.5,0.0
2026-07-21,2058.5,2058.5,2058.5,2058.5,0.0
2026-07-22,2060.5,2060.5,2060.5,2060.5,0.0
2026-07-23,2006.5,2006.5,2006.5,2006.5,0.0
2026-07-24,1992.5,1992.5,1992.5,1992.5,0.0
2026-07-27,2082.5,2082.5,2082.5,2082.5,0.0
2026-07-28,2053.0,2053.0,2053.0,2053.0,0.0
2026-07-29,2017.0,2017.0,2017.0,2017.0,0.0
2026-07-30,2055.5,2055.5,2055.5,2055.5,0.0
2026-07-31,1995.0,1995.0,1995.0,1995.0,0.0
2026-08-03,1997.0,1997.0,1997.0,1997.0,0.0
2026-08-04,2003.0,2003.0,2003.0,2003.0,0.0
2026-08-05,2046.5,2046.5,2046.5,2046.5,0.0
2026-08-06,2038.5,2038.5,2038.5,2038.5,0.0
2026-08-07,2048.5,2048.5,2048.5,2048.5,0.0
2026-08-10,2003.0,2003.0,2003.0,2003.0,0.0
2026-08-11,2007.0,2007.0,2007.0,2007.0,0.0
2026-08-12,2004.0,2004.0,2004.0,2004.0,0.0
2026-08-13,2011.5,2011.5,2011.5,2011.5,0.0
2026-08-14,2004.5,2004.5,2004.5,2004.5,0.0
2026-08-17,2032.5,2032.5,2032.5,2032.5,0.0
2026-08-18,2038.5,2038.5,2038.5,2038.5,0.0
2026-08-19,2239.5,2239.5,2239.5,2239.5,0.0
2026-08-20,2474.0,2474.0,2474.0,2474.0,0.0
2026-08-21,2571.5,2571.5,2571.5,2571.5,0.0
