DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2001-02-20,95.45,95.45,95.45,95.45,0.0
2001-02-21,95.43,95.43,95.43,95.43,0.0
2001-02-22,95.395,95.395,95.395,95.395,0.0
2001-02-23,95.4,95.4,95.4,95.4,0.0
2001-02-26,95.41,95.41,95.41,95.41,0.0
2001-02-27,95.48,95.48,95.48,95.48,0.0
2001-02-28,95.48,95.48,95.48,95.48,0.0
2001-03-01,95.47,95.47,95.47,95.47,0.0
2001-03-02,95.475,95.475,95.475,95.475,0.0
2001-03-05,95.43,95.43,95.43,95.43,0.0
2001-03-06,95.43,95.43,95.43,95.43,0.0
2001-03-07,95.44,95.44,95.44,95.44,0.0
2001-03-08,95.46,95.46,95.46,95.46,0.0
2001-03-09,95.43,95.43,95.43,95.43,0.0
2001-03-12,95.43,95.43,95.43,95.43,0.0
2001-03-13,95.42,95.42,95.42,95.42,0.0
2001-03-14,95.45,95.45,95.45,95.45,0.0
2001-03-15,95.46,95.46,95.46,95.46,0.0
2001-03-16,95.48,95.48,95.48,95.48,0.0
2001-03-19,95.47,95.47,95.47,95.47,0.0
2001-03-20,95.47,95.47,95.47,95.47,0.0
2001-03-21,95.55,95.55,95.55,95.55,0.0
2001-03-22,95.65,95.65,95.65,95.65,0.0
2001-03-23,95.65,95.65,95.65,95.65,0.0
2001-03-26,95.66,95.66,95.66,95.66,0.0
2001-03-27,95.67,95.67,95.67,95.67,0.0
2001-03-28,95.645,95.645,95.645,95.645,0.0
2001-03-29,95.645,95.645,95.645,95.645,0.0
2001-03-30,95.625,95.625,95.625,95.625,0.0
2001-04-02,95.605,95.605,95.605,95.605,0.0
2001-04-03,95.61,95.61,95.61,95.61,0.0
2001-04-04,95.595,95.595,95.59,95.59,150.0
2001-04-05,95.575,95.585,95.575,95.585,100.0
2001-04-06,95.6,95.61,95.6,95.61,450.0
2001-04-09,95.625,95.625,95.62,95.62,150.0
2001-04-10,95.62,95.62,95.58,95.59,1014.0
2001-04-11,95.59,95.59,95.41,95.435,805.0
2001-04-12,95.39,95.405,95.375,95.39,5857.0
2001-04-17,95.385,95.385,95.33,95.34,1055.0
2001-04-18,95.325,95.45,95.31,95.4,1900.0
2001-04-19,95.42,95.43,95.36,95.36,626.0
2001-04-20,95.35,95.35,95.335,95.34,1243.0
2001-04-23,95.335,95.34,95.315,95.315,1010.0
2001-04-24,95.31,95.31,95.265,95.27,3541.0
2001-04-25,95.27,95.31,95.265,95.285,8399.0
2001-04-26,95.285,95.3,95.275,95.3,2440.0
2001-04-27,95.29,95.29,95.26,95.26,1551.0
2001-04-30,95.22,95.25,95.205,95.22,1981.0
2001-05-01,95.22,95.235,95.22,95.22,118.0
2001-05-02,95.23,95.23,95.2,95.21,5172.0
2001-05-03,95.21,95.22,95.205,95.21,1122.0
2001-05-04,95.23,95.235,95.225,95.225,2923.0
2001-05-07,95.225,95.225,95.22,95.225,210.0
2001-05-08,95.23,95.23,95.22,95.22,2772.0
2001-05-09,95.235,95.28,95.235,95.265,12044.0
2001-05-10,95.28,95.48,95.27,95.44,27938.0
2001-05-11,95.45,95.455,95.44,95.44,2946.0
2001-05-14,95.435,95.435,95.43,95.43,2026.0
