DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2017-09-18,3306.0,3306.0,3306.0,3306.0,0.0
2017-09-19,3307.0,3307.0,3307.0,3307.0,0.0
2017-09-20,3300.0,3300.0,3300.0,3300.0,0.0
2017-09-21,3320.0,3320.0,3320.0,3320.0,0.0
2017-09-22,3318.0,3318.0,3318.0,3318.0,0.0
2017-09-25,3317.0,3317.0,3317.0,3317.0,0.0
2017-09-26,3310.0,3310.0,3310.0,3310.0,0.0
2017-09-27,3336.0,3336.0,3336.0,3336.0,0.0
2017-09-28,3340.0,3340.0,3340.0,3340.0,0.0
2017-09-29,3366.0,3366.0,3366.0,3366.0,0.0
2017-10-02,3378.0,3378.0,3378.0,3378.0,0.0
2017-10-03,3386.0,3386.0,3386.0,3386.0,0.0
2017-10-04,3373.0,3373.0,3373.0,3373.0,0.0
2017-10-05,3392.0,3392.0,3392.0,3392.0,0.0
2017-10-06,3379.0,3379.0,3379.0,3379.0,0.0
2017-10-09,3387.0,3387.0,3387.0,3387.0,0.0
2017-10-10,3375.0,3375.0,3375.0,3375.0,0.0
2017-10-11,3386.0,3386.0,3386.0,3386.0,0.0
2017-10-12,3385.0,3385.0,3385.0,3385.0,0.0
2017-10-13,3387.0,3387.0,3387.0,3387.0,0.0
2017-10-16,3384.0,3384.0,3384.0,3384.0,0.0
2017-10-17,3392.0,3392.0,3392.0,3392.0,0.0
2017-10-18,3396.0,3396.0,3396.0,3396.0,0.0
2017-10-19,3379.0,3379.0,3379.0,3379.0,0.0
2017-10-20,3385.0,3385.0,3385.0,3385.0,0.0
2017-10-23,3390.0,3390.0,3390.0,3390.0,0.0
2017-10-24,3393.0,3393.0,3393.0,3393.0,0.0
2017-10-25,3367.0,3367.0,3367.0,3367.0,0.0
2017-10-26,3420.0,3420.0,3420.0,3420.0,0.0
2017-10-27,3435.0,3435.0,3435.0,3435.0,0.0
2017-10-30,3440.0,3440.0,3440.0,3440.0,0.0
2017-10-31,3465.0,3465.0,3465.0,3465.0,0.0
2017-11-01,3482.0,3482.0,3482.0,3482.0,0.0
2017-11-02,3472.0,3472.0,3472.0,3472.0,0.0
2017-11-03,3466.0,3466.0,3466.0,3466.0,0.0
2017-11-06,3461.0,3461.0,3461.0,3461.0,0.0
2017-11-07,3439.0,3439.0,3439.0,3439.0,0.0
2017-11-08,3431.0,3431.0,3431.0,3431.0,0.0
2017-11-09,3395.0,3395.0,3395.0,3395.0,0.0
2017-11-10,3369.0,3369.0,3369.0,3369.0,0.0
2017-11-13,3355.0,3355.0,3355.0,3355.0,0.0
2017-11-14,3334.0,3334.0,3334.0,3334.0,0.0
2017-11-15,3328.0,3328.0,3328.0,3328.0,0.0
