DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2025-06-16,1.25845,1.25845,1.25845,1.25845,0.0
2025-06-17,1.24515,1.24515,1.24515,1.24515,0.0
2025-06-18,1.24325,1.24325,1.24325,1.24325,0.0
2025-06-20,1.2475,1.2475,1.2475,1.2475,0.0
2025-06-23,1.2491,1.2491,1.2491,1.2491,0.0
2025-06-24,1.2523,1.2523,1.2523,1.2523,0.0
2025-06-25,1.25565,1.25565,1.25565,1.25565,0.0
2025-06-26,1.25745,1.25745,1.25745,1.25745,0.0
2025-06-27,1.2545,1.2545,1.2545,1.2545,0.0
2025-06-30,1.2615,1.2615,1.2615,1.2615,0.0
2025-07-01,1.2649,1.2649,1.2649,1.2649,0.0
2025-07-02,1.266,1.266,1.266,1.266,0.0
2025-07-03,1.2663,1.2663,1.2663,1.2663,0.0
2025-07-07,1.26465,1.26465,1.26465,1.26465,0.0
2025-07-08,1.26425,1.26425,1.26425,1.26425,0.0
2025-07-09,1.26065,1.26065,1.26065,1.26065,0.0
2025-07-10,1.2571,1.2571,1.2571,1.2571,0.0
2025-07-11,1.2573,1.2573,1.2573,1.2573,0.0
2025-07-14,1.2559,1.2559,1.2559,1.2559,0.0
2025-07-15,1.25345,1.25345,1.25345,1.25345,0.0
2025-07-16,1.25435,1.25435,1.25435,1.25435,0.0
2025-07-17,1.2504,1.2504,1.2504,1.2504,0.0
2025-07-18,1.25195,1.25195,1.25195,1.25195,0.0
2025-07-21,1.2598,1.2598,1.2598,1.2598,0.0
2025-07-22,1.2648,1.2648,1.2648,1.2648,0.0
2025-07-23,1.2674,1.2674,1.2674,1.2674,0.0
2025-07-24,1.26555,1.26555,1.26555,1.26555,0.0
2025-07-25,1.2623,1.2623,1.2623,1.2623,0.0
2025-07-28,1.24815,1.24815,1.24815,1.24815,0.0
2025-07-29,1.23785,1.23785,1.23785,1.23785,0.0
2025-07-30,1.2265,1.2265,1.2265,1.2265,0.0
2025-07-31,1.2267,1.2267,1.2267,1.2267,0.0
2025-08-01,1.23065,1.23065,1.23065,1.23065,0.0
2025-08-04,1.23455,1.23455,1.23455,1.23455,0.0
2025-08-05,1.23685,1.23685,1.23685,1.23685,0.0
2025-08-06,1.2466,1.2466,1.2466,1.2466,0.0
2025-08-07,1.24305,1.24305,1.24305,1.24305,0.0
2025-08-08,1.24575,1.24575,1.24575,1.24575,0.0
2025-08-11,1.2408,1.2408,1.2408,1.2408,0.0
2025-08-12,1.2454,1.2454,1.2454,1.2454,0.0
2025-08-13,1.2489,1.2489,1.2489,1.2489,0.0
