DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-07-31,98.46,98.46,98.46,98.46,0.0
2013-08-01,98.305,98.305,98.305,98.305,0.0
2013-08-02,98.335,98.485,98.285,98.475,3.0
2013-08-05,98.455,98.455,98.455,98.455,0.0
2013-08-06,98.45,98.45,98.45,98.45,0.0
2013-08-07,98.48,98.48,98.48,98.48,0.0
2013-08-08,98.5,98.5,98.5,98.5,0.0
2013-08-09,98.5,98.5,98.5,98.5,0.0
2013-08-12,98.5,98.5,98.5,98.5,0.0
2013-08-13,98.365,98.365,98.365,98.365,0.0
2013-08-14,98.35,98.35,98.35,98.35,0.0
2013-08-15,98.28,98.28,98.28,98.28,0.0
2013-08-16,98.235,98.235,98.235,98.235,0.0
2013-08-19,98.145,98.145,98.145,98.145,0.0
2013-08-20,98.235,98.235,98.235,98.235,0.0
2013-08-21,98.125,98.175,98.125,98.175,1.0
2013-08-22,98.05,98.05,98.05,98.05,0.0
2013-08-23,98.06,98.1,97.98,98.08,1.0
2013-08-26,98.14,98.14,98.14,98.14,0.0
2013-08-27,98.205,98.205,98.205,98.205,0.0
2013-08-28,98.155,98.155,98.155,98.155,0.0
2013-08-29,98.155,98.155,98.155,98.155,0.0
2013-08-30,98.15,98.15,98.15,98.15,0.0
2013-09-03,98.095,98.095,98.095,98.095,0.0
2013-09-04,98.01,98.01,98.01,98.01,0.0
2013-09-05,97.875,97.875,97.875,97.875,0.0
2013-09-06,97.945,97.945,97.945,97.945,0.0
2013-09-09,98.06,98.06,98.06,98.06,0.0
2013-09-10,98.005,98.005,98.005,98.005,0.0
2013-09-11,98.065,98.065,98.065,98.065,0.0
2013-09-12,98.085,98.085,98.085,98.085,0.0
2013-09-13,98.07,98.07,98.07,98.07,0.0
2013-09-16,98.175,98.175,98.175,98.175,0.0
2013-09-17,98.22,98.22,98.22,98.22,0.0
2013-09-18,98.415,98.415,98.415,98.415,0.0
2013-09-19,98.43,98.43,98.43,98.43,0.0
2013-09-20,98.435,98.435,98.435,98.435,0.0
2013-09-23,98.46,98.46,98.46,98.46,0.0
2013-09-24,98.535,98.535,98.535,98.535,0.0
2013-09-25,98.595,98.595,98.595,98.595,0.0
2013-09-26,98.565,98.565,98.565,98.565,0.0
2013-09-27,98.605,98.605,98.605,98.605,0.0
2013-09-30,98.63,98.63,98.63,98.63,0.0
2013-10-01,98.595,98.595,98.595,98.595,0.0
2013-10-02,98.65,98.65,98.65,98.65,0.0
2013-10-03,98.66,98.66,98.66,98.66,0.0
2013-10-04,98.64,98.64,98.64,98.64,0.0
2013-10-07,98.635,98.635,98.635,98.635,0.0
2013-10-08,98.635,98.635,98.635,98.635,0.0
2013-10-09,98.665,98.665,98.665,98.665,0.0
2013-10-10,98.655,98.655,98.655,98.655,0.0
2013-10-11,98.7,98.7,98.7,98.7,0.0
2013-10-14,98.695,98.695,98.695,98.695,0.0
2013-10-15,98.685,98.685,98.685,98.685,0.0
2013-10-16,98.7,98.7,98.7,98.7,0.0
2013-10-17,98.78,98.78,98.78,98.78,0.0
2013-10-18,98.78,98.78,98.78,98.78,0.0
2013-10-21,98.745,98.745,98.745,98.745,0.0
2013-10-22,98.825,98.825,98.825,98.825,0.0
2013-10-23,98.85,98.85,98.85,98.85,0.0
2013-10-24,98.83,98.83,98.83,98.83,0.0
2013-10-25,98.86,98.86,98.86,98.86,0.0
2013-10-28,98.87,98.87,98.87,98.87,0.0
2013-10-29,98.885,98.885,98.885,98.885,0.0
2013-10-30,98.88,98.88,98.88,98.88,0.0
2013-10-31,98.9,98.9,98.9,98.9,0.0
2013-11-01,98.82,98.82,98.82,98.82,0.0
2013-11-04,98.825,98.825,98.825,98.825,0.0
2013-11-05,98.825,98.825,98.825,98.825,0.0
2013-11-06,98.915,98.915,98.915,98.915,0.0
2013-11-07,98.965,98.965,98.965,98.965,0.0
2013-11-08,98.855,98.855,98.855,98.855,0.0
2013-11-11,98.855,98.855,98.855,98.855,0.0
2013-11-12,98.815,98.815,98.815,98.815,0.0
2013-11-13,98.88,98.88,98.88,98.88,0.0
2013-11-14,98.965,98.965,98.965,98.965,0.0
2013-11-15,98.97,98.97,98.97,98.97,0.0
2013-11-18,99.0,99.015,98.965,99.0,2.0
2013-11-19,98.985,98.985,98.985,98.985,0.0
2013-11-20,99.005,99.005,99.005,99.005,0.0
2013-11-21,99.025,99.025,99.025,99.025,0.0
2013-11-22,98.995,98.995,98.995,98.995,0.0
2013-11-25,98.99,98.99,98.99,98.99,0.0
2013-11-26,99.01,99.01,99.01,99.01,0.0
2013-11-27,98.985,98.985,98.985,98.985,0.0
2013-11-29,98.98,98.98,98.98,98.98,0.0
2013-12-02,98.95,98.95,98.95,98.95,0.0
2013-12-03,98.95,98.95,98.95,98.95,0.0
2013-12-04,98.905,98.905,98.905,98.905,0.0
2013-12-05,98.885,98.885,98.885,98.885,0.0
2013-12-06,98.875,98.875,98.875,98.875,0.0
2013-12-09,98.875,98.875,98.875,98.875,0.0
2013-12-10,98.875,98.875,98.875,98.875,0.0
2013-12-11,98.865,98.865,98.865,98.865,0.0
2013-12-12,98.825,98.825,98.825,98.825,0.0
2013-12-13,98.82,98.82,98.82,98.82,0.0
2013-12-16,98.8,98.8,98.8,98.8,0.0
2013-12-17,98.85,98.85,98.85,98.85,0.0
2013-12-18,98.875,98.875,98.875,98.875,0.0
2013-12-19,98.765,98.765,98.765,98.765,0.0
2013-12-20,98.685,98.685,98.685,98.685,0.0
2013-12-23,98.615,98.615,98.615,98.615,0.0
2013-12-24,98.555,98.555,98.555,98.555,0.0
2013-12-26,98.545,98.545,98.545,98.545,0.0
2013-12-27,98.565,98.565,98.565,98.565,0.0
2013-12-30,98.595,98.595,98.595,98.595,0.0
2013-12-31,98.585,98.585,98.585,98.585,0.0
2014-01-02,98.595,98.595,98.595,98.595,0.0
2014-01-03,98.56,98.56,98.56,98.56,0.0
2014-01-06,98.605,98.605,98.605,98.605,0.0
2014-01-07,98.63,98.63,98.63,98.63,0.0
2014-01-08,98.51,98.51,98.51,98.51,0.0
2014-01-09,98.505,98.505,98.505,98.505,0.0
2014-01-10,98.63,98.63,98.63,98.63,0.0
2014-01-13,98.7,98.7,98.7,98.7,0.0
2014-01-14,98.63,98.63,98.63,98.63,0.0
2014-01-15,98.575,98.575,98.575,98.575,0.0
2014-01-16,98.585,98.585,98.585,98.585,0.0
2014-01-17,98.585,98.585,98.585,98.585,0.0
2014-01-21,98.59,98.59,98.59,98.59,0.0
2014-01-22,98.525,98.525,98.525,98.525,0.0
2014-01-23,98.655,98.655,98.655,98.655,0.0
2014-01-24,98.705,98.705,98.705,98.705,0.0
2014-01-27,98.675,98.675,98.675,98.675,0.0
2014-01-28,98.705,98.705,98.705,98.705,0.0
2014-01-29,98.775,98.775,98.775,98.775,0.0
2014-01-30,98.765,98.765,98.765,98.765,0.0
2014-01-31,98.78,98.78,98.78,98.78,0.0
2014-02-03,98.88,98.88,98.88,98.88,0.0
2014-02-04,98.865,98.865,98.865,98.865,0.0
2014-02-05,98.85,98.85,98.85,98.85,0.0
2014-02-06,98.825,98.825,98.825,98.825,0.0
2014-02-07,98.905,98.905,98.905,98.905,0.0
2014-02-10,98.905,98.905,98.905,98.905,0.0
2014-02-11,98.85,98.85,98.85,98.85,0.0
2014-02-12,98.8,98.8,98.8,98.8,0.0
2014-02-13,98.83,98.83,98.83,98.83,0.0
2014-02-14,98.815,98.815,98.815,98.815,0.0
2014-02-18,98.875,98.875,98.875,98.875,0.0
