DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1997-02-03,79.0,79.0,78.7,78.8,22.0
1997-02-04,78.5,78.55,78.0,78.15,10.0
1997-02-05,78.0,78.0,77.65,77.65,29.0
1997-02-06,77.2,77.5,77.15,77.2,19.0
1997-02-07,77.15,77.15,76.8,76.8,8.0
1997-02-10,76.8,77.0,76.7,76.7,13.0
1997-02-11,76.8,76.85,76.8,76.85,2.0
1997-02-12,77.0,77.05,77.0,77.05,9.0
1997-02-13,77.25,77.75,77.25,77.7,37.0
1997-02-14,77.7,77.8,77.65,77.65,8.0
1997-02-18,77.45,77.45,77.45,77.45,0.0
1997-02-19,77.8,78.4,77.8,78.25,30.0
1997-02-20,78.4,78.85,78.4,78.6,12.0
1997-02-21,78.5,78.5,78.3,78.3,3.0
1997-02-24,78.5,79.0,78.5,79.0,19.0
1997-02-25,78.9,78.95,78.35,78.4,4.0
1997-02-26,78.5,78.5,78.05,78.2,12.0
1997-02-27,78.2,78.25,77.85,77.9,19.0
1997-02-28,77.9,78.15,77.9,78.05,42.0
1997-03-03,77.55,77.6,77.55,77.55,5.0
1997-03-04,77.4,77.65,77.4,77.55,9.0
1997-03-05,77.55,77.55,77.5,77.5,2.0
1997-03-06,77.5,77.5,77.3,77.3,8.0
1997-03-07,77.2,77.2,76.8,77.1,38.0
1997-03-10,77.3,77.3,76.6,76.65,101.0
1997-03-11,77.8,77.8,77.05,77.05,28.0
1997-03-12,77.05,77.5,77.05,77.3,24.0
1997-03-13,77.35,77.35,76.85,76.925,18.0
1997-03-14,76.7,76.7,76.5,76.5,15.0
1997-03-17,76.5,76.5,76.5,76.5,2.0
1997-03-18,76.5,76.9,76.5,76.8,19.0
1997-03-19,77.1,77.1,77.1,77.1,4.0
1997-03-20,76.7,76.7,76.5,76.6,13.0
1997-03-21,76.9,77.05,76.9,76.95,10.0
1997-03-24,77.15,77.15,77.05,77.05,1.0
1997-03-25,76.975,76.975,76.975,76.975,0.0
1997-03-26,77.05,77.25,76.95,76.95,11.0
1997-03-27,76.85,76.85,76.65,76.7,8.0
1997-03-31,77.05,77.25,77.05,77.25,1.0
1997-04-01,76.85,76.85,76.85,76.85,1.0
1997-04-02,76.8,77.1,76.75,77.1,8.0
1997-04-03,77.25,77.3,77.25,77.25,3.0
1997-04-04,77.25,77.35,77.25,77.35,6.0
1997-04-07,77.3,77.3,77.1,77.1,5.0
1997-04-08,77.0,77.0,76.95,77.0,14.0
1997-04-09,77.3,77.9,77.3,77.4,39.0
1997-04-10,77.4,77.5,77.4,77.4,20.0
1997-04-11,77.2,77.35,77.1,77.25,17.0
1997-04-14,77.25,77.3,76.8,77.3,55.0
1997-04-15,77.35,77.55,76.8,77.075,66.0
1997-04-16,77.075,77.2,76.25,76.25,66.0
1997-04-17,77.0,77.05,76.75,76.75,18.0
1997-04-18,76.9,77.0,76.9,77.0,12.0
1997-04-21,77.4,77.75,77.4,77.75,9.0
1997-04-22,77.8,77.8,77.7,77.7,8.0
1997-04-23,77.9,78.0,77.8,77.9,30.0
1997-04-24,77.85,77.85,77.8,77.8,5.0
1997-04-25,77.8,78.05,77.8,78.05,10.0
1997-04-28,78.1,78.35,78.1,78.35,17.0
1997-04-29,78.45,78.75,78.45,78.75,11.0
1997-04-30,78.4,78.5,78.35,78.375,5.0
1997-05-01,78.5,78.95,78.5,78.85,22.0
1997-05-02,78.7,78.8,78.45,78.8,24.0
1997-05-05,78.65,79.0,78.5,78.9,32.0
1997-05-06,79.0,79.25,79.0,79.15,15.0
1997-05-07,79.1,79.15,79.1,79.1,3.0
1997-05-08,78.9,79.0,78.8,78.925,12.0
1997-05-09,78.9,79.8,78.9,79.8,24.0
1997-05-12,79.7,79.75,79.55,79.7,15.0
1997-05-13,79.5,79.85,79.4,79.45,16.0
1997-05-14,79.25,79.5,79.15,79.425,8.0
1997-05-15,79.325,79.65,79.325,79.525,20.0
1997-05-16,79.25,79.35,79.05,79.15,18.0
1997-05-19,79.5,79.55,79.35,79.55,14.0
1997-05-20,79.35,79.35,79.25,79.25,11.0
1997-05-21,79.15,79.55,79.15,79.55,17.0
1997-05-22,79.5,79.9,79.4,79.85,17.0
1997-05-23,79.975,80.2,79.65,80.0,91.0
1997-05-27,79.9,80.0,79.75,80.0,32.0
1997-05-28,79.65,80.15,79.65,79.75,17.0
1997-05-29,79.65,80.0,79.55,79.9,38.0
1997-05-30,79.6,79.8,79.5,79.65,13.0
1997-06-02,79.55,79.75,79.3,79.5,17.0
1997-06-03,79.5,79.5,79.1,79.35,32.0
1997-06-04,79.2,79.75,79.15,79.5,149.0
1997-06-05,79.3,79.3,79.3,79.3,4.0
1997-06-06,79.125,79.2,78.75,78.8,76.0
1997-06-09,78.9,79.2,78.8,78.8,36.0
1997-06-10,78.8,78.8,78.35,78.75,40.0
1997-06-11,78.7,78.9,78.475,78.5,49.0
1997-06-12,78.6,78.65,78.5,78.5,20.0
1997-06-13,78.6,78.9,78.6,78.9,16.0
1997-06-16,79.25,79.6,79.25,79.6,58.0
1997-06-17,79.6,79.95,79.6,79.75,95.0
1997-06-18,79.85,79.9,79.5,79.75,27.0
1997-06-19,79.65,79.75,79.0,79.0,53.0
1997-06-20,79.2,79.45,79.1,79.1,25.0
1997-06-23,79.1,79.9,79.0,79.875,297.0
1997-06-24,79.5,79.85,79.5,79.6,65.0
1997-06-25,79.5,80.25,79.5,80.175,157.0
1997-06-26,80.1,80.9,80.1,80.575,457.0
1997-06-27,80.7,81.85,80.575,81.75,247.0
1997-06-30,81.9,83.25,81.75,82.65,481.0
1997-07-01,82.65,83.05,82.125,82.625,364.0
1997-07-02,82.55,82.55,81.8,81.95,279.0
1997-07-03,81.95,82.2,81.7,82.2,129.0
1997-07-07,82.3,83.25,82.3,82.95,137.0
1997-07-08,82.55,82.55,82.25,82.35,88.0
1997-07-09,82.25,82.7,82.05,82.6,138.0
1997-07-10,82.55,83.7,82.55,83.5,183.0
1997-07-11,83.25,83.8,83.25,83.425,164.0
1997-07-14,82.95,83.55,82.85,82.875,154.0
1997-07-15,83.3,83.75,83.15,83.6,119.0
1997-07-16,83.975,84.8,83.975,84.55,159.0
1997-07-17,84.325,84.7,84.25,84.575,63.0
1997-07-18,84.4,84.5,84.3,84.35,174.0
1997-07-21,84.7,84.95,84.2,84.5,343.0
1997-07-22,84.15,84.3,83.55,83.575,182.0
1997-07-23,83.25,84.0,83.1,83.725,309.0
1997-07-24,83.8,84.05,83.55,84.0,141.0
1997-07-25,83.8,84.35,83.7,83.9,119.0
1997-07-28,83.5,83.5,83.2,83.45,118.0
1997-07-29,83.15,83.15,82.45,82.475,182.0
1997-07-30,82.2,82.95,82.2,82.7,125.0
1997-07-31,82.9,83.45,82.85,83.025,76.0
1997-08-01,83.3,83.5,82.5,82.6,67.0
1997-08-04,82.1,82.65,81.9,82.375,122.0
1997-08-05,82.3,82.6,81.9,81.975,93.0
1997-08-06,82.0,82.2,81.45,82.025,104.0
1997-08-07,82.1,82.4,81.7,81.7,65.0
1997-08-08,81.55,82.05,81.5,81.75,64.0
1997-08-11,82.1,82.8,82.025,82.2,81.0
1997-08-12,81.25,81.25,80.7,80.7,476.0
1997-08-13,80.75,82.1,80.75,81.9,358.0
1997-08-14,82.4,82.5,81.95,82.05,210.0
1997-08-15,82.3,82.75,82.3,82.4,169.0
1997-08-18,81.8,82.55,81.8,82.075,153.0
1997-08-19,81.9,82.55,81.9,82.175,264.0
1997-08-20,82.55,82.6,81.55,81.875,396.0
1997-08-21,81.825,81.95,81.1,81.425,285.0
1997-08-22,81.05,81.35,80.9,81.25,282.0
1997-08-25,81.35,81.9,81.35,81.7,185.0
1997-08-26,81.65,82.35,81.6,82.275,188.0
1997-08-27,82.25,82.25,80.975,81.0,317.0
1997-08-28,81.1,81.4,80.9,81.075,340.0
1997-08-29,81.1,81.2,80.55,80.6,215.0
1997-09-02,80.625,81.0,80.55,80.725,115.0
1997-09-03,80.75,81.4,80.55,81.175,142.0
1997-09-04,81.3,81.5,80.7,80.725,132.0
1997-09-05,80.6,81.45,80.525,81.325,244.0
1997-09-08,81.7,82.825,81.7,82.775,395.0
1997-09-09,82.65,82.85,82.5,82.725,310.0
1997-09-10,82.675,83.15,82.6,82.725,421.0
1997-09-11,82.825,82.85,82.2,82.275,283.0
1997-09-12,82.1,82.95,82.05,82.7,347.0
1997-09-15,83.0,83.2,82.6,82.925,620.0
1997-09-16,82.7,82.8,81.75,82.2,665.0
1997-09-17,82.3,82.6,82.15,82.5,165.0
1997-09-18,82.1,82.5,82.1,82.25,122.0
1997-09-19,82.25,82.3,81.9,81.925,188.0
1997-09-22,81.8,82.4,81.75,82.025,174.0
1997-09-23,81.9,81.9,81.25,81.475,324.0
1997-09-24,81.2,81.3,80.65,80.725,480.0
1997-09-25,80.95,81.1,80.675,80.8,350.0
1997-09-26,81.0,81.35,80.9,81.0,320.0
1997-09-29,81.25,81.6,80.5,80.55,394.0
1997-09-30,80.35,80.6,79.6,79.675,467.0
1997-10-01,79.75,80.2,79.125,79.225,895.0
1997-10-02,79.4,79.75,79.15,79.275,557.0
1997-10-03,79.45,79.7,78.7,78.9,817.0
1997-10-06,78.95,79.25,78.7,78.975,392.0
1997-10-07,78.85,78.9,77.65,77.75,1128.0
1997-10-08,77.7,78.1,77.55,77.7,609.0
1997-10-09,77.95,78.85,77.95,78.45,612.0
1997-10-10,78.3,78.85,77.75,78.175,716.0
1997-10-13,78.35,78.8,78.35,78.4,320.0
1997-10-14,78.6,78.95,77.9,78.05,786.0
1997-10-15,78.0,78.15,77.3,77.55,859.0
1997-10-16,77.5,78.15,77.5,78.075,610.0
1997-10-17,78.35,78.7,78.05,78.225,712.0
1997-10-20,78.45,78.85,78.1,78.125,448.0
1997-10-21,78.5,78.75,78.05,78.075,809.0
1997-10-22,78.1,78.65,77.95,78.4,573.0
1997-10-23,78.45,79.3,78.2,78.95,1261.0
1997-10-24,79.2,79.55,78.7,78.875,1017.0
1997-10-27,78.85,79.2,78.55,78.575,939.0
1997-10-28,78.45,78.8,78.15,78.175,1044.0
1997-10-29,78.175,78.175,77.3,77.35,1071.0
1997-10-30,77.35,78.25,77.35,78.2,800.0
1997-10-31,78.6,78.8,78.25,78.4,1426.0
1997-11-03,78.35,78.5,77.7,77.825,877.0
1997-11-04,77.925,78.1,77.75,77.95,833.0
1997-11-05,78.1,78.15,77.75,78.025,1509.0
1997-11-06,78.45,79.25,78.25,79.05,2404.0
1997-11-07,79.05,79.55,78.7,79.4,2040.0
1997-11-10,79.7,80.2,79.6,80.075,2042.0
1997-11-11,79.9,80.225,79.65,79.8,1149.0
1997-11-12,79.75,80.075,79.55,79.7,866.0
1997-11-13,79.7,80.0,79.35,79.7,952.0
1997-11-14,79.65,80.4,79.65,80.2,1463.0
1997-11-17,80.0,80.4,79.6,79.875,1428.0
1997-11-18,79.75,79.85,79.35,79.55,1384.0
1997-11-19,79.425,79.625,79.125,79.375,1229.0
1997-11-20,79.25,80.05,79.25,80.0,987.0
1997-11-21,80.25,80.65,80.15,80.5,1396.0
1997-11-24,80.55,80.75,80.2,80.6,1139.0
1997-11-25,80.45,80.6,79.75,79.975,1021.0
