DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2014-12-22,6407.0,6407.0,6407.0,6407.0,0.0
2014-12-23,6418.0,6418.0,6418.0,6418.0,0.0
2014-12-24,6451.0,6451.0,6451.0,6451.0,0.0
2014-12-29,6462.0,6462.0,6462.0,6462.0,0.0
2014-12-30,6361.5,6361.5,6361.5,6361.5,0.0
2014-12-31,6392.5,6392.5,6392.5,6392.5,0.0
2015-01-02,6353.0,6353.0,6353.0,6353.0,0.0
2015-01-05,6212.0,6212.0,6212.0,6212.0,0.0
2015-01-06,6173.0,6173.0,6173.0,6173.0,50.0
2015-01-07,6259.0,6259.0,6259.0,6259.0,0.0
2015-01-08,6381.5,6381.5,6381.5,6381.5,0.0
2015-01-09,6303.5,6303.5,6303.5,6303.5,0.0
2015-01-12,6277.0,6277.0,6277.0,6277.0,0.0
2015-01-13,6310.5,6310.5,6310.5,6310.5,0.0
2015-01-14,6224.0,6224.0,6224.0,6224.0,0.0
2015-01-15,6285.0,6285.0,6285.0,6285.0,0.0
2015-01-16,6390.0,6390.0,6390.0,6390.0,0.0
2015-01-19,6405.0,6405.0,6405.0,6405.0,0.0
2015-01-20,6451.5,6451.5,6451.5,6451.5,0.0
2015-01-21,6538.5,6538.5,6538.5,6538.5,0.0
2015-01-22,6644.0,6644.0,6644.0,6644.0,0.0
2015-01-23,6619.5,6619.5,6619.5,6619.5,0.0
2015-01-26,6680.0,6680.0,6680.0,6680.0,0.0
2015-01-27,6639.5,6639.5,6639.5,6639.5,0.0
2015-01-28,6625.0,6625.0,6625.0,6625.0,0.0
2015-01-29,6652.5,6652.5,6652.5,6652.5,0.0
2015-01-30,6550.5,6550.5,6550.5,6550.5,0.0
2015-02-02,6616.0,6616.0,6616.0,6616.0,0.0
2015-02-03,6709.0,6709.0,6709.0,6709.0,0.0
2015-02-04,6639.5,6639.5,6639.5,6639.5,0.0
2015-02-05,6671.5,6671.5,6671.5,6671.5,0.0
2015-02-06,6647.0,6647.0,6647.0,6647.0,0.0
2015-02-09,6635.0,6635.0,6635.0,6635.0,0.0
2015-02-10,6653.5,6653.5,6653.5,6653.5,0.0
2015-02-11,6635.0,6635.0,6635.0,6635.0,0.0
2015-02-12,6677.5,6677.5,6677.5,6677.5,0.0
2015-02-13,6712.5,6712.5,6712.5,6712.5,0.0
2015-02-16,6662.0,6662.0,6662.0,6662.0,0.0
2015-02-17,6724.5,6724.5,6724.5,6724.5,0.0
2015-02-18,6720.5,6720.5,6720.5,6720.5,0.0
2015-02-19,6724.5,6724.5,6724.5,6724.5,0.0
2015-02-20,6780.0,6780.0,6780.0,6780.0,0.0
2015-02-23,6739.0,6739.0,6739.0,6739.0,0.0
2015-02-24,6775.5,6775.5,6775.5,6775.5,0.0
2015-02-25,6761.0,6761.0,6761.0,6761.0,0.0
2015-02-26,6781.0,6781.0,6781.0,6781.0,0.0
2015-02-27,6760.0,6760.0,6760.0,6760.0,0.0
2015-03-02,6770.5,6770.5,6770.5,6770.5,0.0
2015-03-03,6754.0,6754.5,6752.0,6752.0,20.0
2015-03-04,6753.5,6753.5,6753.5,6753.5,51.0
2015-03-05,6806.5,6806.5,6806.5,6806.5,1.0
2015-03-06,6730.5,6730.5,6730.5,6730.5,0.0
2015-03-09,6720.0,6720.0,6720.0,6720.0,0.0
2015-03-10,6561.0,6561.0,6561.0,6561.0,0.0
2015-03-11,6567.5,6567.5,6567.5,6567.5,4.0
2015-03-12,6614.5,6614.5,6614.5,6614.5,5.0
2015-03-13,6616.5,6616.5,6616.5,6616.5,0.0
2015-03-16,6649.5,6649.5,6649.5,6649.5,0.0
2015-03-17,6669.0,6669.0,6661.0,6661.0,12.0
2015-03-18,6768.0,6781.0,6768.0,6781.0,2.0
2015-03-19,6822.0,6822.0,6822.0,6822.0,0.0
2015-03-20,6876.5,6876.5,6876.5,6876.5,0.0
2015-03-23,6882.0,6882.0,6882.0,6882.0,0.0
2015-03-24,6872.0,6872.0,6872.0,6872.0,0.0
2015-03-25,6846.5,6846.5,6846.5,6846.5,0.0
2015-03-26,6788.0,6788.0,6788.0,6788.0,2.0
2015-03-27,6733.5,6733.5,6712.0,6723.0,13.0
2015-03-30,6778.0,6778.0,6778.0,6778.0,0.0
2015-03-31,6730.0,6730.0,6730.0,6730.0,1.0
2015-04-01,6673.5,6673.5,6673.5,6673.5,0.0
2015-04-02,6707.0,6707.0,6707.0,6707.0,0.0
2015-04-07,6793.5,6793.5,6793.5,6793.5,0.0
2015-04-08,6806.5,6806.5,6806.5,6806.5,5.0
2015-04-09,6852.0,6896.5,6852.0,6896.0,10.0
2015-04-10,6952.5,6952.5,6952.5,6952.5,0.0
2015-04-13,6915.0,6915.0,6915.0,6915.0,0.0
2015-04-14,6944.5,6944.5,6944.5,6944.5,0.0
2015-04-15,6968.0,6968.0,6968.0,6968.0,0.0
2015-04-16,6958.0,6958.5,6938.0,6938.0,11.0
2015-04-17,6950.5,6954.0,6864.0,6866.5,35.0
2015-04-20,6910.5,6910.5,6910.5,6910.5,0.0
2015-04-21,6941.0,6941.0,6941.0,6941.0,10.0
2015-04-22,6954.5,6954.5,6884.5,6899.5,22.0
2015-04-23,6953.5,6953.5,6953.5,6953.5,5.0
2015-04-24,6977.0,6977.0,6977.0,6977.0,2.0
2015-04-27,6918.5,6996.0,6918.5,6985.0,8.0
2015-04-28,6946.5,6946.5,6937.0,6937.0,3.0
2015-04-29,6863.0,6863.0,6863.0,6863.0,5.0
2015-04-30,6812.5,6812.5,6812.5,6812.5,2.0
2015-05-01,6918.5,6918.5,6918.5,6918.5,0.0
2015-05-05,6823.0,6823.0,6823.0,6823.0,0.0
2015-05-06,6797.0,6797.0,6797.0,6797.0,3.0
2015-05-07,6781.0,6781.0,6781.0,6781.0,0.0
2015-05-08,6890.5,6890.5,6890.5,6890.5,2.0
2015-05-11,6910.5,6910.5,6910.5,6910.5,0.0
2015-05-12,6828.0,6828.0,6828.0,6828.0,0.0
2015-05-13,6820.0,6820.0,6820.0,6820.0,1.0
2015-05-14,6884.5,6884.5,6884.5,6884.5,0.0
2015-05-15,6882.5,6882.5,6882.5,6882.5,0.0
2015-05-18,6885.5,6885.5,6885.5,6885.5,0.0
2015-05-19,6898.0,6898.0,6898.0,6898.0,0.0
2015-05-20,6902.5,6902.5,6902.5,6902.5,6.0
2015-05-21,6931.5,6931.5,6931.5,6931.5,0.0
2015-05-22,6944.5,6944.5,6944.5,6944.5,0.0
2015-05-26,6868.5,6868.5,6868.5,6868.5,0.0
2015-05-27,6936.0,6960.0,6936.0,6960.0,3.0
2015-05-28,6958.5,6958.5,6949.0,6949.0,10.0
2015-05-29,6975.0,6977.5,6950.0,6950.0,16.0
2015-06-01,6865.0,6865.0,6861.5,6861.5,2.0
2015-06-02,6838.0,6838.0,6838.0,6838.0,0.0
2015-06-03,6853.5,6853.5,6853.5,6853.5,0.0
2015-06-04,6840.5,6843.0,6839.0,6840.0,31.0
2015-06-05,6736.0,6736.0,6736.0,6736.0,0.0
2015-06-08,6723.0,6723.5,6718.0,6723.5,7.0
2015-06-09,6687.0,6687.0,6687.0,6687.0,1.0
2015-06-10,6700.0,6700.0,6700.0,6700.0,2.0
2015-06-11,6780.5,6780.5,6780.5,6780.5,1.0
2015-06-12,6722.0,6722.0,6700.0,6700.0,5.0
2015-06-15,6660.0,6660.0,6640.0,6640.0,4.0
2015-06-16,6568.5,6618.0,6568.5,6618.0,4.0
2015-06-17,6594.5,6594.5,6594.5,6594.5,0.0
2015-06-18,6635.0,6635.0,6635.0,6635.0,0.0
2015-06-19,6595.0,6629.0,6593.5,6629.0,33.0
2015-06-22,6702.0,6702.0,6702.0,6702.0,1.0
2015-06-23,6736.5,6760.5,6736.5,6760.5,2.0
2015-06-24,6746.0,6746.0,6746.0,6746.0,0.0
2015-06-25,6719.0,6719.0,6719.0,6719.0,0.0
2015-06-26,6696.5,6711.0,6693.0,6709.0,5.0
2015-06-29,6582.5,6582.5,6582.5,6582.5,46.0
2015-06-30,6480.0,6480.0,6468.0,6468.0,3.0
2015-07-01,6487.0,6542.5,6475.0,6542.5,67.0
2015-07-02,6530.5,6557.5,6530.5,6557.5,16.0
2015-07-03,6500.0,6500.0,6500.0,6500.0,1.0
2015-07-06,6473.5,6475.5,6457.0,6457.0,35.0
2015-07-07,6448.0,6448.0,6448.0,6448.0,0.0
2015-07-08,6362.0,6410.0,6362.0,6410.0,2.0
2015-07-09,6469.5,6469.5,6469.5,6469.5,0.0
2015-07-10,6600.0,6600.0,6590.0,6590.0,72.0
2015-07-13,6650.5,6650.5,6650.5,6650.5,2.0
2015-07-14,6645.5,6679.5,6645.5,6677.0,13.0
2015-07-15,6697.5,6697.5,6697.5,6697.5,13.0
2015-07-16,6702.0,6726.0,6702.0,6713.0,4.0
2015-07-17,6711.0,6717.0,6710.5,6717.0,60.0
2015-07-20,6709.0,6726.0,6709.0,6709.0,6.0
2015-07-21,6721.0,6721.0,6687.0,6687.0,8.0
2015-07-22,6641.0,6641.0,6589.0,6589.0,12.0
2015-07-23,6606.0,6606.0,6575.0,6575.0,10.0
2015-07-24,6571.0,6579.0,6533.0,6533.0,150.0
2015-07-27,6506.5,6506.5,6432.0,6432.0,20.0
2015-07-28,6461.0,6491.5,6442.5,6491.5,6.0
2015-07-29,6509.5,6509.5,6509.5,6509.5,1.0
2015-07-30,6566.0,6599.5,6565.5,6598.5,25.0
2015-07-31,6588.0,6600.0,6588.0,6600.0,4.0
2015-08-03,6622.0,6622.0,6592.5,6600.0,12.0
2015-08-04,6579.5,6628.0,6565.0,6628.0,26.0
2015-08-05,6628.0,6665.0,6619.5,6652.0,17.0
