DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2013-02-28,2.3617,2.3617,2.3617,2.3617,0.0
2013-03-01,2.3484,2.3484,2.3484,2.3484,0.0
2013-03-04,2.3449,2.3449,2.3449,2.3449,0.0
2013-03-05,2.3677,2.3677,2.3677,2.3677,0.0
2013-03-06,2.3667,2.3667,2.3667,2.3667,0.0
2013-03-07,2.3862,2.3862,2.3862,2.3862,0.0
2013-03-08,2.4287,2.4287,2.4287,2.4287,0.0
2013-03-11,2.4294,2.4294,2.4294,2.4294,0.0
2013-03-12,2.4277,2.4277,2.4277,2.4277,0.0
2013-03-13,2.4227,2.4227,2.4227,2.4227,0.0
2013-03-14,2.4327,2.4327,2.4327,2.4327,0.0
2013-03-15,2.45,2.45,2.45,2.45,0.0
2013-03-18,2.4278,2.4278,2.4278,2.4278,0.0
2013-03-19,2.376,2.376,2.376,2.376,0.0
2013-03-20,2.4003,2.4003,2.4003,2.4003,0.0
2013-03-21,2.3821,2.3821,2.3821,2.3821,0.0
2013-03-22,2.3872,2.3872,2.3872,2.3872,0.0
2013-03-25,2.4036,2.4036,2.4036,2.4036,0.0
2013-03-26,2.4401,2.4401,2.4401,2.4401,0.0
2013-03-27,2.4578,2.4578,2.4578,2.4578,0.0
2013-03-28,2.4706,2.4706,2.4706,2.4706,0.0
2013-04-01,2.4718,2.4718,2.4718,2.4718,0.0
2013-04-02,2.4709,2.4709,2.4709,2.4709,0.0
2013-04-03,2.402,2.402,2.402,2.402,0.0
2013-04-04,2.4078,2.4078,2.4078,2.4078,0.0
2013-04-05,2.3676,2.3676,2.3676,2.3676,0.0
2013-04-08,2.3856,2.3856,2.3856,2.3856,0.0
2013-04-09,2.4147,2.4147,2.4147,2.4147,0.0
2013-04-10,2.4099,2.4099,2.4099,2.4099,0.0
2013-04-11,2.3946,2.3946,2.3946,2.3946,0.0
2013-04-12,2.362,2.362,2.362,2.362,0.0
2013-04-15,2.3093,2.3093,2.3093,2.3093,0.0
2013-04-16,2.3005,2.3005,2.3005,2.3005,0.0
2013-04-17,2.2532,2.2532,2.2532,2.2532,0.0
2013-04-18,2.2756,2.2756,2.2756,2.2756,0.0
2013-04-19,2.2761,2.2761,2.2761,2.2761,0.0
2013-04-22,2.2995,2.2995,2.2995,2.2995,0.0
2013-04-23,2.297,2.297,2.297,2.297,0.0
2013-04-24,2.3285,2.3285,2.3285,2.3285,0.0
2013-04-25,2.359,2.359,2.359,2.359,0.0
2013-04-26,2.355,2.355,2.355,2.355,0.0
2013-04-29,2.3578,2.3578,2.3578,2.3578,0.0
2013-04-30,2.3445,2.3445,2.3445,2.3445,0.0
2013-05-01,2.2899,2.2899,2.2899,2.2899,0.0
2013-05-02,2.3549,2.3549,2.3549,2.3549,0.0
2013-05-03,2.3884,2.3884,2.3884,2.3884,0.0
2013-05-06,2.4011,2.4011,2.4011,2.4011,0.0
2013-05-07,2.3977,2.3977,2.3977,2.3977,0.0
2013-05-08,2.4106,2.4106,2.4106,2.4106,0.0
2013-05-09,2.4216,2.4216,2.4216,2.4216,0.0
2013-05-10,2.4099,2.4099,2.4099,2.4099,0.0
2013-05-13,2.3873,2.3873,2.3873,2.3873,0.0
2013-05-14,2.3801,2.3801,2.3801,2.3801,0.0
2013-05-15,2.3872,2.3872,2.3872,2.3872,0.0
2013-05-16,2.3946,2.3946,2.3946,2.3946,0.0
2013-05-17,2.4117,2.4117,2.4117,2.4117,0.0
2013-05-20,2.4164,2.4164,2.4164,2.4164,0.0
2013-05-21,2.3996,2.3996,2.3996,2.3996,0.0
2013-05-22,2.3767,2.3767,2.3767,2.3767,0.0
2013-05-23,2.372,2.372,2.372,2.372,0.0
2013-05-24,2.374,2.374,2.374,2.374,0.0
2013-05-28,2.3975,2.3975,2.3975,2.3975,0.0
