DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2007-04-20,602.25,602.25,602.25,602.25,0.0
2007-04-23,607.5,607.5,607.5,607.5,0.0
2007-04-24,607.75,607.75,607.75,607.75,0.0
2007-04-25,606.75,606.75,606.75,606.75,0.0
2007-04-26,609.5,609.5,609.5,609.5,0.0
2007-04-27,606.0,606.0,606.0,606.0,0.0
2007-04-30,609.75,609.75,609.75,609.75,0.0
2007-05-01,612.75,612.75,612.75,612.75,0.0
2007-05-02,601.5,601.5,601.5,601.5,0.0
2007-05-03,601.25,601.25,601.25,601.25,0.0
2007-05-04,610.0,610.0,610.0,610.0,0.0
2007-05-07,594.0,594.0,594.0,594.0,0.0
2007-05-08,597.5,597.5,597.5,597.5,0.0
2007-05-09,592.75,592.75,592.75,592.75,0.0
2007-05-10,596.25,596.25,596.25,596.25,0.0
2007-05-11,604.0,604.0,604.0,604.0,0.0
2007-05-14,603.0,603.0,603.0,603.0,0.0
2007-05-15,606.5,606.5,606.5,606.5,0.0
2007-05-16,599.75,599.75,599.75,599.75,0.0
2007-05-17,607.0,607.0,607.0,607.0,0.0
2007-05-18,605.75,605.75,605.75,605.75,0.0
2007-05-21,607.25,607.25,607.25,607.25,0.0
2007-05-22,605.5,605.5,605.5,605.5,0.0
2007-05-23,606.0,606.0,606.0,606.0,0.0
2007-05-24,611.0,611.0,611.0,611.0,0.0
2007-05-25,605.0,605.0,605.0,605.0,0.0
2007-05-28,598.5,598.5,598.5,598.5,0.0
2007-05-29,603.0,603.0,603.0,603.0,0.0
2007-05-30,594.5,594.5,594.5,594.5,0.0
2007-05-31,597.5,597.5,597.5,597.5,0.0
2007-06-01,601.0,601.0,601.0,601.0,0.0
2007-06-04,616.5,616.5,616.5,616.5,0.0
2007-06-05,611.75,611.75,611.75,611.75,0.0
2007-06-06,612.75,612.75,612.75,612.75,0.0
2007-06-07,619.0,619.0,619.0,619.0,0.0
2007-06-08,609.25,609.25,609.25,609.25,0.0
2007-06-11,607.75,607.75,607.75,607.75,0.0
2007-06-12,612.25,612.25,612.25,612.25,0.0
2007-06-13,616.25,616.25,616.25,616.25,0.0
2007-06-14,621.75,621.75,621.75,621.75,0.0
2007-06-15,621.25,621.25,621.25,621.25,0.0
2007-06-18,625.5,625.5,625.5,625.5,0.0
2007-06-19,620.0,620.0,620.0,620.0,0.0
2007-06-20,612.5,612.5,612.5,612.5,0.0
2007-06-21,621.0,621.0,621.0,621.0,0.0
2007-06-22,621.75,621.75,621.75,621.75,0.0
2007-06-25,618.25,618.25,618.25,618.25,0.0
2007-06-26,616.75,616.75,616.75,616.75,0.0
2007-06-27,619.25,619.25,619.25,619.25,0.0
2007-06-28,609.75,609.75,609.75,609.75,0.0
2007-06-29,613.25,613.25,613.25,613.25,0.0
2007-07-02,615.0,615.0,615.0,615.0,0.0
2007-07-03,624.75,624.75,624.75,624.75,0.0
2007-07-04,625.5,625.5,625.5,625.5,0.0
2007-07-05,624.5,624.5,624.5,624.5,0.0
2007-07-06,625.25,625.25,625.25,625.25,0.0
2007-07-09,631.75,631.75,631.75,631.75,0.0
2007-07-10,638.0,638.0,638.0,638.0,0.0
2007-07-11,634.75,634.75,634.75,634.75,0.0
2007-07-12,638.0,638.0,638.0,638.0,0.0
2007-07-13,631.5,631.5,631.5,631.5,0.0
2007-07-16,633.5,633.5,633.5,633.5,0.0
2007-07-17,624.5,624.5,624.5,624.5,0.0
2007-07-18,623.75,623.75,623.75,623.75,0.0
2007-07-19,622.75,622.75,622.75,622.75,0.0
2007-07-20,623.75,623.75,623.75,623.75,0.0
2007-07-23,618.5,618.5,618.5,618.5,0.0
2007-07-24,623.0,623.0,623.0,623.0,0.0
2007-07-25,617.25,617.25,617.25,617.25,0.0
2007-07-26,627.0,627.0,627.0,627.0,0.0
2007-07-27,618.75,618.75,618.75,618.75,0.0
2007-07-30,615.5,615.5,615.5,615.5,0.0
2007-07-31,622.5,622.5,622.5,622.5,0.0
2007-08-01,622.25,622.25,622.25,622.25,0.0
2007-08-02,618.0,618.0,618.0,618.0,0.0
2007-08-03,617.0,617.0,617.0,617.0,0.0
2007-08-06,615.25,615.25,615.25,615.25,0.0
2007-08-07,611.25,611.25,611.25,611.25,0.0
2007-08-08,608.75,608.75,608.75,608.75,0.0
2007-08-09,611.5,611.5,611.5,611.5,0.0
2007-08-10,610.75,610.75,610.75,610.75,0.0
2007-08-13,612.25,612.25,612.25,612.25,0.0
2007-08-14,600.0,600.0,600.0,600.0,0.0
2007-08-15,613.0,613.0,613.0,613.0,0.0
2007-08-16,601.25,601.25,601.25,601.25,0.0
2007-08-17,606.0,606.0,606.0,606.0,0.0
2007-08-20,598.5,598.5,598.5,598.5,0.0
2007-08-21,597.75,597.75,597.75,597.75,0.0
2007-08-22,592.25,592.25,592.25,592.25,0.0
2007-08-23,599.25,599.25,599.25,599.25,0.0
2007-08-24,602.75,602.75,602.75,602.75,0.0
2007-08-27,600.25,600.25,600.25,600.25,0.0
2007-08-28,605.75,605.75,605.75,605.75,0.0
2007-08-29,603.25,603.25,603.25,603.25,0.0
2007-08-30,602.75,602.75,602.75,602.75,0.0
2007-08-31,602.5,602.5,602.5,602.5,0.0
2007-09-03,605.25,605.25,605.25,605.25,0.0
2007-09-04,609.25,609.25,609.25,609.25,0.0
2007-09-05,605.25,605.25,605.25,605.25,0.0
2007-09-06,609.25,609.25,609.25,609.25,0.0
2007-09-07,609.5,609.5,609.5,609.5,0.0
