DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-02-19,8.384,8.384,8.384,8.384,0.0
2008-02-20,8.364,8.364,8.364,8.364,0.0
2008-02-21,8.4,8.4,8.4,8.4,0.0
2008-02-22,8.422,8.422,8.422,8.422,0.0
2008-02-25,8.465,8.465,8.465,8.465,0.0
2008-02-26,8.635,8.635,8.635,8.635,0.0
2008-02-27,8.703,8.703,8.703,8.703,0.0
2008-02-28,8.812,8.812,8.812,8.812,0.0
2008-02-29,8.922,8.922,8.922,8.922,0.0
2008-03-03,9.068,9.068,9.068,9.068,0.0
2008-03-04,9.184,9.184,9.184,9.184,0.0
2008-03-05,9.176,9.176,9.176,9.176,0.0
2008-03-06,9.157,9.157,9.157,9.157,0.0
2008-03-07,9.169,9.169,9.169,9.169,0.0
2008-03-10,9.144,9.144,9.144,9.144,0.0
2008-03-11,9.25,9.25,9.25,9.25,0.0
2008-03-12,9.379,9.379,9.379,9.379,0.0
2008-03-13,9.771,9.771,9.771,9.771,0.0
2008-03-14,9.763,9.763,9.763,9.763,0.0
2008-03-17,9.491,9.491,9.491,9.491,0.0
2008-03-18,9.548,9.548,9.548,9.548,0.0
2008-03-19,9.314,9.314,9.314,9.314,0.0
2008-03-20,9.074,9.074,9.074,9.074,0.0
2008-03-24,9.217,9.217,9.217,9.217,0.0
2008-03-25,9.343,9.343,9.343,9.343,0.0
2008-03-26,9.391,9.391,9.391,9.391,0.0
2008-03-27,9.356,9.356,9.356,9.356,0.0
2008-03-28,9.112,9.112,9.112,9.112,0.0
2008-03-31,9.023,9.023,9.023,9.023,0.0
2008-04-01,8.909,8.909,8.909,8.909,0.0
2008-04-02,9.037,9.037,9.037,9.037,0.0
2008-04-03,8.939,8.939,8.939,8.939,0.0
2008-04-04,9.037,9.037,9.037,9.037,0.0
2008-04-07,9.194,9.194,9.194,9.194,0.0
2008-04-08,9.149,9.149,9.149,9.149,0.0
2008-04-09,9.12,9.12,9.12,9.12,0.0
2008-04-10,8.94,8.94,8.94,8.94,0.0
