DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-03-15,1.3211,1.3211,1.3211,1.3211,0.0
2022-03-16,1.3327,1.3327,1.3327,1.3327,0.0
2022-03-17,1.3418,1.3418,1.3418,1.3418,0.0
2022-03-18,1.35,1.35,1.35,1.35,0.0
2022-03-21,1.3467,1.3467,1.3467,1.3467,0.0
2022-03-22,1.3546,1.3546,1.3546,1.3546,0.0
2022-03-23,1.3518,1.3518,1.3518,1.3518,0.0
2022-03-24,1.3523,1.3523,1.3523,1.3523,0.0
2022-03-25,1.3614,1.3614,1.3614,1.3614,0.0
2022-03-28,1.3558,1.3558,1.3558,1.3558,0.0
2022-03-29,1.3507,1.3507,1.3507,1.3507,0.0
2022-03-30,1.3496,1.3496,1.3496,1.3496,0.0
2022-03-31,1.3485,1.3485,1.3485,1.3485,0.0
2022-04-01,1.3536,1.3536,1.3536,1.3536,0.0
2022-04-04,1.3581,1.3581,1.3581,1.3581,0.0
2022-04-05,1.358,1.358,1.358,1.358,0.0
2022-04-06,1.3541,1.3541,1.3541,1.3541,0.0
2022-04-07,1.3527,1.3527,1.3527,1.3527,0.0
2022-04-08,1.3529,1.3529,1.3529,1.3529,0.0
2022-04-11,1.3495,1.3495,1.3495,1.3495,0.0
2022-04-12,1.34,1.34,1.34,1.34,0.0
2022-04-13,1.3488,1.3488,1.3488,1.3488,0.0
2022-04-14,1.3499,1.3499,1.3499,1.3499,0.0
2022-04-18,1.3428,1.3428,1.3428,1.3428,0.0
2022-04-19,1.345,1.345,1.345,1.345,0.0
2022-04-20,1.3514,1.3514,1.3514,1.3514,0.0
2022-04-21,1.3467,1.3467,1.3467,1.3467,0.0
2022-04-22,1.3305,1.3305,1.3305,1.3305,0.0
2022-04-25,1.3206,1.3206,1.3206,1.3206,0.0
2022-04-26,1.3061,1.3061,1.3061,1.3061,0.0
2022-04-27,1.3026,1.3026,1.3026,1.3026,0.0
2022-04-28,1.2994,1.2994,1.2994,1.2994,0.0
2022-04-29,1.3143,1.3143,1.3143,1.3143,0.0
2022-05-02,1.3055,1.3055,1.3055,1.3055,0.0
2022-05-03,1.3022,1.3022,1.3022,1.3022,0.0
2022-05-04,1.3155,1.3155,1.3155,1.3155,0.0
2022-05-05,1.2943,1.2943,1.2943,1.2943,0.0
2022-05-06,1.2937,1.2937,1.2937,1.2937,0.0
2022-05-09,1.2894,1.2894,1.2894,1.2894,0.0
2022-05-10,1.2839,1.2839,1.2839,1.2839,0.0
2022-05-11,1.2796,1.2796,1.2796,1.2796,0.0
2022-05-12,1.2718,1.2718,1.2718,1.2718,0.0
2022-05-13,1.281,1.281,1.281,1.281,0.0
2022-05-16,1.2839,1.2839,1.2839,1.2839,0.0
2022-05-17,1.2951,1.2951,1.2951,1.2951,0.0
2022-05-18,1.2823,1.2823,1.2823,1.2823,0.0
2022-05-19,1.2938,1.2938,1.2938,1.2938,0.0
2022-05-20,1.2887,1.2887,1.2887,1.2887,0.0
2022-05-23,1.2988,1.2988,1.2988,1.2988,0.0
2022-05-24,1.2904,1.2904,1.2904,1.2904,0.0
2022-05-25,1.2964,1.2964,1.2964,1.2964,0.0
