DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2009-12-15,506.0,506.0,506.0,506.0,0.0
2009-12-16,507.0,515.0,505.9,511.5,2.0
2009-12-17,505.0,511.55,504.5,508.0,2.0
2009-12-18,510.0,510.0,510.0,510.0,0.0
2009-12-21,514.0,514.1,506.0,506.0,2.0
2009-12-22,506.1,509.5,501.8,509.5,2.0
2009-12-23,513.0,521.0,509.4,521.0,2.0
2009-12-24,523.0,523.0,523.0,523.0,0.0
2009-12-28,532.0,532.0,532.0,532.0,0.0
2009-12-29,533.0,533.0,533.0,533.0,0.0
2009-12-30,534.0,534.0,534.0,534.0,0.0
2009-12-31,533.0,533.0,533.0,533.0,0.0
2010-01-04,545.0,545.0,545.0,545.0,0.0
2010-01-05,545.0,545.0,545.0,545.0,0.0
2010-01-06,555.0,555.0,555.0,555.0,0.0
2010-01-07,551.0,551.0,551.0,551.0,0.0
2010-01-08,549.5,549.5,549.5,549.5,0.0
2010-01-11,548.0,548.0,548.0,548.0,0.0
2010-01-12,535.0,535.0,535.0,535.0,0.0
2010-01-13,533.0,533.0,533.0,533.0,0.0
2010-01-14,532.5,532.5,532.5,532.5,0.0
2010-01-15,528.5,529.5,524.0,524.0,2.0
2010-01-19,520.0,526.5,517.0,526.5,2.0
2010-01-20,518.5,526.6,516.0,517.5,2.0
2010-01-21,520.5,522.0,510.0,512.25,2.0
2010-01-22,505.0,505.0,505.0,505.0,0.0
2010-01-25,505.0,508.0,503.0,508.0,2.0
2010-01-26,502.5,505.5,501.0,504.0,2.0
2010-01-27,500.0,504.05,491.7,494.0,12.0
2010-01-28,495.25,495.25,495.25,495.25,0.0
2010-01-29,498.25,499.0,488.0,491.0,4.0
2010-02-01,493.5,499.0,490.0,499.0,167.0
2010-02-02,500.5,512.5,498.5,511.5,77.0
2010-02-03,509.0,515.0,507.0,509.3,105.0
2010-02-04,503.0,505.0,487.5,489.2,77.0
2010-02-05,488.9,491.0,471.0,477.7,4182.0
2010-02-08,482.0,487.0,479.5,484.85,4152.0
2010-02-09,487.5,494.0,485.3,491.5,1767.0
2010-02-10,491.5,497.5,486.5,497.35,1981.0
2010-02-11,498.0,503.0,491.8,501.65,3271.0
2010-02-12,496.0,501.7,489.0,495.3,1253.0
2010-02-16,503.8,513.4,503.1,511.0,1168.0
2010-02-17,511.0,514.25,508.45,511.5,750.0
2010-02-18,510.0,519.5,508.0,519.5,443.0
2010-02-19,515.35,522.9,515.2,522.8,620.0
2010-02-22,524.1,524.1,518.95,523.25,283.0
2010-02-23,517.0,520.0,512.0,512.5,238.0
2010-02-24,513.5,520.0,512.0,518.0,368.0
2010-02-25,514.0,514.0,503.95,508.5,482.0
2010-02-26,508.6,519.15,508.6,518.25,1516.0
2010-03-01,517.2,522.4,510.0,512.75,757.0
2010-03-02,515.25,523.0,514.5,518.0,241.0
2010-03-03,522.5,526.9,519.55,526.5,531.0
2010-03-04,524.5,526.75,518.3,520.9,390.0
2010-03-05,524.6,529.0,524.3,527.0,2784.0
2010-03-08,526.75,529.1,522.65,527.65,4114.0
2010-03-09,519.4,525.5,518.95,522.5,3354.0
2010-03-10,523.1,530.55,519.6,526.0,3341.0
2010-03-11,523.65,526.05,521.75,523.2,3210.0
2010-03-12,528.75,530.25,518.65,522.0,893.0
2010-03-15,517.6,520.0,512.0,514.01,13.0
