DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2016-03-30,121.63,121.63,121.63,121.63,0.0
2016-03-31,121.99,121.99,121.99,121.99,0.0
2016-04-01,121.84,121.84,121.84,121.84,0.0
2016-04-04,121.89,121.89,121.89,121.89,0.0
2016-04-05,122.4,122.4,122.4,122.4,0.0
2016-04-06,122.27,122.27,122.27,122.27,0.0
2016-04-07,122.8,122.8,122.8,122.8,0.0
2016-04-08,122.41,122.41,122.41,122.41,0.0
2016-04-11,122.16,122.16,122.16,122.16,0.0
2016-04-12,121.72,121.72,121.72,121.72,0.0
2016-04-13,121.79,121.79,121.79,121.79,0.0
2016-04-14,121.67,121.67,121.67,121.67,0.0
2016-04-15,121.98,121.98,121.98,121.98,0.0
2016-04-18,121.47,121.47,121.47,121.47,0.0
2016-04-19,121.07,121.07,121.07,121.07,0.0
2016-04-20,121.56,121.56,121.56,121.56,0.0
2016-04-21,120.41,120.41,120.41,120.41,0.0
2016-04-22,120.13,120.13,120.13,120.13,0.0
2016-04-25,120.12,120.12,120.12,120.12,0.0
2016-04-26,119.63,119.63,119.63,119.63,0.0
2016-04-27,119.76,119.76,119.76,119.76,0.0
2016-04-28,120.01,120.01,120.01,120.01,0.0
2016-04-29,119.84,119.84,119.84,119.84,0.0
2016-05-03,120.6,120.6,120.6,120.6,0.0
2016-05-04,120.64,120.64,120.64,120.64,0.0
2016-05-05,121.12,121.12,121.12,121.12,0.0
2016-05-06,121.76,121.76,121.76,121.76,0.0
2016-05-09,121.88,121.88,121.88,121.88,0.0
2016-05-10,122.13,122.13,122.13,122.13,0.0
2016-05-11,122.23,122.23,122.23,122.23,0.0
2016-05-12,122.12,122.12,122.12,122.12,0.0
2016-05-13,122.42,122.42,122.42,122.42,0.0
2016-05-16,122.25,122.25,122.25,122.25,0.0
2016-05-17,122.56,122.56,122.56,122.56,0.0
2016-05-18,121.82,121.82,121.82,121.82,0.0
2016-05-19,121.87,121.87,121.87,121.87,0.0
2016-05-20,121.61,121.61,121.61,121.61,0.0
2016-05-23,121.68,121.68,121.68,121.68,0.0
2016-05-24,121.5,121.5,121.5,121.5,0.0
2016-05-25,121.7,121.7,121.7,121.7,0.0
2016-05-26,122.08,122.08,122.08,122.08,0.0
2016-05-27,121.8,121.8,121.8,121.8,0.0
2016-05-31,121.79,121.79,121.79,121.79,0.0
2016-06-01,122.47,122.47,122.47,122.47,0.0
2016-06-02,122.77,122.77,122.77,122.77,0.0
2016-06-03,123.52,123.52,123.52,123.52,0.0
2016-06-06,123.46,123.46,123.46,123.46,0.0
2016-06-07,123.69,123.69,123.69,123.69,0.0
2016-06-08,123.83,123.83,123.83,123.83,0.0
2016-06-09,123.89,123.89,123.89,123.89,0.0
2016-06-10,124.09,124.09,124.09,124.09,0.0
2016-06-13,124.19,124.19,124.19,124.19,0.0
2016-06-14,125.08,125.08,125.08,125.08,0.0
2016-06-15,125.22,125.22,125.22,125.22,0.0
2016-06-16,125.44,125.44,125.44,125.44,0.0
2016-06-17,125.05,125.05,125.05,125.05,0.0
2016-06-20,123.95,123.95,123.95,123.95,0.0
2016-06-21,123.59,123.59,123.59,123.59,0.0
2016-06-22,123.14,123.14,123.14,123.14,0.0
2016-06-23,122.72,122.72,122.72,122.72,0.0
2016-06-24,125.53,125.53,125.53,125.53,0.0
2016-06-27,127.09,127.09,127.09,127.09,0.0
2016-06-28,127.03,127.03,127.03,127.03,0.0
2016-06-29,127.07,127.07,127.07,127.07,0.0
2016-06-30,127.47,127.47,127.47,127.47,0.0
2016-07-01,127.8,127.8,127.8,127.8,0.0
2016-07-04,128.16,128.16,128.16,128.16,0.0
2016-07-05,128.78,128.78,128.78,128.78,0.0
2016-07-06,128.91,128.91,128.91,128.91,0.0
2016-07-07,128.74,128.74,128.74,128.74,0.0
2016-07-08,129.21,129.21,129.21,129.21,0.0
2016-07-11,129.1,129.1,129.1,129.1,0.0
2016-07-12,128.52,128.52,128.52,128.52,0.0
2016-07-13,129.22,129.22,129.22,129.22,0.0
2016-07-14,128.67,128.67,128.67,128.67,0.0
2016-07-15,128.25,128.25,128.25,128.25,0.0
2016-07-18,128.48,128.48,128.48,128.48,0.0
2016-07-19,128.61,128.61,128.61,128.61,0.0
2016-07-20,128.31,128.31,128.31,128.31,0.0
2016-07-21,128.21,128.21,128.21,128.21,0.0
2016-07-22,128.61,128.61,128.61,128.61,0.0
2016-07-25,128.61,128.61,128.61,128.61,0.0
2016-07-26,128.36,128.36,128.36,128.36,0.0
2016-07-27,129.4,129.4,129.4,129.4,0.0
2016-07-28,129.64,129.64,129.64,129.64,0.0
2016-07-29,129.9,129.9,129.9,129.9,0.0
2016-08-01,129.38,129.38,129.38,129.38,0.0
2016-08-02,128.58,128.58,128.58,128.58,0.0
2016-08-03,128.7,128.7,128.7,128.7,0.0
2016-08-04,130.42,130.42,130.42,130.42,0.0
2016-08-05,130.2,130.2,130.2,130.2,0.0
2016-08-08,130.7,130.7,130.7,130.7,0.0
2016-08-09,131.27,131.27,131.27,131.27,0.0
2016-08-10,131.44,131.44,131.44,131.44,0.0
2016-08-11,131.54,131.54,131.54,131.54,0.0
2016-08-12,131.71,131.71,131.71,131.71,0.0
2016-08-15,131.45,131.45,131.45,131.45,0.0
2016-08-16,131.06,131.06,131.06,131.06,0.0
2016-08-17,131.24,131.24,131.24,131.24,0.0
2016-08-18,131.29,131.29,131.15,131.27,413.0
2016-08-19,131.18,131.18,130.67,130.74,356.0
2016-08-22,130.75,131.32,130.72,131.21,4067.0
2016-08-23,131.21,131.62,131.05,131.45,13361.0
2016-08-24,131.4,131.55,131.14,131.24,97393.0
2016-08-25,131.27,131.42,130.97,131.25,212699.0
2016-08-26,131.11,131.61,130.95,131.56,176338.0
2016-08-30,131.18,131.83,131.13,131.52,165761.0
2016-08-31,131.53,131.87,131.35,131.53,159366.0
2016-09-01,131.32,131.39,130.63,131.06,214684.0
2016-09-02,131.12,131.38,130.32,130.39,152527.0
2016-09-05,130.72,130.99,130.53,130.76,99680.0
2016-09-06,130.64,131.34,130.54,131.2,214839.0
2016-09-07,131.28,131.53,131.02,131.17,154770.0
2016-09-08,131.05,131.15,129.96,130.16,188388.0
2016-09-09,129.98,130.09,128.92,129.0,222827.0
2016-09-12,128.7,129.1,128.51,129.01,165399.0
2016-09-13,129.05,129.47,127.87,128.74,199329.0
2016-09-14,128.3,128.93,128.22,128.79,188358.0
2016-09-15,128.72,129.0,128.06,128.72,189197.0
2016-09-16,128.7,129.35,128.7,129.1,124833.0
2016-09-19,129.03,129.13,128.83,128.94,98347.0
2016-09-20,129.05,129.85,128.99,129.76,179017.0
2016-09-21,129.64,129.96,129.4,129.68,135680.0
2016-09-22,130.32,130.79,130.14,130.58,146855.0
2016-09-23,130.57,130.85,130.45,130.52,93055.0
2016-09-26,130.8,131.03,130.63,130.75,115070.0
2016-09-27,130.8,131.51,130.75,131.21,177045.0
2016-09-28,131.23,131.31,130.85,131.16,121922.0
2016-09-29,130.9,130.95,130.36,130.7,145465.0
2016-09-30,131.1,131.21,130.04,130.25,216884.0
2016-10-03,130.25,130.61,130.22,130.42,140587.0
2016-10-04,130.46,130.7,129.8,130.15,194963.0
2016-10-05,130.07,130.08,129.4,129.54,196935.0
2016-10-06,129.64,129.9,128.54,128.93,261669.0
2016-10-07,128.05,128.45,127.39,127.99,258215.0
2016-10-10,127.93,127.95,127.14,127.41,130372.0
2016-10-11,127.43,127.95,127.41,127.7,206617.0
2016-10-12,127.47,127.71,126.95,127.16,207486.0
2016-10-13,127.44,127.8,127.23,127.45,208261.0
2016-10-14,127.19,127.22,126.03,126.55,276455.0
2016-10-17,126.25,126.46,125.3,126.37,244091.0
2016-10-18,126.43,126.98,126.19,126.81,207854.0
2016-10-19,126.78,127.11,126.61,126.82,177969.0
2016-10-20,126.65,126.98,126.11,126.84,163014.0
2016-10-21,126.66,127.25,126.55,126.93,128271.0
2016-10-24,127.15,127.34,126.65,126.8,132281.0
2016-10-25,126.96,127.02,126.45,126.93,202417.0
2016-10-26,126.81,126.89,125.92,126.08,182761.0
2016-10-27,126.07,126.43,124.73,125.15,217273.0
2016-10-28,125.08,125.3,124.52,125.08,157595.0
2016-10-31,125.08,125.53,125.0,125.34,163019.0
2016-11-01,124.92,125.27,124.68,124.88,187226.0
2016-11-02,125.38,126.15,125.35,125.9,202919.0
2016-11-03,125.88,126.41,125.06,125.61,232863.0
2016-11-04,125.84,126.68,125.67,126.38,142918.0
2016-11-07,125.99,126.18,125.65,125.84,102835.0
2016-11-08,125.94,125.94,125.14,125.45,146463.0
2016-11-09,125.75,126.19,124.62,125.43,236371.0
2016-11-10,124.99,125.1,123.94,124.39,247548.0
2016-11-11,123.72,124.47,123.6,124.22,114148.0
2016-11-14,123.54,123.9,122.87,123.48,197859.0
2016-11-15,123.71,124.41,123.64,124.13,182662.0
