DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-08-29,2547.7,2547.7,2547.7,2547.7,0.0
2024-08-30,2542.2,2542.2,2516.0,2516.0,9.0
2024-09-03,2513.8,2525.8,2496.3,2511.4,52.0
2024-09-04,2511.9,2518.0,2495.7,2514.4,54.0
2024-09-05,2513.9,2541.3,2513.0,2531.6,143.0
2024-09-06,2533.2,2541.7,2511.0,2513.2,62.0
2024-09-09,2515.0,2524.8,2507.6,2521.3,53.0
2024-09-10,2524.0,2534.8,2517.8,2531.6,103.0
2024-09-11,2537.1,2540.9,2521.3,2530.9,84.0
2024-09-12,2531.5,2576.6,2531.2,2569.1,279.0
2024-09-13,2574.9,2601.3,2574.7,2599.1,510.0
2024-09-16,2598.0,2604.7,2593.5,2597.3,67.0
2024-09-17,2598.2,2602.0,2577.4,2580.8,117.0
2024-09-18,2589.4,2615.5,2563.5,2587.0,467.0
2024-09-19,2570.0,2605.8,2564.4,2602.9,199.0
2024-09-20,2601.9,2639.2,2601.8,2634.6,502.0
2024-09-23,2633.6,2647.9,2627.7,2640.9,473.0
2024-09-24,2639.1,2675.8,2637.3,2665.2,500.0
2024-09-25,2671.2,2681.7,2662.7,2673.0,780.0
2024-09-26,2668.7,2695.6,2666.1,2682.9,967.0
2024-09-27,2682.3,2684.0,2655.0,2656.5,639.0
2024-09-30,2667.9,2675.2,2636.8,2647.9,545.0
2024-10-01,2644.4,2681.7,2643.9,2678.5,464.0
2024-10-02,2671.1,2672.7,2653.3,2658.1,336.0
2024-10-03,2668.3,2670.7,2646.5,2667.4,653.0
2024-10-04,2663.0,2678.2,2641.7,2656.0,851.0
2024-10-07,2658.8,2666.6,2646.0,2654.0,385.0
2024-10-08,2649.6,2660.4,2612.7,2623.5,1047.0
2024-10-09,2628.8,2630.6,2612.0,2614.1,767.0
2024-10-10,2614.8,2636.9,2608.8,2627.4,876.0
2024-10-11,2634.4,2666.8,2634.4,2664.4,305.0
2024-10-14,2659.9,2671.3,2648.4,2653.7,386.0
2024-10-15,2654.6,2673.8,2642.7,2667.0,241.0
2024-10-16,2666.8,2689.8,2666.0,2679.3,375.0
2024-10-17,2676.9,2700.5,2676.8,2695.5,266.0
2024-10-18,2696.2,2725.6,2696.2,2718.0,217.0
2024-10-21,2724.3,2742.7,2716.9,2726.8,408.0
2024-10-22,2723.1,2749.5,2721.8,2747.4,425.0
2024-10-23,2748.9,2758.5,2709.9,2717.1,650.0
2024-10-24,2717.4,2743.3,2717.4,2736.5,335.0
2024-10-25,2735.4,2747.2,2716.9,2742.2,262.0
2024-10-28,2739.4,2745.6,2725.5,2743.6,567.0
2024-10-29,2741.9,2773.2,2740.8,2768.8,848.0
2024-10-30,2774.6,2789.0,2774.6,2788.5,231.0
2024-10-31,2787.4,2787.5,2733.5,2738.3,849.0
2024-11-01,2745.5,2756.0,2734.2,2738.6,109.0
2024-11-04,2736.5,2737.1,2736.1,2736.1,16.0
2024-11-05,2743.0,2743.9,2740.3,2740.3,23.0
2024-11-06,2734.5,2734.5,2659.4,2667.6,427.0
2024-11-07,2662.5,2699.1,2662.5,2698.4,676.0
2024-11-08,2688.5,2694.6,2682.9,2687.5,1038.0
2024-11-11,2671.7,2671.7,2611.2,2611.2,20.0
2024-11-12,2605.5,2605.5,2592.8,2600.0,118.0
2024-11-13,2611.1,2611.8,2580.8,2580.8,53.0
2024-11-14,2555.1,2576.2,2554.2,2568.2,27.0
2024-11-15,2565.7,2565.7,2565.7,2565.7,20.0
2024-11-18,2591.7,2610.7,2589.4,2610.6,136.0
2024-11-19,2621.9,2627.7,2619.3,2627.1,87.0
2024-11-20,2638.5,2648.2,2638.5,2648.2,27.0
2024-11-21,2659.3,2672.1,2655.7,2672.1,33.0
2024-11-22,2687.5,2710.5,2685.6,2709.9,41.0
2024-11-25,2689.4,2689.4,2616.8,2616.8,94.0
2024-11-26,2625.6,2625.6,2620.3,2620.3,43.0
