DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2000-03-31,17450.0,17450.0,17450.0,17450.0,0.0
2000-04-03,17000.0,17000.0,17000.0,17000.0,0.0
2000-04-05,16610.0,16650.0,16360.0,16360.0,8.0
2000-04-06,16310.0,16450.0,16310.0,16450.0,8.0
2000-04-07,16750.0,16945.0,16750.0,16945.0,112.0
2000-04-10,16720.0,16780.0,16700.0,16780.0,64.0
2000-04-11,16500.0,16500.0,16480.0,16480.0,15.0
2000-04-12,16350.0,16685.0,16350.0,16685.0,1.0
2000-04-13,16140.0,16325.0,16100.0,16325.0,4.0
2000-04-14,16120.0,16120.0,15950.0,16090.0,12.0
2000-04-17,14750.0,14950.0,14750.0,14770.0,131.0
2000-04-18,15150.0,15315.0,15150.0,15275.0,923.0
2000-04-19,15590.0,15675.0,15375.0,15435.0,2492.0
2000-04-20,15390.0,15400.0,15250.0,15320.0,6002.0
2000-04-25,15300.0,15560.0,15250.0,15440.0,11923.0
2000-04-26,15760.0,15760.0,15095.0,15160.0,15581.0
2000-04-27,15150.0,15260.0,15055.0,15100.0,11651.0
2000-04-28,15175.0,15525.0,15165.0,15490.0,7473.0
2000-05-02,15850.0,15870.0,15605.0,15830.0,9779.0
2000-05-03,15670.0,15700.0,15450.0,15515.0,8757.0
2000-05-04,15250.0,15415.0,15140.0,15240.0,9467.0
2000-05-05,15300.0,15330.0,15120.0,15300.0,6090.0
2000-05-08,15530.0,15545.0,14780.0,14822.0,13918.0
2000-05-09,14800.0,14870.0,14610.0,14770.0,9076.0
2000-05-10,14700.0,14730.0,14340.0,14460.0,12464.0
2000-05-12,14550.0,15210.0,14300.0,15130.0,16850.0
2000-05-15,15000.0,15120.0,14700.0,14700.0,10146.0
2000-05-16,14800.0,15199.0,14790.0,15065.0,11821.0
2000-05-17,15200.0,15310.0,14690.0,14860.0,16674.0
2000-05-18,14650.0,14650.0,14160.0,14200.0,17759.0
2000-05-19,14300.0,14755.0,14150.0,14500.0,15627.0
2000-05-22,13900.0,14250.0,13860.0,14170.0,12244.0
2000-05-23,14200.0,14360.0,13945.0,14280.0,14512.0
2000-05-24,13860.0,14000.0,13800.0,13850.0,15662.0
2000-05-25,14000.0,14200.0,13850.0,13850.0,16430.0
2000-05-26,13750.0,13780.0,13520.0,13635.0,18421.0
2000-05-29,13700.0,13990.0,13575.0,13960.0,14080.0
2000-05-30,14050.0,14115.0,13950.0,13968.0,3300.0
