DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2018-09-28,27865.0,27950.0,27670.0,27894.0,406.0
2018-10-02,27858.0,27858.0,27009.0,27009.0,639.0
2018-10-03,27005.0,27268.0,26897.0,27075.0,882.0
2018-10-04,27056.0,27188.0,26504.0,26579.0,988.0
2018-10-05,26577.0,26648.0,26268.0,26474.0,1047.0
2018-10-08,26499.0,26780.0,26145.0,26167.0,1355.0
2018-10-09,26151.0,26355.0,25993.0,26081.0,1335.0
2018-10-10,26092.0,26480.0,25974.0,26178.0,1369.0
2018-10-11,26168.0,26245.0,25135.0,25204.0,1919.0
2018-10-12,25135.0,25799.0,25100.0,25702.0,1979.0
2018-10-15,25686.0,25785.0,25343.0,25355.0,1124.0
2018-10-16,25393.0,25687.0,25221.0,25399.0,1493.0
2018-10-18,25383.0,25780.0,25223.0,25418.0,1982.0
2018-10-19,25410.0,25730.0,25060.0,25469.0,2690.0
2018-10-22,25480.0,26227.0,25394.0,26140.0,2676.0
2018-10-23,26135.0,26175.0,25275.0,25345.0,4235.0
2018-10-24,25290.0,25660.0,25056.0,25221.0,6034.0
2018-10-25,25212.0,25410.0,24606.0,24901.0,7418.0
2018-10-26,24936.0,25152.0,24525.0,24658.0,11284.0
2018-10-29,24638.0,24997.0,24460.0,24751.0,28389.0
2018-10-30,24770.0,25034.0,24541.0,24589.0,102823.0
2018-10-31,24583.0,24961.0,24474.0,24911.0,125844.0
2018-11-01,24929.0,25516.0,24858.0,25342.0,119759.0
2018-11-02,25342.0,26503.0,25323.0,26493.0,143417.0
2018-11-05,26496.0,26759.0,25719.0,25897.0,140559.0
2018-11-06,25883.0,26166.0,25798.0,26036.0,112051.0
2018-11-07,26018.0,26524.0,25861.0,26161.0,145727.0
2018-11-08,26168.0,26630.0,26105.0,26224.0,111913.0
2018-11-09,26225.0,26228.0,25407.0,25465.0,103500.0
2018-11-12,25474.0,25754.0,25312.0,25551.0,104789.0
2018-11-13,25547.0,25859.0,25008.0,25837.0,143497.0
2018-11-14,25828.0,25992.0,25430.0,25554.0,124711.0
2018-11-15,25544.0,26138.0,25495.0,26047.0,131711.0
2018-11-16,26028.0,26192.0,25785.0,26115.0,136807.0
2018-11-19,26096.0,26378.0,25957.0,26290.0,118925.0
2018-11-20,26282.0,26317.0,25699.0,25794.0,114013.0
2018-11-21,25780.0,25976.0,25414.0,25903.0,142645.0
2018-11-22,25904.0,26204.0,25810.0,25931.0,99916.0
2018-11-23,25924.0,26035.0,25755.0,25895.0,82243.0
2018-11-26,25892.0,26427.0,25773.0,26402.0,95213.0
2018-11-27,26421.0,26512.0,26138.0,26256.0,95815.0
2018-11-28,26281.0,26722.0,26197.0,26612.0,81604.0
2018-11-29,26618.0,26944.0,26523.0,26589.0,19730.0
