DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1998-11-03,0.4597,0.4597,0.4597,0.4597,0.0
1998-11-04,0.4574,0.4574,0.4574,0.4574,26.0
1998-11-05,0.4575,0.4575,0.4575,0.4575,0.0
1998-11-06,0.4539,0.4539,0.4539,0.4539,0.0
1998-11-09,0.4476,0.4476,0.4476,0.4476,0.0
1998-11-10,0.452,0.455,0.4494,0.4494,27.0
1998-11-11,0.4503,0.4503,0.4503,0.4503,0.0
1998-11-12,0.46,0.46,0.4571,0.4571,1.0
1998-11-13,0.4492,0.4492,0.4492,0.4492,0.0
1998-11-16,0.4421,0.4421,0.4421,0.4421,0.0
1998-11-17,0.439,0.439,0.439,0.439,0.0
1998-11-18,0.4443,0.4443,0.4443,0.4443,0.0
1998-11-19,0.4439,0.4439,0.4439,0.4439,0.0
1998-11-20,0.4462,0.4462,0.4462,0.4462,0.0
1998-11-23,0.4387,0.4387,0.4387,0.4387,0.0
1998-11-24,0.4445,0.4445,0.4352,0.4352,1.0
1998-11-25,0.4323,0.4323,0.4323,0.4323,0.0
1998-11-30,0.4211,0.4211,0.4211,0.4211,0.0
1998-12-01,0.4261,0.4261,0.4243,0.4243,3.0
1998-12-02,0.4266,0.4266,0.4266,0.4266,0.0
1998-12-03,0.4235,0.4235,0.4235,0.4235,2.0
1998-12-04,0.4188,0.4188,0.4188,0.4188,0.0
1998-12-07,0.4236,0.4236,0.4236,0.4236,0.0
1998-12-08,0.425,0.425,0.4163,0.4163,1.0
1998-12-09,0.4154,0.4154,0.4154,0.4154,0.0
1998-12-10,0.4119,0.4119,0.4119,0.4119,0.0
1998-12-11,0.4131,0.4131,0.4131,0.4131,0.0
1998-12-14,0.4177,0.4177,0.4177,0.4177,0.0
1998-12-15,0.4243,0.4243,0.4243,0.4243,0.0
1998-12-16,0.431,0.431,0.431,0.431,0.0
1998-12-17,0.419,0.419,0.4048,0.4048,65.0
1998-12-18,0.414,0.414,0.4057,0.4057,15.0
1998-12-21,0.4015,0.4015,0.4015,0.4015,0.0
1998-12-22,0.4045,0.4045,0.4045,0.4045,7.0
1998-12-23,0.4035,0.4035,0.4035,0.4035,0.0
1998-12-24,0.4009,0.4009,0.4009,0.4009,0.0
1998-12-28,0.4021,0.4021,0.4021,0.4021,2.0
1998-12-29,0.4067,0.4067,0.4067,0.4067,0.0
1998-12-30,0.4075,0.4075,0.4042,0.4042,28.0
1998-12-31,0.4058,0.4058,0.4058,0.4058,0.0
1999-01-04,0.4139,0.4139,0.4139,0.4139,0.0
1999-01-05,0.4065,0.4065,0.4065,0.4065,76.0
1999-01-06,0.4203,0.4203,0.4203,0.4203,0.0
1999-01-07,0.4224,0.4224,0.4224,0.4224,0.0
1999-01-08,0.4223,0.4223,0.4223,0.4223,0.0
1999-01-11,0.4263,0.4263,0.4263,0.4263,0.0
1999-01-12,0.4146,0.4146,0.4146,0.4146,0.0
1999-01-13,0.41,0.41,0.405,0.405,36.0
1999-01-14,0.4011,0.4011,0.4011,0.4011,23.0
1999-01-15,0.3975,0.3975,0.3975,0.3975,0.0
1999-01-19,0.3952,0.3952,0.3952,0.3952,10.0
1999-01-20,0.3879,0.3879,0.3879,0.3879,1.0
1999-01-21,0.3939,0.3939,0.3939,0.3939,0.0
1999-01-22,0.4018,0.4018,0.4018,0.4018,0.0
1999-01-25,0.3943,0.3943,0.3943,0.3943,0.0
1999-01-26,0.3892,0.3892,0.3892,0.3892,0.0
1999-01-27,0.3954,0.3954,0.3954,0.3954,16.0
1999-01-28,0.3956,0.3956,0.3956,0.3956,0.0
1999-01-29,0.404,0.404,0.4022,0.4022,2.0
1999-02-01,0.3955,0.3955,0.3955,0.3955,0.0
1999-02-02,0.3941,0.3941,0.3941,0.3941,1.0
1999-02-03,0.3967,0.3967,0.3967,0.3967,36.0
1999-02-04,0.399,0.399,0.3947,0.3947,696.0
1999-02-05,0.394,0.398,0.391,0.391,63.0
1999-02-08,0.3864,0.3864,0.3864,0.3864,0.0
1999-02-09,0.3882,0.3882,0.3882,0.3882,0.0
1999-02-10,0.389,0.389,0.3855,0.3855,409.0
1999-02-11,0.385,0.385,0.385,0.385,63.0
1999-02-12,0.3798,0.3798,0.3798,0.3798,0.0
1999-02-16,0.3741,0.3741,0.3741,0.3741,4.0
1999-02-17,0.3772,0.3772,0.3772,0.3772,0.0
1999-02-18,0.38,0.3851,0.38,0.3851,174.0
1999-02-19,0.3771,0.3771,0.3771,0.3771,0.0
1999-02-22,0.3803,0.3803,0.3803,0.3803,0.0
1999-02-23,0.3859,0.3859,0.3859,0.3859,0.0
