DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-06-13,148.18,148.18,148.18,148.18,0.0
2023-06-14,148.02,148.02,148.02,148.02,0.0
2023-06-15,147.94,147.94,147.94,147.94,0.0
2023-06-16,148.25,148.25,148.25,148.25,0.0
2023-06-19,148.28,148.28,148.28,148.28,0.0
2023-06-20,148.45,148.45,148.45,148.45,0.0
2023-06-21,148.56,148.56,148.56,148.56,0.0
2023-06-22,148.59,148.59,148.59,148.59,0.0
2023-06-23,148.73,148.73,148.73,148.73,0.0
2023-06-26,148.96,148.96,148.96,148.96,0.0
2023-06-27,148.7,148.7,148.7,148.7,0.0
2023-06-28,148.53,148.53,148.53,148.53,0.0
2023-06-29,148.49,148.49,148.49,148.49,0.0
2023-06-30,148.38,148.38,148.38,148.38,0.0
2023-07-03,148.44,148.44,148.44,148.44,0.0
2023-07-04,148.54,148.54,148.54,148.54,0.0
2023-07-05,148.69,148.69,148.69,148.69,0.0
2023-07-06,148.39,148.39,148.39,148.39,0.0
2023-07-07,147.9,147.9,147.9,147.9,0.0
2023-07-10,147.42,147.42,147.42,147.42,0.0
2023-07-11,147.6,147.6,147.6,147.6,0.0
2023-07-12,147.31,147.31,147.31,147.31,0.0
2023-07-13,147.54,147.54,147.54,147.54,0.0
2023-07-14,147.19,147.19,147.19,147.19,0.0
2023-07-18,147.32,147.32,147.32,147.32,0.0
2023-07-19,147.77,147.77,147.77,147.77,0.0
2023-07-20,147.74,147.74,147.74,147.74,0.0
2023-07-21,148.36,148.36,148.36,148.36,0.0
2023-07-24,148.3,148.3,148.3,148.3,0.0
2023-07-25,148.05,148.05,148.05,148.05,0.0
2023-07-26,148.05,148.05,148.05,148.05,0.0
2023-07-27,148.0,148.0,148.0,148.0,0.0
2023-07-28,146.91,146.91,146.91,146.91,0.0
2023-07-31,146.62,146.62,146.62,146.62,0.0
2023-08-01,146.59,146.59,146.59,146.59,0.0
2023-08-02,146.38,146.38,146.38,146.38,0.0
2023-08-03,146.03,146.03,146.03,146.03,0.0
2023-08-04,145.98,145.98,145.98,145.98,0.0
2023-08-07,146.21,146.21,146.21,146.21,0.0
2023-08-08,146.0,146.0,146.0,146.0,0.0
2023-08-09,146.32,146.32,146.32,146.32,0.0
2023-08-10,146.25,146.25,146.25,146.25,0.0
2023-08-11,146.25,146.25,146.25,146.25,0.0
2023-08-14,146.12,146.12,146.12,146.12,0.0
2023-08-15,145.98,145.98,145.98,145.98,0.0
2023-08-16,146.16,146.16,146.16,146.16,0.0
2023-08-17,145.9,145.9,145.9,145.9,0.0
2023-08-18,145.81,145.81,145.81,145.81,0.0
2023-08-21,145.63,145.63,145.63,145.63,0.0
2023-08-22,145.64,145.64,145.64,145.64,0.0
2023-08-23,145.75,145.75,145.75,145.75,0.0
2023-08-24,146.03,146.03,146.03,146.03,0.0
2023-08-25,145.89,145.89,145.89,145.89,0.0
2023-08-28,145.9,145.9,145.9,145.9,0.0
2023-08-29,146.02,146.02,146.02,146.02,0.0
2023-08-30,146.07,146.07,146.07,146.07,0.0
2023-08-31,146.15,146.15,146.15,146.15,0.0
2023-09-01,146.3,146.3,146.3,146.3,0.0
2023-09-04,146.07,146.07,146.07,146.07,0.0
2023-09-05,145.97,145.97,145.97,145.97,0.0
2023-09-06,146.02,146.02,146.02,146.02,0.0
2023-09-07,146.1,146.1,146.1,146.1,0.0
