DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2017-09-15,312.75,312.75,312.75,312.75,0.0
2017-09-18,318.3,318.3,318.3,318.3,0.0
2017-09-19,317.65,317.65,317.65,317.65,0.0
2017-09-20,317.4,317.4,317.4,317.4,0.0
2017-09-21,317.65,317.65,317.65,317.65,0.0
2017-09-22,315.3,315.3,315.3,315.3,0.0
2017-09-25,315.35,315.35,315.35,315.35,0.0
2017-09-26,313.35,313.35,313.35,313.35,0.0
2017-09-27,312.95,312.95,312.95,312.95,0.0
2017-09-28,313.15,313.15,313.15,313.15,0.0
2017-09-29,315.85,315.85,315.85,315.85,0.0
2017-10-10,321.8,321.8,321.8,321.8,0.0
2017-10-11,324.9,324.9,324.9,324.9,0.0
2017-10-12,327.35,327.35,327.35,327.35,0.0
2017-10-13,326.95,326.95,326.95,326.95,0.0
2017-10-16,327.2,327.2,327.2,327.2,0.0
2017-10-17,327.5,327.5,327.5,327.5,0.0
2017-10-18,327.55,327.55,327.55,327.55,0.0
2017-10-19,325.75,325.75,325.75,325.75,0.0
2017-10-20,327.95,327.95,327.95,327.95,0.0
2017-10-23,328.75,328.75,328.75,328.75,0.0
2017-10-24,328.25,328.25,328.25,328.25,0.0
2017-10-25,328.45,328.45,328.45,328.45,0.0
2017-10-26,325.4,325.4,325.4,325.4,0.0
2017-10-27,328.55,328.55,328.55,328.55,0.0
2017-10-30,329.2,329.2,329.2,329.2,0.0
2017-10-31,332.85,332.85,332.85,332.85,0.0
2017-11-01,338.4,338.4,338.4,338.4,0.0
2017-11-02,336.9,336.9,336.9,336.9,0.0
2017-11-03,338.2,338.2,338.2,338.2,0.0
2017-11-06,335.95,335.95,335.95,335.95,0.0
2017-11-07,335.55,335.55,335.55,335.55,400.0
2017-11-08,337.05,337.05,337.05,337.05,0.0
2017-11-09,335.45,335.45,335.45,335.45,0.0
2017-11-10,334.7,334.7,334.7,334.7,0.0
2017-11-13,333.35,333.35,333.35,333.35,0.0
2017-11-14,333.15,333.15,333.15,333.15,0.0
2017-11-15,331.5,331.5,331.5,331.5,1.0
2017-11-16,333.15,333.15,333.15,333.15,0.0
2017-11-17,334.3,334.3,334.3,334.3,1201.0
2017-11-20,333.2,333.2,333.2,333.2,202.0
