DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2003-08-19,52.25,52.75,52.25,52.75,3.0
2003-08-20,52.8,52.8,52.5,52.5,5.0
2003-08-21,52.5,52.6,52.4,52.6,1.0
2003-08-22,52.5,52.8,52.5,52.8,1.0
2003-08-25,52.8,53.2,52.775,53.2,4.0
2003-08-26,53.0,53.25,52.25,53.25,4.0
2003-08-27,53.25,54.25,53.25,53.65,22.0
2003-08-28,53.65,53.65,53.4,53.4,5.0
2003-08-29,53.45,54.0,53.45,53.9,4.0
2003-09-02,53.6,53.6,53.6,53.6,0.0
2003-09-03,53.6,53.9,53.6,53.7,3.0
2003-09-04,53.5,53.5,53.5,53.5,0.0
2003-09-05,53.6,54.5,53.6,54.1,10.0
2003-09-08,54.1,54.125,53.5,53.8,9.0
2003-09-09,53.3,53.7,53.3,53.7,1.0
2003-09-10,53.3,53.65,53.3,53.65,5.0
2003-09-11,53.0,53.7,53.0,53.65,1.0
2003-09-12,53.4,53.4,52.9,52.9,3.0
2003-09-15,51.75,52.95,51.75,51.775,15.0
2003-09-16,51.9,52.2,51.25,51.25,7.0
2003-09-17,51.1,52.4,51.1,52.375,5.0
2003-09-18,52.3,52.5,52.3,52.5,11.0
2003-09-19,52.3,52.8,52.3,52.8,2.0
2003-09-22,52.6,52.6,52.6,52.6,0.0
2003-09-23,52.3,52.3,52.3,52.3,0.0
2003-09-24,52.3,52.3,52.3,52.3,0.0
2003-09-25,52.25,52.25,52.1,52.175,2.0
2003-09-26,51.75,53.0,51.75,53.0,8.0
2003-09-29,51.8,52.3,51.6,52.3,2.0
2003-09-30,52.3,52.3,52.2,52.2,12.0
2003-10-01,52.2,53.1,52.2,53.1,2.0
2003-10-02,52.4,53.3,52.4,53.3,6.0
2003-10-03,53.3,53.3,53.275,53.3,5.0
2003-10-06,53.3,53.55,53.25,53.55,5.0
2003-10-07,53.4,54.0,53.3,53.95,16.0
2003-10-08,54.025,54.65,54.0,54.6,35.0
2003-10-09,53.95,53.95,53.2,53.2,6.0
2003-10-10,53.0,53.4,52.4,52.4,2.0
2003-10-13,52.4,52.4,52.4,52.4,1.0
2003-10-14,52.4,52.425,51.7,51.7,1.0
2003-10-15,51.6,52.6,51.5,52.45,6.0
2003-10-16,52.2,52.3,51.6,51.725,7.0
2003-10-17,51.75,51.8,51.7,51.75,13.0
2003-10-20,51.5,51.5,51.15,51.15,3.0
2003-10-21,51.2,51.2,50.7,50.7,4.0
2003-10-22,50.5,50.8,50.4,50.65,9.0
2003-10-23,50.3,51.4,50.3,51.25,12.0
2003-10-24,52.0,52.0,51.7,51.775,2.0
2003-10-27,52.35,52.4,52.1,52.3,19.0
2003-10-28,52.125,52.25,52.05,52.25,9.0
2003-10-29,52.5,53.6,52.5,53.1,52.0
2003-10-30,53.4,53.9,53.35,53.35,8.0
2003-10-31,54.0,54.0,53.25,54.0,14.0
2003-11-03,54.1,54.25,53.9,54.0,11.0
2003-11-04,54.1,54.1,53.8,53.95,1.0
2003-11-05,54.0,54.1,53.95,53.975,17.0
2003-11-06,53.975,53.975,53.6,53.95,46.0
2003-11-07,53.925,54.1,53.5,53.5,10.0
2003-11-10,53.7,54.1,53.425,53.45,11.0
2003-11-11,53.5,53.7,53.15,53.15,8.0
2003-11-12,53.2,53.3,53.1,53.15,16.0
2003-11-13,53.5,53.55,53.3,53.3,6.0
2003-11-14,53.2,53.2,53.15,53.15,3.0
2003-11-17,53.1,53.35,53.1,53.175,2.0
2003-11-18,53.35,53.6,53.3,53.55,9.0
2003-11-19,53.55,53.55,52.25,52.375,9.0
2003-11-20,52.7,52.7,52.1,52.325,11.0
2003-11-21,52.5,52.6,52.1,52.25,8.0
2003-11-24,52.5,52.5,52.1,52.1,19.0
2003-11-25,52.1,52.35,51.8,52.0,4.0
2003-11-26,52.3,52.3,51.7,51.7,6.0
2003-11-28,52.0,52.0,52.0,52.0,1.0
2003-12-01,52.4,52.55,51.7,51.7,16.0
2003-12-02,51.5,51.5,51.1,51.2,2.0
2003-12-03,51.3,51.5,51.05,51.15,2.0
2003-12-04,51.5,51.525,51.075,51.1,30.0
2003-12-05,51.1,51.5,51.1,51.35,11.0
2003-12-08,51.425,51.7,51.425,51.45,7.0
2003-12-09,51.5,51.7,50.9,51.0,12.0
2003-12-10,50.9,51.25,50.8,50.8,33.0
2003-12-11,51.0,51.3,50.775,50.775,3.0
2003-12-12,50.9,50.95,50.525,50.525,23.0
2003-12-15,50.9,50.95,50.7,50.725,6.0
2003-12-16,50.8,50.9,50.525,50.525,9.0
2003-12-17,50.5,50.55,50.1,50.2,36.0
2003-12-18,50.0,50.05,49.6,49.9,58.0
2003-12-19,49.7,50.4,49.7,50.1,44.0
2003-12-22,50.55,50.8,50.3,50.4,18.0
2003-12-23,50.3,50.3,50.3,50.3,3.0
2003-12-24,50.3,50.3,49.3,49.5,41.0
2003-12-26,49.0,51.5,49.0,51.2,71.0
2003-12-29,51.2,51.4,50.65,50.65,42.0
2003-12-30,51.175,51.2,50.6,50.6,118.0
2003-12-31,49.1,49.775,49.0,49.6,10.0
2004-01-02,49.7,51.6,49.7,51.35,157.0
