DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2021-04-30,126.2,126.2,126.2,126.2,0.0
2021-05-03,126.55,126.55,126.55,126.55,0.0
2021-05-04,126.5,126.5,126.5,126.5,0.0
2021-05-05,127.875,127.875,127.875,127.875,0.0
2021-05-06,129.475,129.525,129.475,129.5,7.0
2021-05-07,130.275,130.275,130.0,130.0,4.0
2021-05-10,130.0,130.0,130.0,130.0,1.0
2021-05-11,130.75,130.75,130.5,130.75,9.0
2021-05-12,131.15,131.65,131.15,131.65,8.0
2021-05-13,130.1,130.1,128.45,129.7,5.0
2021-05-14,129.75,129.925,129.575,129.925,6.0
2021-05-17,129.925,129.925,129.325,129.6,8.0
2021-05-18,129.35,129.35,129.35,129.35,1.0
2021-05-19,128.75,128.85,128.625,128.675,2.0
2021-05-20,129.575,129.7,129.575,129.7,2.0
2021-05-21,129.4,129.4,129.4,129.4,0.0
2021-05-24,128.625,128.625,128.625,128.625,2.0
2021-05-25,129.325,129.5,129.075,129.25,2.0
2021-05-26,128.95,128.95,128.6,128.75,12.0
2021-05-27,128.975,129.0,128.975,129.0,5.0
2021-05-28,129.0,129.0,129.0,129.0,6.0
2021-06-01,127.5,129.0,127.0,129.0,41.0
2021-06-02,129.0,130.15,129.0,130.15,10.0
2021-06-03,131.225,131.475,131.0,131.0,9.0
2021-06-04,131.775,132.05,131.575,132.0,11.0
2021-06-07,131.925,133.675,131.925,133.6,36.0
2021-06-08,133.4,133.4,132.75,133.3,15.0
2021-06-09,133.375,133.7,133.15,133.7,91.0
2021-06-10,133.4,133.65,133.225,133.65,5.0
2021-06-11,134.575,134.575,134.575,134.575,0.0
2021-06-14,134.825,135.275,134.825,135.0,20.0
2021-06-15,134.875,135.0,134.6,134.875,16.0
2021-06-16,134.55,135.0,134.425,135.0,14.0
2021-06-17,134.425,134.725,132.275,132.275,25.0
2021-06-18,132.875,134.375,132.45,134.2,39.0
2021-06-21,134.05,134.05,134.05,134.05,0.0
2021-06-22,134.95,134.95,134.7,134.7,21.0
2021-06-23,133.6,133.6,133.6,133.6,16.0
2021-06-24,133.725,134.5,133.3,134.4,8.0
2021-06-25,134.6,134.6,134.375,134.5,18.0
2021-06-28,134.25,134.5,134.2,134.5,16.0
2021-06-29,134.65,135.025,134.275,134.75,47.0
2021-06-30,134.75,135.5,133.7,135.4,43.0
2021-07-01,135.2,136.625,134.9,136.0,118.0
2021-07-02,136.0,136.075,135.675,136.0,51.0
2021-07-06,136.0,136.0,135.325,136.0,1.0
2021-07-07,134.6,134.825,134.6,134.825,21.0
2021-07-08,133.825,133.95,132.725,133.175,56.0
2021-07-09,133.825,133.825,133.75,133.75,6.0
2021-07-12,133.925,134.2,133.25,134.2,35.0
2021-07-13,134.05,135.1,134.05,135.1,49.0
2021-07-14,135.275,135.4,134.85,134.85,43.0
2021-07-15,134.95,134.95,134.95,134.95,0.0
2021-07-16,134.975,134.975,134.0,134.0,9.0
2021-07-19,133.525,133.725,132.775,133.725,66.0
2021-07-20,133.475,133.875,133.15,133.575,52.0
2021-07-21,133.9,134.5,133.9,134.2,20.0
2021-07-22,134.525,135.325,134.525,135.05,32.0
2021-07-23,135.075,135.15,134.35,134.75,49.0
2021-07-26,135.225,135.325,134.975,135.05,57.0
2021-07-27,135.5,136.0,135.25,135.25,30.0
2021-07-28,135.35,135.5,135.075,135.375,25.0
2021-07-29,135.475,135.5,135.05,135.35,41.0
2021-07-30,134.75,134.75,134.525,134.55,13.0
2021-08-02,134.8,135.125,134.2,135.075,88.0
2021-08-03,135.35,135.35,134.6,135.325,122.0
2021-08-04,135.0,135.775,134.9,135.725,93.0
2021-08-05,135.5,135.725,135.1,135.2,83.0
2021-08-06,134.75,136.0,134.2,136.0,112.0
2021-08-09,135.575,136.0,135.575,135.825,63.0
2021-08-10,135.8,136.5,135.75,136.4,108.0
2021-08-11,136.35,136.625,136.2,136.3,40.0
2021-08-12,136.1,137.175,136.0,136.9,38.0
2021-08-13,137.0,137.1,136.5,137.05,53.0
2021-08-16,136.875,137.15,136.35,136.65,48.0
2021-08-17,136.6,136.6,136.1,136.25,58.0
2021-08-18,136.1,136.375,135.875,136.35,76.0
2021-08-19,135.85,136.1,135.6,135.9,63.0
2021-08-20,135.8,136.075,135.2,136.0,140.0
2021-08-23,136.1,136.8,136.1,136.8,145.0
2021-08-24,136.725,137.65,136.625,137.15,172.0
2021-08-25,137.0,137.475,137.0,137.1,103.0
2021-08-26,136.9,137.125,136.25,136.8,139.0
2021-08-27,136.9,137.425,136.825,137.35,64.0
2021-08-30,137.5,137.5,136.775,137.0,27.0
2021-08-31,137.025,137.025,136.35,136.75,90.0
2021-09-01,136.7,137.25,136.35,137.25,114.0
2021-09-02,136.725,136.8,135.8,136.075,87.0
2021-09-03,135.95,135.95,134.775,134.875,163.0
2021-09-07,134.85,135.175,133.475,133.5,139.0
2021-09-08,133.6,133.8,132.8,132.8,151.0
2021-09-09,132.7,133.15,132.0,132.1,166.0
2021-09-10,132.25,132.35,131.3,131.375,193.0
2021-09-13,130.25,131.2,129.8,130.65,160.0
2021-09-14,131.55,132.875,131.45,132.25,339.0
2021-09-15,132.3,132.7,131.475,131.475,277.0
2021-09-16,131.475,131.65,130.975,131.55,94.0
2021-09-17,131.025,131.225,130.725,131.025,84.0
2021-09-20,130.65,131.0,130.1,130.775,81.0
2021-09-21,131.2,131.3,130.5,130.975,70.0
2021-09-22,131.4,132.25,131.325,132.075,73.0
2021-09-23,132.475,132.975,132.475,132.55,103.0
2021-09-24,132.1,132.575,132.1,132.4,54.0
2021-09-27,132.45,132.45,131.6,132.2,280.0
2021-09-28,132.0,132.4,132.0,132.4,179.0
2021-09-29,132.125,132.775,131.8,132.5,178.0
2021-09-30,132.125,132.125,130.5,130.525,326.0
2021-10-01,131.275,131.45,130.8,130.85,321.0
2021-10-04,131.6,131.9,130.825,131.875,407.0
2021-10-05,132.0,133.0,131.575,132.7,206.0
2021-10-06,132.5,133.55,132.2,133.25,183.0
2021-10-07,133.375,134.425,133.125,134.4,341.0
2021-10-08,134.4,134.45,133.875,134.025,304.0
2021-10-11,133.8,134.725,133.8,134.6,144.0
2021-10-12,134.25,134.8,134.1,134.25,269.0
2021-10-13,134.175,134.175,133.25,133.625,260.0
2021-10-14,133.475,134.175,133.475,134.075,162.0
2021-10-15,134.075,134.6,133.85,134.4,244.0
2021-10-18,134.375,134.55,133.925,134.15,158.0
2021-10-19,134.3,134.7,133.875,134.35,405.0
2021-10-20,134.7,135.325,134.325,135.175,245.0
2021-10-21,135.1,135.25,134.25,134.75,259.0
2021-10-22,134.35,134.5,133.5,133.975,653.0
2021-10-25,135.025,135.425,134.375,134.65,280.0
2021-10-26,134.625,136.05,134.55,136.0,316.0
2021-10-27,135.775,136.0,135.5,135.8,460.0
2021-10-28,135.8,135.9,134.55,134.675,696.0
2021-10-29,134.75,134.85,134.1,134.175,410.0
2021-11-01,134.275,135.0,133.6,133.7,395.0
2021-11-02,134.125,135.75,134.1,135.675,885.0
2021-11-03,135.975,136.55,135.825,136.425,938.0
2021-11-04,136.375,136.75,135.9,136.125,388.0
2021-11-05,136.3,137.2,135.875,137.15,570.0
2021-11-08,137.075,137.4,136.925,137.275,642.0
2021-11-09,137.275,137.575,136.8,137.475,508.0
2021-11-10,137.25,137.55,136.575,137.325,1094.0
2021-11-11,137.175,137.45,137.0,137.275,830.0
2021-11-12,137.0,137.3,136.5,137.0,822.0
2021-11-15,136.475,137.05,136.25,136.825,318.0
2021-11-16,136.95,137.25,136.9,137.025,469.0
2021-11-17,137.05,137.625,136.875,137.6,684.0
2021-11-18,137.6,138.325,137.525,138.25,1258.0
2021-11-19,138.125,138.5,137.875,138.425,904.0
2021-11-22,138.5,139.0,138.225,139.0,1053.0
2021-11-23,138.75,139.5,138.7,139.375,1124.0
2021-11-24,139.475,140.375,139.025,140.2,2180.0
2021-11-26,138.625,140.0,138.625,139.9,1224.0
2021-11-29,139.85,140.775,138.45,138.6,1708.0
2021-11-30,138.25,139.025,137.25,138.125,1509.0
2021-12-01,138.325,139.55,138.325,139.125,1513.0
2021-12-02,138.95,139.85,138.825,139.775,1199.0
2021-12-03,139.7,139.95,138.85,139.525,1172.0
2021-12-06,139.175,139.75,138.55,139.625,1163.0
2021-12-07,139.225,139.5,138.975,139.45,913.0
2021-12-08,139.275,139.55,139.025,139.1,1626.0
2021-12-09,139.025,139.1,138.2,138.55,1117.0
2021-12-10,138.55,139.15,138.5,138.725,1313.0
2021-12-13,138.55,139.35,138.05,139.225,1244.0
2021-12-14,138.975,139.45,138.825,139.05,605.0
2021-12-15,138.925,138.925,137.975,138.075,1298.0
2021-12-16,137.875,138.575,137.625,138.325,1273.0
2021-12-17,138.5,138.55,137.175,137.575,1537.0
2021-12-20,137.2,137.4,136.875,137.325,1525.0
2021-12-21,137.5,138.55,137.25,138.25,1550.0
2021-12-22,138.5,139.225,138.05,139.175,1558.0
2021-12-23,139.0,140.225,138.975,140.175,1427.0
2021-12-27,140.175,140.375,139.725,140.225,905.0
2021-12-28,140.0,140.775,139.9,140.35,2212.0
2021-12-29,140.5,141.4,140.5,141.35,2208.0
2021-12-30,141.0,141.375,140.725,141.1,1737.0
2021-12-31,141.1,141.7,140.8,141.625,2046.0
2022-01-03,141.475,141.9,141.275,141.4,1681.0
2022-01-04,141.05,141.15,139.925,140.8,3466.0
2022-01-05,140.8,140.925,139.925,140.525,2711.0
