DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-08-08,656.0,656.0,656.0,656.0,0.0
2022-08-09,672.0,672.0,672.0,672.0,0.0
2022-08-10,726.0,726.0,726.0,726.0,0.0
2022-08-11,721.5,721.5,721.5,721.5,0.0
2022-08-12,717.5,717.5,717.5,717.5,0.0
2022-08-15,712.5,712.5,712.5,712.5,0.0
2022-08-16,712.5,712.5,712.5,712.5,0.0
2022-08-17,712.5,712.5,712.5,712.5,0.0
2022-08-18,692.0,692.0,692.0,692.0,0.0
2022-08-19,644.5,644.5,644.5,644.5,0.0
2022-08-22,617.5,617.5,617.5,617.5,0.0
2022-08-23,624.0,624.0,624.0,624.0,0.0
2022-08-24,612.5,612.5,612.5,612.5,0.0
2022-08-25,612.5,612.5,612.5,612.5,0.0
2022-08-26,612.5,612.5,612.5,612.5,0.0
2022-08-29,615.0,615.0,615.0,615.0,0.0
2022-08-30,615.0,615.0,615.0,615.0,0.0
2022-08-31,615.0,615.0,615.0,615.0,0.0
2022-09-01,600.5,600.5,600.5,600.5,0.0
2022-09-02,600.5,600.5,600.5,600.5,0.0
2022-09-06,597.5,597.5,597.5,597.5,0.0
2022-09-07,610.0,610.0,610.0,610.0,0.0
2022-09-08,622.5,622.5,622.5,622.5,0.0
2022-09-09,622.5,622.5,622.5,622.5,0.0
2022-09-12,681.5,681.5,681.5,681.5,0.0
2022-09-13,669.0,669.0,669.0,669.0,0.0
2022-09-14,635.5,635.5,635.5,635.5,1.0
2022-09-15,600.5,600.5,600.5,600.5,0.0
2022-09-16,590.0,590.0,590.0,590.0,0.0
2022-09-19,580.5,580.5,580.5,580.5,4.0
2022-09-20,618.0,618.0,618.0,618.0,0.0
2022-09-21,610.0,610.0,610.0,610.0,0.0
2022-09-22,580.0,580.0,580.0,580.0,0.0
2022-09-23,580.0,580.0,564.0,564.0,24.0
2022-09-26,560.5,560.5,545.5,545.5,67.0
2022-09-27,558.5,558.5,558.5,558.5,4.0
2022-09-28,545.5,545.5,545.5,545.5,0.0
2022-09-29,545.5,545.5,545.5,545.5,0.0
2022-09-30,585.0,585.0,580.0,580.0,1.0
2022-10-03,553.0,553.0,553.0,553.0,1.0
2022-10-04,554.0,554.0,554.0,554.0,1.0
2022-10-05,534.0,549.0,534.0,544.5,9.0
2022-10-06,561.5,561.5,561.5,561.5,0.0
2022-10-07,560.0,560.0,560.0,560.0,0.0
2022-10-10,560.0,560.0,560.0,560.0,5.0
2022-10-11,580.0,585.0,575.0,584.5,8.0
2022-10-12,585.0,624.5,585.0,620.5,5.0
2022-10-13,567.5,600.5,567.5,600.5,4.0
2022-10-14,590.0,590.0,590.0,590.0,0.0
2022-10-17,604.0,604.0,604.0,604.0,5.0
2022-10-18,599.0,599.0,599.0,599.0,1.0
2022-10-19,620.0,620.0,615.0,615.5,5.0
2022-10-20,633.0,636.0,630.0,630.0,26.0
2022-10-21,639.0,643.5,633.0,635.0,27.0
2022-10-24,630.0,630.0,603.5,610.0,21.0
2022-10-25,600.0,600.0,595.0,595.0,3.0
2022-10-26,565.0,575.0,565.0,565.5,2.0
2022-10-27,566.0,566.0,566.0,566.0,0.0
2022-10-28,566.0,566.5,566.0,566.0,2.0
2022-10-31,580.0,580.0,580.0,580.0,7.0
2022-11-01,580.0,580.0,561.0,562.0,6.0
2022-11-02,565.0,566.5,552.0,566.5,18.0
2022-11-03,558.0,558.0,542.5,542.5,18.0
2022-11-04,538.0,538.0,538.0,538.0,5.0
2022-11-07,545.0,545.0,545.0,545.0,1.0
2022-11-08,545.0,545.0,545.0,545.0,7.0
2022-11-09,536.5,540.0,530.0,530.0,10.0
2022-11-10,530.0,530.0,530.0,530.0,0.0
2022-11-11,548.0,550.0,535.0,535.0,11.0
2022-11-14,536.0,536.0,525.0,525.0,19.0
2022-11-15,555.0,555.0,540.0,540.0,2.0
2022-11-16,540.0,540.0,540.0,540.0,0.0
2022-11-17,540.0,545.0,540.0,540.0,4.0
2022-11-18,535.0,536.0,534.0,536.0,25.0
2022-11-21,550.0,550.0,540.0,541.5,12.0
2022-11-22,549.5,549.5,541.5,541.5,10.0
2022-11-23,550.0,550.0,528.5,528.5,10.0
2022-11-25,528.5,528.5,528.5,528.5,0.0
2022-11-28,530.0,530.0,530.0,530.0,10.0
2022-11-29,530.0,535.0,530.0,532.5,8.0
2022-11-30,532.0,538.0,521.0,521.0,22.0
2022-12-01,533.0,534.0,510.0,518.5,71.0
2022-12-02,500.5,510.0,500.5,510.0,28.0
2022-12-05,510.0,510.0,500.0,500.0,7.0
2022-12-06,514.5,525.5,514.5,525.5,10.0
2022-12-07,534.5,535.0,530.5,535.0,15.0
2022-12-08,531.5,531.5,515.0,515.0,6.0
2022-12-09,515.0,515.0,515.0,515.0,0.0
2022-12-12,521.0,530.0,518.0,518.0,19.0
2022-12-13,520.5,528.0,510.5,513.0,24.0
2022-12-14,510.0,510.0,510.0,510.0,4.0
2022-12-15,505.0,505.0,498.0,504.0,16.0
2022-12-16,491.0,491.0,490.0,490.5,8.0
2022-12-19,489.5,489.5,481.5,485.0,25.0
2022-12-20,480.5,480.5,475.0,480.0,28.0
2022-12-21,480.0,485.0,480.0,485.0,5.0
2022-12-22,482.0,488.5,480.0,480.0,7.0
2022-12-23,485.0,485.0,485.0,485.0,1.0
2022-12-27,497.0,502.0,490.0,502.0,24.0
2022-12-28,502.0,502.0,500.0,500.0,2.0
2022-12-29,485.5,485.5,485.5,485.5,7.0
2022-12-30,472.0,500.0,472.0,496.5,34.0
2023-01-03,475.5,475.5,468.5,468.5,26.0
2023-01-04,475.0,478.5,475.0,475.0,26.0
2023-01-05,465.0,465.0,460.5,461.5,5.0
2023-01-06,461.5,463.5,450.5,460.0,18.0
2023-01-09,455.5,455.5,455.5,455.5,3.0
2023-01-10,439.0,439.0,430.0,430.0,5.0
2023-01-11,445.0,445.0,445.0,445.0,0.0
2023-01-12,352.5,400.0,352.5,400.0,1.0
2023-01-13,400.0,404.5,400.0,404.5,6.0
