DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2000-09-06,11.35,11.4,11.35,11.4,2.0
2000-09-07,11.4,11.4,11.4,11.4,6.0
2000-09-08,11.4,11.4,11.4,11.4,0.0
2000-09-11,11.4,11.4,11.4,11.4,5.0
2000-09-12,11.4,11.4,11.4,11.4,3.0
2000-09-13,11.3,11.3,11.3,11.3,3.0
2000-09-14,11.3,11.3,11.3,11.3,28.0
2000-09-15,11.3,11.3,11.3,11.3,0.0
2000-09-18,11.3,11.3,11.3,11.3,0.0
2000-09-19,11.3,11.3,11.3,11.3,0.0
2000-09-20,11.25,11.25,11.25,11.25,0.0
2000-09-21,11.25,11.25,11.25,11.25,9.0
2000-09-22,11.15,11.15,11.15,11.15,0.0
2000-09-25,11.15,11.15,11.15,11.15,2.0
2000-09-26,11.15,11.15,11.15,11.15,0.0
2000-09-27,11.0,11.0,11.0,11.0,1.0
2000-09-28,10.95,10.99,10.95,10.99,1.0
2000-09-29,10.92,10.92,10.92,10.92,4.0
2000-10-02,10.93,10.93,10.93,10.93,0.0
2000-10-03,10.95,10.98,10.95,10.96,6.0
2000-10-04,10.96,10.96,10.96,10.96,3.0
2000-10-05,10.7,10.7,10.7,10.7,10.0
2000-10-06,10.7,10.75,10.7,10.75,16.0
2000-10-09,10.75,10.75,10.7,10.7,19.0
2000-10-10,10.67,10.71,10.67,10.71,4.0
2000-10-11,10.71,10.71,10.69,10.71,7.0
2000-10-12,10.75,10.8,10.75,10.8,16.0
2000-10-13,10.81,10.81,10.81,10.81,0.0
2000-10-16,10.85,10.86,10.85,10.86,3.0
2000-10-17,10.86,10.86,10.86,10.86,0.0
2000-10-18,10.86,10.86,10.86,10.86,0.0
2000-10-19,10.88,10.88,10.88,10.88,0.0
2000-10-20,10.88,10.88,10.88,10.88,0.0
2000-10-23,10.9,11.0,10.9,11.0,11.0
2000-10-24,10.95,11.0,10.95,10.95,15.0
2000-10-25,10.86,10.86,10.86,10.86,1.0
2000-10-26,10.86,10.88,10.86,10.88,2.0
2000-10-27,10.9,10.9,10.9,10.9,9.0
2000-10-30,10.92,10.92,10.92,10.92,8.0
2000-10-31,10.92,10.92,10.92,10.92,0.0
2000-11-01,10.94,11.0,10.92,11.0,26.0
