DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2020-02-24,575.0,575.0,575.0,575.0,2.0
2020-02-25,580.5,580.5,580.5,580.5,0.0
2020-02-26,581.75,581.75,581.75,581.75,0.0
2020-02-27,578.25,578.25,578.25,578.25,0.0
2020-02-28,581.0,581.0,581.0,581.0,0.0
2020-03-02,581.5,581.5,581.5,581.5,0.0
2020-03-03,585.75,585.75,585.75,585.75,0.0
2020-03-04,580.5,580.5,580.5,580.5,0.0
2020-03-05,576.75,576.75,576.75,576.75,0.0
2020-03-06,579.25,579.25,579.25,579.25,0.0
2020-03-09,578.25,578.25,578.25,578.25,5.0
2020-03-10,578.25,578.25,578.25,578.25,0.0
2020-03-11,576.25,576.25,576.25,576.25,0.0
2020-03-12,575.0,575.0,571.75,571.75,9.0
2020-03-13,568.75,568.75,568.75,568.75,0.0
2020-03-16,570.0,570.0,570.0,570.0,0.0
2020-03-17,570.0,570.0,570.0,570.0,0.0
2020-03-18,570.0,570.75,570.0,570.75,1.0
2020-03-19,571.0,575.0,569.75,569.75,30.0
2020-03-20,569.0,574.0,569.0,574.0,1.0
2020-03-23,579.0,579.0,579.0,579.0,0.0
2020-03-24,580.75,580.75,580.75,580.75,0.0
2020-03-25,582.75,582.75,578.75,578.75,10.0
2020-03-26,577.0,577.0,577.0,577.0,1.0
2020-03-27,582.5,582.5,582.5,582.5,2.0
2020-03-30,580.25,580.25,580.25,580.25,0.0
2020-03-31,580.0,584.0,580.0,584.0,10.0
2020-04-01,570.0,570.25,568.0,568.0,4.0
2020-04-02,564.0,567.0,563.25,567.0,9.0
2020-04-03,572.5,572.5,572.5,572.5,0.0
2020-04-06,576.5,576.5,576.5,576.5,0.0
2020-04-07,573.25,573.25,573.25,573.25,0.0
2020-04-08,574.0,579.5,574.0,579.5,3.0
2020-04-09,583.0,583.0,583.0,583.0,0.0
2020-04-13,578.5,578.5,578.5,578.5,0.0
2020-04-14,576.5,576.5,576.5,576.5,0.0
2020-04-15,568.5,568.5,568.5,568.5,8.0
2020-04-16,565.0,565.0,565.0,565.0,1.0
2020-04-17,565.0,565.0,565.0,565.0,7.0
2020-04-20,575.0,575.0,566.0,567.0,9.0
2020-04-21,567.0,567.0,567.0,567.0,9.0
2020-04-22,566.25,566.25,566.25,566.25,0.0
2020-04-23,570.0,570.0,564.75,568.25,26.0
2020-04-24,564.0,567.25,564.0,567.25,9.0
2020-04-27,564.0,564.0,564.0,564.0,0.0
2020-04-28,565.0,567.75,565.0,567.5,2.0
2020-04-29,560.0,562.75,560.0,561.25,57.0
2020-04-30,560.0,567.25,559.5,567.25,5.0
2020-05-01,559.0,560.5,559.0,560.5,7.0
2020-05-04,559.0,563.0,557.5,563.0,45.0
2020-05-05,561.5,562.25,561.5,562.25,5.0
2020-05-06,558.25,558.25,558.0,558.0,3.0
2020-05-07,564.0,564.0,564.0,564.0,0.0
2020-05-08,563.5,566.0,563.25,565.0,5.0
2020-05-11,570.0,570.5,567.5,567.75,12.0
2020-05-12,570.0,570.0,570.0,570.0,0.0
2020-05-13,570.0,570.0,561.0,561.0,12.0
2020-05-14,561.75,564.0,560.75,561.0,14.0
2020-05-15,560.0,560.0,560.0,560.0,0.0
2020-05-18,559.0,559.0,559.0,559.0,1.0
2020-05-19,561.0,561.0,561.0,561.0,0.0
2020-05-20,569.75,569.75,569.75,569.75,22.0
2020-05-21,570.75,574.5,565.75,567.75,16.0
2020-05-22,564.5,564.5,564.5,564.5,2.0
2020-05-26,565.75,565.75,565.75,565.75,0.0
2020-05-27,563.75,563.75,563.75,563.75,0.0
2020-05-28,570.0,572.25,568.5,570.0,8.0
2020-05-29,572.0,572.0,572.0,572.0,0.0
2020-06-01,571.0,571.0,571.0,571.0,4.0
2020-06-02,568.0,568.0,568.0,568.0,1.0
2020-06-03,570.25,570.25,570.25,570.25,0.0
2020-06-04,577.0,579.25,575.5,575.5,15.0
2020-06-05,573.25,576.5,569.75,572.25,93.0
2020-06-08,572.0,577.25,572.0,577.25,16.0
2020-06-09,576.0,576.0,573.75,575.0,9.0
2020-06-10,572.75,572.75,572.75,572.75,0.0
2020-06-11,568.75,573.25,568.0,568.0,20.0
2020-06-12,569.0,569.75,566.25,566.25,5.0
2020-06-15,564.75,567.0,564.5,564.5,3.0
2020-06-16,564.0,567.25,563.0,564.0,23.0
2020-06-17,566.0,566.0,566.0,566.0,0.0
2020-06-18,569.25,575.0,563.0,571.5,85.0
2020-06-19,568.0,570.75,568.0,570.0,14.0
2020-06-22,570.0,570.5,566.75,567.25,23.0
2020-06-23,562.0,565.0,561.75,564.25,89.0
2020-06-24,563.25,567.0,563.25,566.25,35.0
2020-06-25,560.0,562.25,560.0,562.0,12.0
2020-06-26,560.0,560.75,557.25,557.25,333.0
2020-06-29,558.0,558.25,557.0,558.25,58.0
2020-06-30,557.0,568.5,557.0,566.0,52.0
2020-07-01,566.5,567.75,558.25,562.5,74.0
2020-07-02,557.75,559.0,557.0,557.0,29.0
2020-07-06,558.0,560.75,558.0,558.0,2.0
2020-07-07,560.0,560.25,559.25,559.25,15.0
2020-07-08,565.0,568.25,558.75,568.25,61.0
2020-07-09,571.0,572.25,565.75,569.0,77.0
2020-07-10,570.0,572.75,564.5,567.5,39.0
2020-07-13,561.25,561.25,561.25,561.25,0.0
2020-07-14,565.0,565.75,560.5,561.0,13.0
2020-07-15,566.5,569.5,565.5,569.25,81.0
2020-07-16,560.75,561.75,560.5,561.25,43.0
2020-07-17,560.5,561.75,559.25,559.75,238.0
2020-07-20,558.0,558.0,553.5,554.75,194.0
2020-07-21,559.5,560.75,557.5,557.5,20.0
2020-07-22,559.0,563.5,559.0,560.0,62.0
2020-07-23,557.25,557.25,556.25,556.25,7.0
2020-07-24,561.5,565.0,558.75,560.0,48.0
2020-07-27,554.5,555.25,554.5,554.75,97.0
2020-07-28,554.5,558.0,553.25,553.25,43.0
2020-07-29,553.25,558.0,553.25,557.75,14.0
2020-07-30,557.0,558.25,555.5,557.75,62.0
2020-07-31,558.0,560.75,556.0,559.0,71.0
2020-08-03,555.0,555.0,552.5,553.5,169.0
2020-08-04,552.5,552.5,550.0,550.0,935.0
2020-08-05,550.25,551.0,549.5,549.75,81.0
2020-08-06,549.0,550.25,545.5,545.75,457.0
2020-08-07,545.5,547.5,541.25,545.0,1268.0
2020-08-10,541.75,541.75,541.75,541.75,64.0
2020-08-11,544.5,545.5,542.0,542.75,67.0
2020-08-12,541.0,541.75,540.5,540.5,202.0
2020-08-13,541.5,545.25,540.5,542.25,89.0
2020-08-14,545.5,548.25,543.0,543.75,168.0
2020-08-17,549.25,553.75,549.25,550.0,108.0
2020-08-18,550.25,552.25,548.0,551.75,10.0
2020-08-19,551.5,555.75,551.0,552.5,56.0
2020-08-20,552.25,555.5,549.5,555.5,36.0
2020-08-21,556.75,558.75,551.75,557.0,147.0
2020-08-24,557.5,558.0,549.25,549.5,15.0
2020-08-25,550.25,561.75,549.5,558.25,86.0
2020-08-26,554.75,561.0,554.5,560.75,79.0
2020-08-27,562.75,569.0,562.75,567.0,403.0
2020-08-28,568.75,568.75,560.25,565.5,214.0
2020-08-31,566.25,571.75,561.25,566.25,408.0
2020-09-01,566.5,574.0,565.25,571.5,415.0
2020-09-02,573.75,574.0,570.75,573.0,206.0
2020-09-03,572.75,574.25,571.5,573.5,172.0
2020-09-04,572.0,573.75,569.25,569.75,211.0
2020-09-08,565.25,566.0,564.75,565.5,73.0
2020-09-09,565.5,567.0,563.75,563.75,87.0
2020-09-10,570.0,572.0,563.0,563.25,350.0
2020-09-11,565.0,565.0,560.0,560.5,26.0
2020-09-14,561.5,562.75,559.0,560.75,253.0
2020-09-15,560.75,563.25,554.75,556.0,484.0
2020-09-16,557.25,561.25,554.75,561.0,31.0
2020-09-17,559.0,570.25,559.0,569.0,132.0
2020-09-18,570.75,581.75,570.25,577.75,466.0
2020-09-21,577.0,577.0,560.25,563.0,92.0
2020-09-22,569.0,571.0,562.0,566.75,96.0
2020-09-23,565.0,567.75,561.5,562.0,52.0
2020-09-24,558.25,563.5,556.5,562.75,27.0
2020-09-25,562.25,563.5,559.75,559.75,15.0
2020-09-28,555.75,560.75,555.75,559.0,13.0
2020-09-29,558.75,560.0,554.75,555.75,198.0
2020-09-30,556.5,576.25,556.0,568.75,218.0
2020-10-01,566.25,570.25,563.75,565.25,340.0
2020-10-02,561.5,569.75,561.5,563.25,363.0
