DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2007-11-30,341.1,341.1,341.1,341.1,0.0
2007-12-03,339.9,339.9,339.9,339.9,0.0
2007-12-04,342.4,342.4,342.4,342.4,0.0
2007-12-05,344.1,344.1,344.1,344.1,0.0
2007-12-06,345.1,345.1,345.1,345.1,0.0
2007-12-07,346.0,346.0,346.0,346.0,0.0
2007-12-10,340.3,340.3,340.3,340.3,0.0
2007-12-11,342.3,342.3,342.3,342.3,0.0
2007-12-12,334.8,334.8,334.8,334.8,0.0
2007-12-13,322.3,322.3,322.3,322.3,0.0
2007-12-14,320.1,320.1,320.1,320.1,0.0
2007-12-17,309.7,309.7,309.7,309.7,0.0
2007-12-18,310.3,310.3,310.3,310.3,0.0
2007-12-19,318.9,318.9,318.9,318.9,0.0
2007-12-20,313.0,313.0,313.0,313.0,0.0
2007-12-21,316.4,316.4,316.4,316.4,0.0
2007-12-24,323.8,323.8,323.8,323.8,0.0
2007-12-25,324.6,324.6,324.6,324.6,0.0
2007-12-26,324.1,324.1,324.1,324.1,0.0
2007-12-27,330.6,330.6,330.6,330.6,0.0
2007-12-28,333.2,333.2,333.2,333.2,0.0
2007-12-31,336.5,336.5,336.5,336.5,0.0
2008-01-02,328.0,328.0,328.0,328.0,0.0
2008-01-03,321.8,321.8,321.8,321.8,0.0
2008-01-04,322.5,322.5,322.5,322.5,0.0
2008-01-07,308.0,308.0,308.0,308.0,0.0
2008-01-08,310.8,310.8,310.8,310.8,0.0
2008-01-09,316.9,316.9,316.9,316.9,0.0
2008-01-10,314.4,314.4,314.4,314.4,0.0
2008-01-11,315.1,315.7,310.1,313.5,2.0
2008-01-14,315.3,322.0,315.3,318.3,5.0
2008-01-15,329.8,334.6,327.0,328.1,6.0
2008-01-16,321.7,321.9,313.4,317.4,300.0
2008-01-17,319.7,320.0,308.5,315.2,84.0
2008-01-18,307.2,318.0,304.4,317.9,225.0
2008-01-21,313.7,316.2,311.5,314.8,582.0
2008-01-22,297.3,297.3,283.9,284.8,290.0
2008-01-23,300.1,302.2,286.1,286.3,827.0
2008-01-24,297.4,299.4,288.0,294.6,4828.0
2008-01-25,299.3,304.6,299.1,304.4,19337.0
2008-01-28,300.4,301.5,290.6,293.3,91712.0
2008-01-29,299.5,299.5,292.1,296.9,93659.0
2008-01-30,295.2,301.5,293.4,295.6,69276.0
2008-01-31,293.0,297.9,290.2,293.4,37424.0
2008-02-01,296.1,303.9,296.1,302.0,35146.0
2008-02-12,292.8,298.3,291.7,294.1,47782.0
2008-02-13,297.0,298.2,292.6,293.1,24423.0
2008-02-14,302.0,310.4,301.7,308.4,42934.0
2008-02-15,303.1,309.5,303.1,309.0,33604.0
2008-02-18,310.8,313.0,305.5,309.7,27625.0
2008-02-19,310.0,313.0,308.6,312.4,25891.0
2008-02-20,310.0,312.0,303.9,306.4,38821.0
2008-02-21,311.2,315.9,310.3,313.9,39618.0
2008-02-22,310.7,316.8,310.3,316.4,41607.0
2008-02-25,321.5,324.8,321.0,322.9,129371.0
2008-02-26,326.5,327.7,323.3,326.9,117726.0
2008-02-27,329.4,334.7,327.2,330.7,30664.0
