DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2026-08-28,0.05008,0.05008,0.05008,0.05008,0.0
2026-08-31,0.05021,0.05021,0.05021,0.05021,0.0
2026-09-01,0.05021,0.05021,0.05021,0.05021,0.0
2026-09-02,0.05039,0.05039,0.05039,0.05039,0.0
2026-09-03,0.05059,0.05059,0.05059,0.05059,0.0
2026-09-04,0.05069,0.05069,0.05069,0.05069,0.0
2026-09-08,0.05063,0.05063,0.05063,0.05063,0.0
2026-09-09,0.05074,0.05074,0.05074,0.05074,0.0
2026-09-10,0.05053,0.05053,0.05053,0.05053,0.0
2026-09-11,0.05054,0.05054,0.05054,0.05054,0.0
2026-09-14,0.05012,0.05012,0.05012,0.05012,0.0
2026-09-15,0.05008,0.05008,0.05008,0.05008,0.0
2026-09-16,0.04979,0.04979,0.04979,0.04979,0.0
2026-09-17,0.05005,0.05005,0.05005,0.05005,0.0
2026-09-18,0.04993,0.04993,0.04993,0.04993,0.0
