DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1993-12-10,17500.0,17500.0,17500.0,17500.0,0.0
1993-12-13,17740.0,17740.0,17740.0,17740.0,0.0
1993-12-14,17420.0,17420.0,17420.0,17420.0,0.0
1993-12-15,18025.0,18025.0,18025.0,18025.0,0.0
1993-12-16,18200.0,18200.0,18200.0,18200.0,0.0
1993-12-17,18360.0,18360.0,18360.0,18360.0,0.0
1993-12-20,17700.0,17700.0,17700.0,17700.0,0.0
1993-12-21,17520.0,17520.0,17520.0,17520.0,0.0
1993-12-22,17710.0,17710.0,17710.0,17710.0,0.0
1993-12-23,17710.0,17710.0,17710.0,17710.0,0.0
1993-12-27,17030.0,17030.0,17030.0,17030.0,0.0
1993-12-28,17410.0,17410.0,17410.0,17410.0,0.0
1993-12-29,17800.0,17800.0,17570.0,17585.0,1.0
1993-12-30,17575.0,17575.0,17575.0,17575.0,0.0
1993-12-31,17510.0,17585.0,17510.0,17535.0,0.0
1994-01-03,17310.0,17310.0,17310.0,17310.0,0.0
1994-01-04,17475.0,17475.0,17475.0,17475.0,0.0
1994-01-05,18230.0,18230.0,18230.0,18230.0,0.0
1994-01-06,18120.0,18130.0,18115.0,18115.0,1.0
1994-01-07,18530.0,18630.0,18530.0,18630.0,1.0
1994-01-10,18960.0,18960.0,18960.0,18960.0,1.0
1994-01-11,18770.0,18770.0,18770.0,18770.0,0.0
1994-01-12,19125.0,19125.0,19125.0,19125.0,0.0
1994-01-13,18885.0,18885.0,18885.0,18885.0,0.0
1994-01-14,19040.0,19040.0,19040.0,19040.0,0.0
1994-01-17,18850.0,18850.0,18850.0,18850.0,0.0
1994-01-18,18650.0,18880.0,18650.0,18825.0,0.0
1994-01-19,19410.0,19410.0,19410.0,19410.0,0.0
1994-01-20,19375.0,19425.0,19375.0,19375.0,0.0
1994-01-21,18765.0,18765.0,18765.0,18765.0,0.0
1994-01-24,18650.0,18650.0,18650.0,18650.0,0.0
1994-01-25,18990.0,18990.0,18990.0,18990.0,0.0
1994-01-26,19260.0,19260.0,19260.0,19260.0,0.0
1994-01-27,19095.0,19095.0,19095.0,19095.0,0.0
1994-01-28,19700.0,19850.0,19650.0,19700.0,1.0
1994-01-31,20700.0,20700.0,20700.0,20700.0,0.0
1994-02-01,20500.0,20565.0,20500.0,20565.0,1.0
1994-02-02,20850.0,20850.0,20850.0,20850.0,0.0
1994-02-03,20470.0,20470.0,20470.0,20470.0,0.0
1994-02-04,20125.0,20550.0,20125.0,20125.0,0.0
1994-02-07,20580.0,20580.0,20580.0,20580.0,0.0
1994-02-08,20450.0,20600.0,20450.0,20475.0,0.0
1994-02-09,20125.0,20125.0,20125.0,20125.0,0.0
1994-02-10,20310.0,20310.0,20310.0,20310.0,0.0
1994-02-11,20125.0,20125.0,19975.0,19980.0,5.0
1994-02-14,19105.0,19105.0,19105.0,19105.0,0.0
1994-02-15,19415.0,19415.0,19415.0,19415.0,0.0
1994-02-16,19130.0,19130.0,19130.0,19130.0,0.0
1994-02-17,19265.0,19265.0,19265.0,19265.0,0.0
1994-02-18,19200.0,19200.0,19200.0,19200.0,0.0
1994-02-22,19510.0,19510.0,19510.0,19510.0,0.0
1994-02-23,19850.0,19850.0,19700.0,19700.0,5.0
1994-02-24,19720.0,19720.0,19720.0,19720.0,0.0
1994-02-25,20015.0,20015.0,20015.0,20015.0,0.0
1994-02-28,20325.0,20325.0,20325.0,20325.0,0.0
1994-03-01,20225.0,20330.0,20225.0,20235.0,0.0
1994-03-02,19950.0,19950.0,19950.0,19950.0,0.0
1994-03-03,19790.0,19790.0,19790.0,19790.0,0.0
1994-03-04,20280.0,20280.0,20280.0,20280.0,0.0
1994-03-07,20090.0,20090.0,20090.0,20090.0,0.0
1994-03-08,20160.0,20160.0,20160.0,20160.0,0.0
1994-03-09,20100.0,20175.0,20025.0,20175.0,10.0
1994-03-10,20275.0,20275.0,20275.0,20275.0,0.0
1994-03-11,20460.0,20460.0,20460.0,20460.0,0.0
1994-03-14,20900.0,20900.0,20900.0,20900.0,0.0
1994-03-15,20950.0,20950.0,20950.0,20950.0,0.0
1994-03-16,21000.0,21000.0,21000.0,21000.0,0.0
1994-03-17,20850.0,20850.0,20850.0,20850.0,0.0
1994-03-18,20750.0,20750.0,20750.0,20750.0,0.0
1994-03-21,20715.0,20715.0,20715.0,20715.0,0.0
1994-03-22,20400.0,20400.0,20400.0,20400.0,0.0
1994-03-23,20100.0,20100.0,20100.0,20100.0,0.0
1994-03-24,19850.0,20275.0,19850.0,19850.0,0.0
1994-03-25,19900.0,19900.0,19900.0,19900.0,0.0
1994-03-28,20220.0,20220.0,20220.0,20220.0,0.0
1994-03-29,19575.0,19575.0,19575.0,19575.0,0.0
1994-03-30,19650.0,19800.0,19650.0,19690.0,30.0
1994-03-31,19500.0,19500.0,19500.0,19500.0,0.0
1994-04-04,19400.0,19550.0,19400.0,19525.0,0.0
1994-04-05,20000.0,20225.0,20000.0,20225.0,1.0
1994-04-06,20020.0,20020.0,20020.0,20020.0,0.0
1994-04-07,20300.0,20300.0,20300.0,20300.0,0.0
1994-04-08,20315.0,20315.0,20315.0,20315.0,0.0
1994-04-11,20065.0,20065.0,20065.0,20065.0,0.0
1994-04-12,19780.0,19780.0,19780.0,19780.0,0.0
1994-04-13,20345.0,20345.0,20345.0,20345.0,0.0
1994-04-14,20400.0,20400.0,20400.0,20400.0,0.0
1994-04-15,20600.0,20600.0,20600.0,20600.0,0.0
1994-04-18,20525.0,20525.0,20525.0,20525.0,0.0
1994-04-19,20430.0,20430.0,20430.0,20430.0,0.0
1994-04-20,20240.0,20240.0,20240.0,20240.0,0.0
1994-04-21,20125.0,20250.0,20125.0,20240.0,0.0
1994-04-22,20115.0,20115.0,20115.0,20115.0,0.0
1994-04-25,19920.0,19920.0,19920.0,19920.0,0.0
1994-04-26,20100.0,20100.0,19980.0,19980.0,2.0
1994-04-28,19820.0,20100.0,19820.0,19820.0,2.0
1994-04-29,19810.0,19840.0,19810.0,19840.0,0.0
1994-05-02,19780.0,19780.0,19780.0,19780.0,0.0
1994-05-03,19725.0,19725.0,19725.0,19725.0,0.0
1994-05-04,19750.0,19750.0,19750.0,19750.0,0.0
1994-05-05,19900.0,19900.0,19900.0,19900.0,0.0
1994-05-06,20000.0,20000.0,20000.0,20000.0,0.0
1994-05-09,20050.0,20050.0,19900.0,19960.0,1.0
1994-05-10,20585.0,20585.0,20585.0,20585.0,0.0
1994-05-11,20500.0,20520.0,20500.0,20520.0,5.0
1994-05-12,20670.0,20670.0,20670.0,20670.0,0.0
1994-05-13,20640.0,20640.0,20640.0,20640.0,0.0
1994-05-16,20410.0,20410.0,20410.0,20410.0,0.0
1994-05-17,20645.0,20645.0,20645.0,20645.0,0.0
1994-05-18,20425.0,20425.0,20425.0,20425.0,0.0
1994-05-19,20615.0,20615.0,20615.0,20615.0,0.0
1994-05-20,20700.0,20700.0,20700.0,20700.0,0.0
1994-05-23,20850.0,20950.0,20850.0,20875.0,1.0
1994-05-24,20945.0,20945.0,20945.0,20945.0,0.0
1994-05-25,20890.0,20890.0,20890.0,20890.0,0.0
1994-05-26,20825.0,20825.0,20825.0,20825.0,0.0
1994-05-27,21175.0,21175.0,21175.0,21175.0,0.0
1994-05-31,21125.0,21275.0,21125.0,21275.0,6.0
1994-06-01,21300.0,21350.0,21300.0,21300.0,21.0
1994-06-02,21200.0,21200.0,21200.0,21200.0,0.0
1994-06-03,21225.0,21300.0,21225.0,21225.0,1.0
1994-06-06,21050.0,21050.0,21050.0,21050.0,3.0
1994-06-07,21375.0,21375.0,21260.0,21260.0,7.0
