DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2002-12-13,8430.0,8430.0,8430.0,8430.0,0.0
2002-12-16,8340.0,8340.0,8340.0,8340.0,0.0
2002-12-17,8470.0,8470.0,8470.0,8470.0,0.0
2002-12-18,8265.0,8265.0,8265.0,8265.0,0.0
2002-12-19,8315.0,8315.0,8315.0,8315.0,0.0
2002-12-20,8315.0,8315.0,8315.0,8315.0,0.0
2002-12-24,8470.0,8470.0,8470.0,8470.0,0.0
2002-12-25,8440.0,8440.0,8440.0,8440.0,0.0
2002-12-26,8605.0,8605.0,8605.0,8605.0,0.0
2002-12-27,8590.0,8590.0,8590.0,8590.0,0.0
2002-12-30,8390.0,8390.0,8390.0,8390.0,0.0
2003-01-06,8635.0,8635.0,8635.0,8635.0,0.0
2003-01-07,8535.0,8535.0,8535.0,8535.0,0.0
2003-01-08,8425.0,8425.0,8425.0,8425.0,0.0
2003-01-09,8425.0,8425.0,8425.0,8425.0,0.0
2003-01-10,8380.0,8380.0,8380.0,8380.0,0.0
2003-01-14,8450.0,8450.0,8450.0,8450.0,0.0
2003-01-15,8490.0,8490.0,8490.0,8490.0,0.0
2003-01-16,8495.0,8495.0,8495.0,8495.0,0.0
2003-01-17,8575.0,8575.0,8575.0,8575.0,0.0
2003-01-20,8425.0,8425.0,8425.0,8425.0,0.0
2003-01-21,8635.0,8635.0,8635.0,8635.0,0.0
2003-01-22,8520.0,8520.0,8520.0,8520.0,0.0
2003-01-23,8710.0,8710.0,8710.0,8710.0,0.0
2003-01-24,8660.0,8660.0,8660.0,8660.0,0.0
2003-01-27,8535.0,8535.0,8535.0,8535.0,0.0
2003-01-28,8440.0,8440.0,8440.0,8440.0,0.0
2003-01-29,8235.0,8235.0,8235.0,8235.0,0.0
2003-01-30,8220.0,8220.0,8220.0,8220.0,0.0
2003-01-31,8235.0,8235.0,8235.0,8235.0,0.0
2003-02-03,8410.0,8410.0,8410.0,8410.0,0.0
2003-02-04,8375.0,8375.0,8375.0,8375.0,0.0
2003-02-05,8460.0,8460.0,8460.0,8460.0,0.0
2003-02-06,8430.0,8430.0,8430.0,8430.0,0.0
2003-02-07,8420.0,8420.0,8420.0,8420.0,0.0
2003-02-10,8400.0,8400.0,8400.0,8400.0,0.0
2003-02-12,8565.0,8565.0,8565.0,8565.0,0.0
2003-02-13,8520.0,8520.0,8520.0,8520.0,0.0
2003-02-14,8605.0,8605.0,8605.0,8605.0,0.0
2003-02-17,8675.0,8675.0,8675.0,8675.0,0.0
2003-02-18,8635.0,8635.0,8635.0,8635.0,0.0
2003-02-19,8555.0,8555.0,8555.0,8555.0,0.0
2003-02-20,8565.0,8565.0,8565.0,8565.0,0.0
