DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2014-03-17,0.8125,0.8125,0.8125,0.8125,0.0
2014-03-18,0.8182,0.8182,0.8182,0.8182,0.0
2014-03-19,0.8109,0.8109,0.8109,0.8109,0.0
2014-03-20,0.81,0.81,0.81,0.81,0.0
2014-03-21,0.8108,0.8108,0.8108,0.8108,0.0
2014-03-24,0.8112,0.8112,0.8112,0.8112,0.0
2014-03-25,0.8144,0.8144,0.8144,0.8144,0.0
2014-03-26,0.8164,0.8164,0.8164,0.8164,0.0
2014-03-27,0.8241,0.8241,0.8241,0.8241,0.0
2014-03-28,0.8224,0.8224,0.8224,0.8224,0.0
2014-03-31,0.8236,0.8236,0.8236,0.8236,0.0
2014-04-01,0.8214,0.8214,0.8214,0.8214,0.0
2014-04-02,0.8132,0.8132,0.8132,0.8132,0.0
2014-04-03,0.8112,0.8112,0.8112,0.8112,0.0
2014-04-04,0.8159,0.8159,0.8159,0.8159,0.0
2014-04-07,0.8175,0.8175,0.8175,0.8175,0.0
2014-04-08,0.8231,0.8231,0.8231,0.8231,0.0
2014-04-09,0.8283,0.8283,0.8283,0.8283,0.0
2014-04-10,0.8258,0.8258,0.8258,0.8258,0.0
2014-04-11,0.8249,0.8249,0.8249,0.8249,0.0
2014-04-14,0.8243,0.8243,0.8243,0.8243,0.0
2014-04-15,0.8218,0.8218,0.8218,0.8218,0.0
2014-04-16,0.821,0.821,0.821,0.821,0.0
2014-04-17,0.8163,0.8163,0.8163,0.8163,0.0
2014-04-21,0.8141,0.8141,0.8141,0.8141,0.0
2014-04-22,0.8181,0.8181,0.8181,0.8181,0.0
2014-04-23,0.8173,0.8173,0.8173,0.8173,0.0
2014-04-24,0.8163,0.8163,0.8163,0.8163,0.0
2014-04-25,0.8168,0.8168,0.8168,0.8168,0.0
2014-04-28,0.8131,0.8131,0.8131,0.8131,0.0
2014-04-29,0.8153,0.8153,0.8153,0.8153,0.0
2014-04-30,0.8217,0.8217,0.8217,0.8217,0.0
2014-05-01,0.8226,0.8226,0.8226,0.8226,0.0
2014-05-02,0.8264,0.8264,0.8264,0.8264,0.0
2014-05-05,0.8279,0.8279,0.8279,0.8279,0.0
2014-05-06,0.8349,0.8349,0.8349,0.8349,0.0
2014-05-07,0.8276,0.8276,0.8276,0.8276,0.0
2014-05-08,0.8251,0.8251,0.8251,0.8251,0.0
2014-05-09,0.8216,0.8216,0.8216,0.8216,0.0
2014-05-12,0.8225,0.8225,0.8225,0.8225,0.0
2014-05-13,0.8237,0.8237,0.8237,0.8237,0.0
2014-05-14,0.8271,0.8271,0.8271,0.8271,0.0
2014-05-15,0.8248,0.8248,0.8248,0.8248,0.0
