DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2007-05-22,267.5,267.5,267.5,267.5,1.0
2007-05-23,267.5,267.5,267.5,267.5,0.0
2007-05-24,273.5,273.5,273.5,273.5,0.0
2007-05-25,273.5,273.5,273.5,273.5,0.0
2007-05-29,273.5,273.5,273.5,273.5,0.0
2007-05-30,274.5,274.5,274.5,274.5,0.0
2007-05-31,285.0,285.0,285.0,285.0,5.0
2007-06-01,285.0,285.0,285.0,285.0,0.0
2007-06-04,287.0,287.0,287.0,287.0,0.0
2007-06-05,288.0,288.0,288.0,288.0,0.0
2007-06-06,289.0,289.0,289.0,289.0,0.0
2007-06-07,289.0,289.0,289.0,289.0,0.0
2007-06-08,287.0,287.0,287.0,287.0,0.0
2007-06-11,291.0,291.0,291.0,291.0,0.0
2007-06-12,291.0,291.0,291.0,291.0,0.0
2007-06-13,294.0,294.0,294.0,294.0,0.0
2007-06-14,294.0,294.0,294.0,294.0,0.0
2007-06-15,294.0,294.0,294.0,294.0,0.0
2007-06-18,297.5,297.5,297.5,297.5,1.0
2007-06-19,284.5,284.5,284.5,284.5,0.0
2007-06-20,290.0,290.0,290.0,290.0,0.0
2007-06-21,286.5,286.5,286.5,286.5,0.0
2007-06-22,284.5,284.5,284.5,284.5,0.0
2007-06-25,280.0,280.0,280.0,280.0,0.0
2007-06-26,282.0,282.0,282.0,282.0,0.0
2007-06-27,277.0,277.0,277.0,277.0,0.0
2007-06-28,277.0,277.0,277.0,277.0,0.0
2007-06-29,275.0,275.0,275.0,275.0,0.0
2007-07-02,275.0,275.0,275.0,275.0,0.0
2007-07-03,275.0,275.0,275.0,275.0,0.0
2007-07-05,276.0,276.0,276.0,276.0,0.0
2007-07-06,276.0,276.0,276.0,276.0,0.0
2007-07-09,274.0,274.0,274.0,274.0,0.0
2007-07-10,279.0,279.0,279.0,279.0,0.0
2007-07-11,279.0,279.0,279.0,279.0,0.0
2007-07-12,279.0,279.0,279.0,279.0,0.0
2007-07-13,279.0,279.0,279.0,279.0,0.0
2007-07-16,273.0,273.0,273.0,273.0,0.0
2007-07-17,273.0,273.0,273.0,273.0,0.0
2007-07-18,273.0,273.0,273.0,273.0,0.0
2007-07-19,263.0,263.0,263.0,263.0,2.0
2007-07-20,263.0,263.0,263.0,263.0,2.0
2007-07-23,263.0,263.0,260.0,260.0,23.0
2007-07-24,269.0,269.5,269.0,269.5,1.0
2007-07-25,268.5,268.5,268.5,268.5,0.0
2007-07-26,280.25,280.25,273.0,273.0,1.0
2007-07-27,273.0,273.0,273.0,273.0,0.0
2007-07-30,273.5,273.5,273.5,273.5,0.0
2007-07-31,277.0,277.0,277.0,277.0,0.0
2007-08-01,280.25,280.25,277.0,277.0,10.0
2007-08-02,280.0,280.0,277.0,277.0,2.0
2007-08-03,278.0,278.0,278.0,278.0,0.0
2007-08-06,284.75,284.75,278.0,278.0,1.0
2007-08-07,280.0,280.0,280.0,280.0,0.0
2007-08-08,284.5,284.5,284.5,284.5,0.0
2007-08-09,276.0,276.0,276.0,276.0,0.0
2007-08-10,274.5,278.5,274.5,277.0,2.0
2007-08-13,276.0,276.0,276.0,276.0,0.0
2007-08-14,277.5,277.5,277.5,277.5,1.0
2007-08-15,277.25,277.25,277.25,277.25,3.0
2007-08-16,274.5,277.0,270.0,270.0,209.0
2007-08-17,269.5,269.5,269.5,269.5,15.0
2007-08-20,269.5,269.5,269.5,269.5,0.0
2007-08-21,269.5,269.5,269.5,269.5,0.0
2007-08-22,274.25,274.25,273.0,273.0,1.0
2007-08-23,287.5,287.5,273.0,273.0,11.0
2007-08-24,273.0,273.0,273.0,273.0,0.0
2007-08-27,273.0,273.0,273.0,273.0,0.0
2007-08-28,269.75,269.75,269.75,269.75,0.0
2007-08-29,269.5,269.5,269.5,269.5,25.0
2007-08-30,269.5,269.5,269.5,269.5,0.0
2007-08-31,273.0,273.0,270.25,270.25,8.0
2007-09-04,274.0,274.0,274.0,274.0,0.0
2007-09-05,280.0,280.0,274.0,274.0,1.0
2007-09-06,273.0,273.0,273.0,273.0,0.0
2007-09-07,275.0,275.0,275.0,275.0,0.0
2007-09-10,278.0,278.0,278.0,278.0,0.0
2007-09-11,280.0,280.0,280.0,280.0,0.0
2007-09-12,294.5,294.75,290.0,290.0,6.0
2007-09-13,290.0,290.0,289.0,290.0,71.0
2007-09-14,295.0,295.0,295.0,295.0,3.0
2007-09-17,294.5,296.0,294.5,296.0,4.0
2007-09-18,294.25,297.5,293.75,296.0,6.0
2007-09-19,292.0,292.0,292.0,292.0,0.0
2007-09-20,295.0,299.0,292.0,292.0,2.0
2007-09-21,294.5,294.5,292.0,292.0,3.0
2007-09-24,292.5,292.5,292.5,292.5,0.0
2007-09-25,294.0,295.0,293.75,294.0,23.0
2007-09-26,295.0,295.0,295.0,295.0,4.0
