DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2025-09-09,120.16,120.16,120.16,120.16,0.0
2025-09-10,120.32,120.32,120.32,120.32,0.0
2025-09-11,120.69,120.69,120.69,120.69,0.0
2025-09-12,120.05,120.05,120.05,120.05,0.0
2025-09-15,120.09,120.09,120.09,120.09,0.0
2025-09-16,120.09,120.09,120.09,120.09,0.0
2025-09-17,120.11,120.11,120.11,120.11,0.0
2025-09-18,119.78,119.78,119.78,119.78,0.0
2025-09-19,119.59,119.59,119.59,119.59,0.0
2025-09-22,119.43,119.43,119.43,119.43,0.0
2025-09-23,119.34,119.34,119.34,119.34,0.0
2025-09-24,119.42,119.42,119.42,119.42,0.0
2025-09-25,119.17,119.17,119.17,119.17,0.0
2025-09-26,119.53,119.53,119.53,119.53,0.0
2025-09-29,119.63,119.63,119.63,119.63,0.0
2025-09-30,119.85,119.85,119.85,119.85,0.0
2025-10-01,119.87,119.87,119.87,119.87,0.0
2025-10-02,119.83,119.83,119.83,119.83,0.0
2025-10-03,119.92,119.92,119.92,119.92,0.0
2025-10-06,119.52,119.52,119.52,119.52,0.0
2025-10-07,119.75,119.75,119.75,119.75,0.0
2025-10-08,120.02,120.02,120.02,120.02,0.0
2025-10-09,119.9,119.9,119.9,119.9,0.0
2025-10-10,120.37,120.37,120.37,120.37,0.0
2025-10-13,120.43,120.43,120.43,120.43,0.0
2025-10-14,121.04,121.04,121.04,121.04,0.0
2025-10-15,121.73,121.73,121.73,121.73,0.0
2025-10-16,121.76,121.76,121.76,121.76,0.0
2025-10-17,121.45,121.45,121.45,121.45,0.0
2025-10-20,121.44,121.44,121.44,121.44,0.0
2025-10-21,121.74,121.74,121.74,121.74,0.0
2025-10-22,121.55,121.55,121.55,121.55,0.0
2025-10-23,121.45,121.45,121.45,121.45,0.0
2025-10-24,120.85,120.85,120.85,120.85,0.0
2025-10-27,121.04,121.04,121.04,121.04,0.0
2025-10-28,120.55,120.55,120.55,120.55,0.0
2025-10-29,121.13,121.13,121.13,121.13,0.0
2025-10-30,121.05,121.05,121.05,121.05,0.0
2025-10-31,121.02,121.02,121.02,121.02,0.0
2025-11-03,120.93,120.93,120.93,120.93,0.0
2025-11-04,121.01,121.01,121.01,121.01,0.0
2025-11-05,120.75,120.75,120.75,120.75,0.0
2025-11-06,120.86,120.86,120.86,120.86,0.0
2025-11-07,120.75,120.75,120.75,120.75,0.0
2025-11-10,120.98,120.98,120.98,120.98,0.0
2025-11-11,121.17,121.17,121.17,121.17,0.0
2025-11-12,121.51,121.51,121.51,121.51,0.0
2025-11-13,121.2,121.2,121.2,121.2,0.0
2025-11-14,120.85,120.85,120.85,120.85,0.0
2025-11-17,120.82,120.82,120.82,120.82,0.0
2025-11-18,120.77,120.77,120.77,120.77,0.0
2025-11-19,120.77,120.77,120.77,120.77,0.0
2025-11-20,120.63,120.63,120.63,120.63,0.0
2025-11-21,120.74,120.74,120.74,120.74,0.0
2025-11-24,120.79,120.79,120.79,120.79,0.0
2025-11-25,121.25,121.25,121.25,121.25,0.0
2025-11-26,121.29,121.29,121.29,121.29,0.0
2025-11-27,121.23,121.23,121.23,121.23,0.0
2025-11-28,121.2,121.2,121.2,121.2,0.0
2025-12-01,120.53,120.53,120.53,120.53,0.0
2025-12-02,120.33,120.33,120.33,120.33,0.0
2025-12-03,120.38,120.38,120.38,120.38,0.0
2025-12-04,120.22,120.22,120.22,120.22,0.0
2025-12-05,120.07,120.07,120.07,120.07,0.0
2025-12-08,119.43,119.43,119.43,119.43,0.0
2025-12-09,119.74,119.74,119.74,119.74,0.0
2025-12-10,119.66,119.66,119.66,119.66,0.0
2025-12-11,119.81,119.81,119.81,119.81,0.0
2025-12-12,119.51,119.51,119.51,119.51,0.0
2025-12-15,119.94,119.94,119.94,119.94,0.0
2025-12-16,119.29,119.8,119.29,119.8,1.0
2025-12-17,119.86,119.86,119.86,119.86,0.0
2025-12-18,119.85,119.85,119.85,119.85,0.0
