DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2024-12-02,422.4,422.4,422.4,422.4,0.0
2024-12-03,423.5,423.5,423.5,423.5,0.0
2024-12-04,423.5,423.5,423.5,423.5,0.0
2024-12-05,419.4,419.4,419.4,419.4,0.0
2024-12-06,423.5,423.5,423.5,423.5,0.0
2024-12-09,419.5,419.5,419.5,419.5,0.0
2024-12-10,421.15,421.15,421.15,421.15,0.0
2024-12-11,422.7,422.7,422.7,422.7,0.0
2024-12-12,425.1,425.1,425.1,425.1,0.0
2024-12-13,436.55,436.55,436.55,436.55,0.0
2024-12-16,448.7,448.7,448.7,448.7,0.0
2024-12-17,451.9,451.9,451.9,451.9,0.0
2024-12-18,454.15,454.15,454.15,454.15,0.0
2024-12-19,453.0,453.0,453.0,453.0,0.0
2024-12-20,440.5,440.5,440.5,440.5,0.0
2024-12-23,430.4,430.4,430.4,430.4,0.0
2024-12-24,436.65,436.65,436.65,436.65,0.0
2024-12-26,425.8,425.8,425.8,425.8,0.0
2024-12-27,433.1,433.1,433.1,433.1,0.0
2024-12-30,418.75,418.75,418.75,418.75,0.0
2024-12-31,418.15,418.15,418.15,418.15,0.0
2025-01-02,421.85,421.85,421.85,421.85,0.0
2025-01-03,421.6,421.6,421.6,421.6,0.0
2025-01-06,431.2,431.2,431.2,431.2,0.0
2025-01-07,426.35,426.35,426.35,426.35,0.0
2025-01-08,434.9,434.9,434.9,434.9,0.0
2025-01-09,427.5,427.5,427.5,427.5,0.0
2025-01-10,416.95,416.95,416.95,416.95,0.0
2025-01-13,415.75,415.75,415.75,415.75,0.0
2025-01-14,417.35,417.35,417.35,417.35,0.0
2025-01-15,416.95,416.95,416.95,416.95,0.0
2025-01-16,409.15,409.15,409.15,409.15,0.0
2025-01-17,416.7,416.7,416.7,416.7,0.0
2025-01-21,412.4,412.4,412.4,412.4,0.0
2025-01-22,413.35,413.35,413.35,413.35,0.0
2025-01-23,418.8,418.8,418.8,418.8,0.0
2025-01-24,403.9,403.9,403.9,403.9,0.0
2025-01-27,407.1,407.1,407.1,407.1,0.0
2025-01-28,406.05,406.05,406.05,406.05,0.0
2025-01-29,408.5,408.5,408.5,408.5,0.0
2025-01-30,414.1,414.1,414.1,414.1,0.0
2025-01-31,409.45,409.45,409.45,409.45,0.0
2025-02-03,399.2,399.2,399.2,399.2,0.0
2025-02-04,394.0,394.0,394.0,394.0,0.0
2025-02-05,391.6,391.6,391.6,391.6,0.0
2025-02-06,387.9,387.9,387.9,387.9,0.0
2025-02-07,387.55,387.55,387.55,387.55,0.0
2025-02-10,373.65,373.65,373.65,373.65,0.0
2025-02-11,363.1,363.1,363.1,363.1,0.0
2025-02-12,353.3,353.3,353.3,353.3,0.0
2025-02-13,335.65,335.65,335.65,335.65,0.0
2025-02-14,330.75,330.75,330.75,330.75,0.0
2025-02-18,327.4,327.4,327.4,327.4,0.0
2025-02-19,313.75,313.75,313.75,313.75,0.0
2025-02-20,300.95,300.95,300.95,300.95,0.0
2025-02-21,296.75,296.75,296.75,296.75,0.0
2025-02-24,301.45,301.45,301.45,301.45,0.0
2025-02-25,285.5,285.5,285.5,285.5,0.0
2025-02-26,287.35,287.35,287.35,287.35,0.0
2025-02-27,283.05,283.05,283.05,283.05,0.0
2025-02-28,291.5,291.5,291.5,291.5,0.0
2025-03-03,297.1,297.1,297.1,297.1,0.0
2025-03-04,289.75,289.75,289.75,289.75,0.0
2025-03-05,296.85,296.85,296.85,296.85,0.0
2025-03-06,280.75,280.75,280.75,280.75,0.0
2025-03-07,287.1,287.1,287.1,287.1,0.0
2025-03-10,274.1,274.1,274.1,274.1,0.0
2025-03-11,271.0,271.0,271.0,271.0,0.0
2025-03-12,265.3,265.3,265.3,265.3,0.0
