DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2003-05-07,172.0,172.0,169.1,169.1,1.0
2003-05-08,168.5,168.5,168.5,168.5,0.0
2003-05-09,161.8,161.8,161.8,161.8,0.0
2003-05-12,164.8,164.8,164.8,164.8,0.0
2003-05-13,164.8,164.8,164.8,164.8,0.0
2003-05-14,164.8,164.8,164.8,164.8,0.0
2003-05-15,165.2,165.2,165.2,165.2,0.0
2003-05-16,165.9,165.9,165.9,165.9,0.0
2003-05-19,171.75,171.75,171.75,171.75,0.0
2003-05-20,177.95,177.95,177.95,177.95,0.0
2003-05-21,184.6,184.6,184.6,184.6,0.0
2003-05-22,178.6,178.6,178.6,178.6,0.0
2003-05-23,188.3,188.3,188.3,188.3,0.0
2003-05-27,202.55,202.55,202.55,202.55,0.0
2003-05-28,193.0,193.0,190.45,190.45,1.0
2003-05-29,187.45,187.45,187.45,187.45,0.0
2003-05-30,190.3,190.3,190.3,190.3,0.0
2003-06-02,192.0,192.0,189.5,189.5,1.0
2003-06-03,194.5,194.5,194.5,194.5,3.0
2003-06-04,192.1,192.1,192.1,192.1,0.0
2003-06-05,189.0,189.0,189.0,189.0,0.0
2003-06-06,180.0,180.0,180.0,180.0,3.0
2003-06-09,175.15,175.15,175.15,175.15,0.0
2003-06-10,180.5,180.5,180.5,180.5,0.0
2003-06-11,177.5,177.5,177.5,177.5,0.0
2003-06-12,184.4,184.4,184.4,184.4,0.0
2003-06-13,188.5,188.5,188.5,188.5,0.0
2003-06-16,187.5,187.5,187.5,187.5,0.0
2003-06-17,179.0,179.0,179.0,179.0,0.0
2003-06-18,181.25,181.25,181.25,181.25,0.0
2003-06-19,180.5,180.5,180.5,180.5,0.0
2003-06-20,182.5,182.5,182.5,182.5,0.0
2003-06-23,182.55,182.55,182.55,182.55,0.0
2003-06-24,180.7,180.7,180.7,180.7,0.0
2003-06-25,184.65,184.65,184.65,184.65,0.0
2003-06-26,180.95,180.95,180.95,180.95,0.0
2003-06-27,178.75,178.75,178.75,178.75,0.0
2003-06-30,183.6,183.6,183.6,183.6,0.0
2003-07-01,191.0,191.0,191.0,191.0,0.0
2003-07-02,189.45,189.45,189.45,189.45,0.0
2003-07-03,190.25,190.25,190.25,190.25,0.0
2003-07-07,185.25,185.25,185.25,185.25,0.0
2003-07-08,181.5,181.5,181.5,181.5,0.0
