DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2008-05-23,2180.0,2180.0,2180.0,2180.0,1.0
2008-05-27,2128.5,2128.5,2128.5,2128.5,0.0
2008-05-28,2150.0,2150.0,2067.9,2067.9,1.0
2008-05-29,2004.2,2004.2,1980.0,1990.7,29.0
2008-05-30,2016.2,2016.2,2016.2,2016.2,0.0
2008-06-02,2022.2,2022.2,2020.1,2020.1,5.0
2008-06-03,2002.7,2002.7,2002.7,2002.7,54.0
2008-06-04,2003.0,2003.0,1999.4,1999.4,6.0
2008-06-05,2017.0,2017.0,2017.0,2017.0,0.0
2008-06-06,2085.8,2085.8,2085.8,2085.8,2.0
2008-06-09,2085.8,2085.8,2058.0,2065.9,25.0
2008-06-10,2044.0,2044.0,2003.0,2009.4,13.0
2008-06-11,2043.9,2043.9,2043.9,2043.9,0.0
2008-06-12,2032.4,2032.4,2032.4,2032.4,0.0
2008-06-13,2049.0,2049.0,2049.0,2049.0,16.0
2008-06-16,2040.0,2063.2,2040.0,2063.2,1.0
2008-06-17,2070.4,2077.4,2070.0,2077.4,3.0
2008-06-18,2112.5,2112.5,2103.5,2103.5,30.0
2008-06-19,2077.0,2077.0,2065.9,2065.9,6.0
2008-06-20,2079.0,2079.0,2071.0,2071.9,10.0
2008-06-23,2057.0,2057.0,2048.7,2048.7,2.0
2008-06-24,2040.0,2056.0,2034.7,2034.7,9.0
2008-06-25,2025.0,2025.0,2022.5,2022.5,5.0
2008-06-26,2073.0,2075.0,2073.0,2073.0,10.0
2008-06-27,2065.6,2065.6,2065.6,2065.6,0.0
2008-06-30,2076.0,2076.0,2057.2,2075.2,3.0
2008-07-01,2086.0,2091.9,2084.0,2091.9,4.0
2008-07-02,2091.5,2091.5,2080.2,2080.2,2.0
2008-07-03,2044.8,2048.0,2034.4,2034.4,24.0
2008-07-07,2001.0,2001.0,1980.0,1987.8,18.0
2008-07-08,1992.0,1993.0,1949.0,1956.1,14.0
2008-07-09,1970.0,1976.2,1970.0,1976.2,2.0
2008-07-10,2002.6,2002.6,2002.6,2002.6,7.0
2008-07-11,2051.4,2051.4,2051.4,2051.4,0.0
2008-07-14,2040.2,2040.2,2040.2,2040.2,0.0
2008-07-15,2025.0,2025.0,1986.2,1986.2,20.0
2008-07-16,1948.0,1959.6,1940.0,1942.7,24.0
2008-07-17,1918.5,1918.5,1898.0,1905.5,23.0
2008-07-18,1878.0,1878.0,1860.0,1860.4,12.0
2008-07-21,1865.0,1865.0,1856.1,1856.1,2.0
2008-07-22,1871.0,1873.0,1812.6,1813.3,16.0
2008-07-23,1788.0,1788.0,1749.0,1765.9,39.0
2008-07-24,1723.0,1741.4,1716.8,1716.8,28.0
2008-07-25,1761.7,1761.7,1761.7,1761.7,0.0
2008-07-28,1766.0,1784.7,1760.0,1779.7,7.0
2008-07-29,1775.2,1775.2,1745.4,1745.4,11.0
2008-07-30,1726.5,1738.1,1726.5,1738.1,9.0
2008-07-31,1761.1,1766.9,1761.0,1766.9,33.0
2008-08-01,1694.0,1694.0,1650.0,1661.7,50.0
2008-08-04,1588.5,1611.5,1568.5,1569.4,43.0
2008-08-05,1563.0,1590.9,1538.0,1590.9,30.0
2008-08-06,1634.0,1634.0,1610.0,1616.4,11.0
2008-08-07,1610.0,1615.0,1590.0,1590.6,96.0
2008-08-08,1574.2,1574.2,1550.0,1567.6,44.0
2008-08-11,1587.9,1587.9,1534.0,1543.5,13.0
2008-08-12,1528.2,1528.2,1485.3,1486.8,42.0
2008-08-13,1520.0,1531.0,1506.0,1525.8,174.0
2008-08-14,1527.8,1533.8,1497.9,1497.9,21.0
2008-08-15,1482.0,1485.0,1375.0,1397.6,181.0
2008-08-18,1436.2,1436.2,1402.9,1402.9,70.0
2008-08-19,1337.5,1377.0,1337.5,1358.6,42.0
2008-08-20,1382.8,1382.8,1375.0,1377.7,24.0
2008-08-21,1405.0,1473.5,1405.0,1466.8,59.0
2008-08-22,1485.0,1485.0,1429.0,1449.2,35.0
2008-08-25,1425.0,1443.3,1425.0,1443.2,13.0
2008-08-26,1430.0,1444.0,1429.3,1429.3,48.0
2008-08-27,1455.1,1455.1,1448.3,1448.9,43.0
2008-08-28,1502.5,1506.0,1475.3,1494.2,629.0
2008-08-29,1480.0,1506.1,1480.0,1499.8,836.0
2008-09-02,1455.0,1455.0,1391.8,1412.5,750.0
2008-09-03,1400.1,1407.3,1395.0,1399.2,289.0
2008-09-04,1336.0,1424.0,1336.0,1408.6,174.0
2008-09-05,1375.0,1401.7,1367.1,1374.2,65.0
2008-09-08,1389.4,1402.0,1350.0,1358.0,51.0
2008-09-09,1338.0,1338.0,1250.5,1268.1,391.0
2008-09-10,1237.2,1241.8,1188.6,1199.4,667.0
2008-09-11,1188.0,1188.0,1140.0,1158.7,317.0
2008-09-12,1189.6,1222.2,1188.7,1218.0,417.0
