DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1980-04-07,467.0,470.0,464.0,464.0,23.0
1980-04-08,465.0,467.75,464.0,465.5,25.0
1980-04-09,470.0,475.0,470.0,475.0,12.0
1980-04-10,475.0,475.0,468.0,475.0,0.0
1980-04-11,460.0,465.0,460.0,461.5,2.0
1980-04-14,454.0,454.5,448.0,448.0,37.0
1980-04-15,444.0,450.5,444.0,446.0,15.0
1980-04-16,455.0,457.0,454.0,457.0,7.0
1980-04-17,450.0,452.0,448.0,448.75,8.0
1980-04-18,443.5,445.5,443.0,443.0,21.0
1980-04-21,442.0,454.0,442.0,452.0,6.0
1980-04-22,452.0,459.0,451.5,458.0,4.0
1980-04-23,452.0,458.5,449.0,449.0,44.0
1980-04-24,452.0,452.0,452.0,452.0,0.0
1980-04-25,459.0,464.75,450.0,458.0,23.0
1980-04-28,449.0,449.0,449.0,449.0,0.0
1980-04-29,445.0,445.0,445.0,445.0,5.0
1980-04-30,449.0,449.0,449.0,449.0,4.0
1980-05-01,453.5,453.5,452.0,452.0,2.0
1980-05-02,454.0,454.0,454.0,454.0,0.0
1980-05-05,465.0,474.0,463.5,471.0,40.0
1980-05-06,470.0,476.0,467.0,468.0,8.0
1980-05-07,465.0,480.0,464.5,478.0,13.0
1980-05-08,477.0,483.0,475.5,478.0,19.0
1980-05-09,471.0,476.0,470.0,476.0,4.0
1980-05-12,460.0,467.0,460.0,460.0,4.0
1980-05-13,460.0,460.0,460.0,460.0,0.0
1980-05-14,467.0,468.5,463.0,464.0,7.0
1980-05-15,462.5,469.5,462.5,467.75,45.0
1980-05-16,467.75,467.75,467.75,467.75,0.0
1980-05-19,470.0,470.0,470.0,470.0,7.0
1980-05-20,467.0,467.0,467.0,467.0,0.0
1980-05-21,467.0,467.0,462.0,462.0,10.0
1980-05-22,462.0,468.0,462.0,467.5,11.0
1980-05-23,467.5,467.5,467.5,467.5,0.0
1980-05-27,465.0,465.5,462.5,465.5,2.0
1980-05-28,465.0,466.0,459.0,459.0,27.0
1980-05-29,456.0,456.5,452.5,452.5,42.0
1980-05-30,449.5,450.5,448.5,450.5,9.0
1980-06-02,449.0,449.5,447.0,447.5,5.0
1980-06-03,446.0,452.0,445.0,452.0,4.0
1980-06-04,447.5,450.5,447.25,448.0,53.0
1980-06-05,447.0,448.0,443.5,445.0,15.0
1980-06-06,440.0,444.0,440.0,442.0,2.0
1980-06-09,446.0,446.0,446.0,446.0,0.0
1980-06-10,445.0,445.5,445.0,445.5,5.0
1980-06-11,446.0,447.5,446.0,447.5,21.0
1980-06-12,448.5,448.5,448.5,448.5,0.0
1980-06-13,448.0,449.0,446.5,448.0,18.0
1980-06-16,446.0,451.0,445.75,450.0,36.0
1980-06-17,451.0,451.0,449.25,450.0,14.0
1980-06-18,451.5,451.5,451.5,451.5,12.0
1980-06-19,454.0,454.5,452.0,452.0,2.0
1980-06-20,452.0,454.0,452.0,454.0,20.0
1980-06-23,463.0,468.0,463.0,466.0,36.0
1980-06-24,468.0,468.0,461.5,462.0,64.0
1980-06-25,462.0,469.0,461.0,469.0,133.0
1980-06-26,465.0,465.0,465.0,465.0,0.0
1980-06-27,460.5,461.0,458.5,460.5,118.0
1980-06-30,456.5,456.5,455.0,456.5,32.0
1980-07-01,456.5,465.0,456.5,460.0,321.0
1980-07-02,465.0,472.0,464.0,468.0,385.0
1980-07-03,465.0,468.0,464.5,468.0,209.0
1980-07-07,472.0,477.0,463.5,463.5,856.0
1980-07-08,465.0,465.0,460.0,460.0,334.0
1980-07-09,456.0,459.5,449.0,450.5,356.0
1980-07-10,455.0,458.0,454.0,454.5,71.0
1980-07-11,456.5,458.0,453.5,455.5,120.0
1980-07-14,470.0,476.5,467.5,474.0,691.0
1980-07-15,460.0,472.0,460.0,461.0,496.0
1980-07-16,462.0,465.0,460.0,462.5,161.0
1980-07-17,465.0,467.25,461.0,461.0,177.0
1980-07-18,460.0,461.75,457.0,458.0,255.0
1980-07-21,452.0,455.0,448.5,453.75,191.0
1980-07-22,453.0,457.0,453.0,456.0,247.0
1980-07-23,461.0,468.0,461.0,466.0,435.0
1980-07-24,473.0,473.0,460.0,461.0,353.0
1980-07-25,461.0,464.0,459.0,461.0,125.0
1980-07-28,460.0,469.0,460.0,467.75,408.0
1980-07-29,470.0,470.0,465.25,469.0,169.0
1980-07-30,469.5,473.5,467.0,467.0,557.0
1980-07-31,470.0,482.0,470.0,479.0,952.0
1980-08-01,479.0,479.5,475.0,476.75,746.0
1980-08-04,466.0,469.5,464.0,469.25,218.0
1980-08-05,471.0,477.0,461.75,477.0,203.0
1980-08-06,478.0,479.0,475.5,476.5,336.0
1980-08-07,477.0,477.75,473.5,473.5,422.0
1980-08-08,475.0,475.0,471.0,471.0,456.0
1980-08-11,468.0,470.25,468.0,469.25,250.0
1980-08-12,471.0,483.5,471.0,478.0,650.0
1980-08-13,476.0,478.0,474.0,475.5,853.0
1980-08-14,474.5,477.0,473.0,473.5,530.0
1980-08-15,471.0,472.5,470.0,472.0,446.0
1980-08-18,472.5,473.5,469.0,473.5,275.0
1980-08-19,473.0,476.5,472.0,475.5,475.0
1980-08-20,476.5,477.25,472.5,474.0,830.0
1980-08-21,474.0,474.5,471.5,472.0,314.0
1980-08-22,472.0,472.75,467.0,470.25,662.0
1980-08-25,469.5,472.5,468.0,472.25,767.0
1980-08-26,476.0,476.25,473.5,474.5,320.0
1980-08-27,475.0,478.25,474.0,476.25,1259.0
1980-08-28,476.0,476.75,474.75,475.0,847.0
1980-08-29,477.0,482.0,476.5,481.75,1485.0
1980-09-02,482.0,490.0,482.0,490.0,1293.0
1980-09-03,489.0,495.0,487.0,490.5,1578.0
1980-09-04,490.5,491.5,487.0,488.5,1586.0
1980-09-05,489.0,496.0,489.0,494.5,3078.0
1980-09-08,498.0,502.5,496.25,496.5,1449.0
1980-09-09,494.5,496.75,492.5,493.25,735.0
1980-09-10,493.5,495.0,491.5,492.0,1626.0
1980-09-11,491.5,495.0,490.25,493.0,671.0
