DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1988-11-30,732.0,732.0,732.0,732.0,1.0
1988-12-01,732.0,732.0,732.0,732.0,0.0
1988-12-02,732.0,732.0,732.0,732.0,0.0
1988-12-05,732.0,732.0,732.0,732.0,0.0
1988-12-06,732.0,732.0,732.0,732.0,0.0
1988-12-07,732.0,732.0,732.0,732.0,0.0
1988-12-08,732.0,732.0,732.0,732.0,0.0
1988-12-09,732.0,732.0,732.0,732.0,0.0
1988-12-12,732.0,732.0,732.0,732.0,0.0
1988-12-13,732.0,732.0,732.0,732.0,0.0
1988-12-14,732.0,732.0,732.0,732.0,0.0
1988-12-15,730.0,730.0,730.0,730.0,0.0
1988-12-16,730.0,730.0,730.0,730.0,0.0
1988-12-19,734.0,734.0,734.0,734.0,0.0
1988-12-20,734.0,734.0,734.0,734.0,0.0
1988-12-21,734.0,734.0,734.0,734.0,0.0
1988-12-22,729.0,729.0,729.0,729.0,0.0
1988-12-23,729.0,729.0,729.0,729.0,0.0
1988-12-27,729.0,729.0,729.0,729.0,0.0
1988-12-28,729.0,729.0,729.0,729.0,0.0
1988-12-29,729.0,729.0,729.0,729.0,0.0
1988-12-30,729.0,729.0,729.0,729.0,0.0
1989-01-03,734.0,734.0,734.0,734.0,0.0
1989-01-04,734.0,734.0,734.0,734.0,0.0
1989-01-05,744.0,744.0,744.0,744.0,0.0
1989-01-06,739.0,739.0,739.0,739.0,0.0
1989-01-09,739.0,739.0,739.0,739.0,0.0
1989-01-10,739.0,739.0,739.0,739.0,0.0
1989-01-11,739.0,739.0,739.0,739.0,0.0
1989-01-12,739.0,739.0,739.0,739.0,0.0
1989-01-13,744.0,744.0,744.0,744.0,0.0
1989-01-16,735.0,735.0,735.0,735.0,0.0
1989-01-17,735.0,735.0,735.0,735.0,0.0
1989-01-18,735.0,735.0,735.0,735.0,0.0
1989-01-19,735.0,735.0,735.0,735.0,0.0
1989-01-20,735.0,735.0,735.0,735.0,0.0
1989-01-23,735.0,735.0,735.0,735.0,0.0
1989-01-24,742.0,742.0,742.0,742.0,0.0
1989-01-25,745.0,745.0,745.0,745.0,0.0
1989-01-26,753.0,753.0,753.0,753.0,0.0
1989-01-27,758.0,758.0,758.0,758.0,0.0
1989-01-30,758.0,758.0,758.0,758.0,0.0
1989-01-31,756.0,756.0,756.0,756.0,0.0
1989-02-01,756.0,756.0,756.0,756.0,0.0
1989-02-02,759.0,759.0,759.0,759.0,0.0
1989-02-03,762.0,762.0,762.0,762.0,0.0
1989-02-06,764.0,764.0,764.0,764.0,0.0
1989-02-07,764.0,764.0,764.0,764.0,0.0
1989-02-08,767.0,767.0,767.0,767.0,0.0
1989-02-09,775.0,775.0,775.0,775.0,0.0
1989-02-10,777.0,777.0,777.0,777.0,0.0
1989-02-13,783.0,783.0,783.0,783.0,0.0
1989-02-14,780.0,784.0,780.0,784.0,4.0
1989-02-15,783.0,783.0,783.0,783.0,0.0
1989-02-16,778.0,780.0,775.0,779.0,9.0
1989-02-17,779.0,779.0,779.0,779.0,0.0
1989-02-21,784.0,785.0,784.0,785.0,2.0
1989-02-22,784.0,784.0,784.0,784.0,0.0
1989-02-23,782.0,782.0,782.0,782.0,0.0
1989-02-24,784.0,784.0,784.0,784.0,0.0
1989-02-27,784.0,785.0,784.0,785.0,1.0
1989-02-28,784.0,786.0,783.0,786.0,7.0
1989-03-01,786.0,788.0,786.0,788.0,1.0
1989-03-02,790.0,790.0,790.0,790.0,0.0
1989-03-03,790.0,790.0,790.0,790.0,4.0
1989-03-06,795.0,795.0,795.0,795.0,2.0
1989-03-07,797.0,797.0,797.0,797.0,3.0
1989-03-08,793.0,793.0,793.0,793.0,0.0
1989-03-09,802.0,802.0,802.0,802.0,0.0
1989-03-10,802.0,802.0,802.0,802.0,0.0
1989-03-13,805.0,805.0,805.0,805.0,0.0
1989-03-14,802.0,802.0,802.0,802.0,0.0
1989-03-15,802.0,802.0,802.0,802.0,0.0
1989-03-16,800.0,800.0,800.0,800.0,0.0
1989-03-17,800.0,800.0,800.0,800.0,0.0
1989-03-20,795.0,795.0,795.0,795.0,0.0
1989-03-21,794.0,794.0,794.0,794.0,0.0
1989-03-22,794.0,794.0,794.0,794.0,0.0
1989-03-23,794.0,794.0,794.0,794.0,0.0
1989-03-27,795.0,795.0,794.0,794.0,1.0
1989-03-28,796.0,796.0,796.0,796.0,0.0
1989-03-29,798.0,798.0,798.0,798.0,0.0
1989-03-30,802.0,802.0,799.0,799.0,1.0
1989-03-31,798.0,799.0,798.0,799.0,2.0
1989-04-03,805.0,805.0,805.0,805.0,0.0
1989-04-04,805.0,805.0,805.0,805.0,0.0
1989-04-05,800.0,804.0,800.0,804.0,2.0
1989-04-06,808.0,808.0,808.0,808.0,1.0
1989-04-07,808.0,808.0,808.0,808.0,0.0
1989-04-10,811.0,811.0,809.0,811.0,2.0
1989-04-11,813.0,814.0,813.0,813.0,5.0
1989-04-12,816.0,816.0,815.0,815.0,65.0
1989-04-13,815.0,816.0,815.0,815.0,30.0
1989-04-14,816.0,816.0,816.0,816.0,1.0
1989-04-17,821.0,836.0,821.0,836.0,5.0
1989-04-18,830.0,830.0,830.0,830.0,0.0
1989-04-19,835.0,837.0,835.0,837.0,38.0
1989-04-20,845.0,852.0,845.0,850.0,1.0
1989-04-21,880.0,880.0,880.0,880.0,0.0
1989-04-24,885.0,890.0,883.0,890.0,33.0
1989-04-25,890.0,905.0,886.0,888.0,108.0
1989-04-26,886.0,897.0,881.0,897.0,37.0
1989-04-27,897.0,897.0,891.0,893.0,20.0
1989-04-28,895.0,895.0,893.0,895.0,2.0
1989-05-01,900.0,902.0,900.0,900.0,1.0
1989-05-02,897.0,897.0,897.0,897.0,1.0
1989-05-03,898.0,902.0,897.0,897.0,22.0
1989-05-04,890.0,896.0,890.0,892.0,3.0
1989-05-05,891.0,899.0,890.0,899.0,9.0
1989-05-08,899.0,902.0,899.0,899.0,3.0
1989-05-09,887.0,888.0,887.0,888.0,2.0
1989-05-10,878.0,884.0,878.0,884.0,2.0
1989-05-11,885.0,885.0,882.0,882.0,5.0
1989-05-12,882.0,882.0,882.0,882.0,0.0
1989-05-15,879.0,880.0,875.0,877.0,12.0
1989-05-16,877.0,877.0,860.0,860.0,1.0
1989-05-17,852.0,865.0,852.0,865.0,0.0
1989-05-18,871.0,871.0,871.0,871.0,2.0
1989-05-19,882.0,882.0,882.0,882.0,0.0
1989-05-22,882.0,882.0,882.0,882.0,0.0
1989-05-23,884.0,890.0,884.0,890.0,23.0
1989-05-24,890.0,890.0,890.0,890.0,3.0
1989-05-25,889.0,890.0,889.0,890.0,4.0
1989-05-26,888.0,888.0,885.0,886.0,1.0
1989-05-30,884.0,886.0,884.0,886.0,2.0
1989-05-31,890.0,892.0,887.0,892.0,26.0
1989-06-01,887.0,889.0,887.0,889.0,2.0
1989-06-02,892.0,895.0,890.0,895.0,11.0
1989-06-05,890.0,895.0,890.0,895.0,5.0
1989-06-06,894.0,894.0,894.0,894.0,1.0
1989-06-07,894.0,897.0,893.0,894.0,11.0
1989-06-08,891.0,892.0,890.0,892.0,3.0
1989-06-09,889.0,894.0,889.0,894.0,21.0
1989-06-12,892.5,892.5,891.0,892.0,20.0
1989-06-13,892.0,892.0,881.0,881.0,13.0
1989-06-14,878.0,879.0,878.0,879.0,2.0
