DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
1988-12-01,1866.0,1866.0,1866.0,1866.0,0.0
1988-12-02,1888.0,1888.0,1888.0,1888.0,0.0
1988-12-05,1860.0,1860.0,1860.0,1860.0,0.0
1988-12-06,1864.0,1864.0,1864.0,1864.0,0.0
1988-12-07,1903.0,1903.0,1903.0,1903.0,0.0
1988-12-08,1893.0,1893.0,1893.0,1893.0,0.0
1988-12-09,1901.0,1901.0,1901.0,1901.0,0.0
1988-12-12,1923.0,1923.0,1923.0,1923.0,0.0
1988-12-13,1934.0,1934.0,1934.0,1934.0,0.0
1988-12-14,1934.0,1934.0,1934.0,1934.0,0.0
1988-12-15,1972.0,1972.0,1972.0,1972.0,0.0
1988-12-16,1973.0,1973.0,1973.0,1973.0,0.0
1988-12-19,2048.0,2048.0,2048.0,2048.0,0.0
1988-12-20,2051.0,2051.0,2051.0,2051.0,0.0
1988-12-21,2130.0,2130.0,2130.0,2130.0,0.0
1988-12-22,2073.0,2073.0,2073.0,2073.0,0.0
1988-12-23,2064.0,2064.0,2064.0,2064.0,0.0
1988-12-28,2089.0,2089.0,2089.0,2089.0,0.0
1988-12-29,2108.0,2108.0,2108.0,2108.0,0.0
1988-12-30,2151.0,2151.0,2151.0,2151.0,3.0
1989-01-03,2130.0,2130.0,2130.0,2130.0,0.0
1989-01-04,2134.0,2134.0,2134.0,2134.0,11.0
1989-01-05,2108.0,2108.0,2103.0,2108.0,5.0
1989-01-06,2117.0,2117.0,2117.0,2117.0,5.0
1989-01-09,2117.0,2117.0,2117.0,2117.0,5.0
1989-01-10,2028.0,2028.0,2021.0,2028.0,29.0
1989-01-11,2036.0,2038.0,2036.0,2038.0,10.0
1989-01-12,1951.0,1951.0,1951.0,1951.0,1.0
1989-01-13,1995.0,1995.0,1977.0,1977.0,16.0
1989-01-16,1964.0,1964.0,1964.0,1964.0,0.0
1989-01-17,1986.0,1986.0,1986.0,1986.0,13.0
1989-01-18,1960.0,1960.0,1960.0,1960.0,3.0
1989-01-19,2010.0,2010.0,2010.0,2010.0,35.0
