DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-03-17,1804.0,1804.0,1804.0,1804.0,0.0
2023-03-20,1824.4,1824.4,1824.4,1824.4,0.0
2023-03-21,1857.4,1857.4,1857.4,1857.4,0.0
2023-03-22,1807.2,1807.2,1807.2,1807.2,0.0
2023-03-23,1798.0,1798.0,1798.0,1798.0,0.0
2023-03-24,1812.0,1812.0,1812.0,1812.0,0.0
2023-03-27,1830.9,1830.9,1830.9,1830.9,0.0
2023-03-28,1830.7,1830.7,1830.7,1830.7,0.0
2023-03-29,1849.4,1849.4,1849.4,1849.4,0.0
2023-03-30,1845.9,1845.9,1845.9,1845.9,0.0
2023-03-31,1882.2,1882.2,1882.2,1882.2,0.0
2023-04-03,1881.4,1881.4,1881.4,1881.4,0.0
2023-04-04,1846.3,1846.3,1846.3,1846.3,0.0
2023-04-05,1828.9,1828.9,1828.9,1828.9,0.0
2023-04-06,1830.5,1830.5,1830.5,1830.5,0.0
2023-04-10,1848.8,1848.8,1848.8,1848.8,0.0
2023-04-11,1863.3,1863.3,1863.3,1863.3,0.0
2023-04-12,1849.7,1849.7,1849.7,1849.7,0.0
2023-04-13,1873.6,1873.6,1873.6,1873.6,0.0
2023-04-14,1857.6,1857.6,1857.6,1857.6,0.0
2023-04-17,1879.3,1879.3,1879.3,1879.3,0.0
2023-04-18,1871.6,1871.6,1871.6,1871.6,0.0
2023-04-19,1875.2,1875.2,1875.2,1875.2,0.0
2023-04-20,1864.1,1864.1,1864.1,1864.1,0.0
2023-04-21,1867.2,1867.2,1867.2,1867.2,0.0
2023-04-24,1864.0,1864.0,1864.0,1864.0,0.0
2023-04-25,1819.3,1819.3,1819.3,1819.3,0.0
2023-04-26,1802.8,1802.8,1802.8,1802.8,0.0
2023-04-27,1822.9,1822.9,1822.9,1822.9,0.0
2023-04-28,1842.2,1842.2,1842.2,1842.2,0.0
2023-05-01,1842.3,1842.3,1842.3,1842.3,0.0
2023-05-02,1803.8,1803.8,1803.8,1803.8,0.0
2023-05-03,1809.4,1809.4,1809.4,1809.4,0.0
2023-05-04,1788.7,1788.7,1788.7,1788.7,0.0
2023-05-05,1830.7,1830.7,1830.7,1830.7,0.0
2023-05-08,1825.6,1825.6,1825.6,1825.6,0.0
2023-05-09,1820.6,1820.6,1820.6,1820.6,0.0
2023-05-10,1830.1,1830.1,1830.1,1830.1,0.0
2023-05-11,1815.0,1815.0,1815.0,1815.0,0.0
2023-05-12,1810.4,1810.4,1810.4,1810.4,0.0
2023-05-15,1831.0,1831.0,1831.0,1831.0,0.0
2023-05-16,1805.7,1805.7,1805.7,1805.7,0.0
2023-05-17,1844.1,1844.1,1844.1,1844.1,0.0
2023-05-18,1856.1,1856.1,1856.1,1856.1,0.0
2023-05-19,1843.6,1843.6,1843.6,1843.6,0.0
2023-05-22,1865.5,1865.5,1865.5,1865.5,0.0
2023-05-23,1857.6,1857.6,1857.6,1857.6,0.0
2023-05-24,1836.1,1836.1,1836.1,1836.1,0.0
2023-05-25,1822.9,1822.9,1822.9,1822.9,0.0
2023-05-26,1841.5,1841.5,1841.5,1841.5,0.0
2023-05-30,1835.1,1835.1,1835.1,1835.1,0.0
2023-05-31,1816.5,1816.5,1816.5,1816.5,0.0
2023-06-01,1834.8,1834.8,1834.8,1834.8,0.0
2023-06-02,1900.9,1900.9,1900.9,1900.9,0.0
2023-06-05,1875.0,1875.0,1875.0,1875.0,0.0
2023-06-06,1925.0,1925.0,1925.0,1925.0,0.0
2023-06-07,1959.8,1959.8,1959.8,1959.8,0.0
2023-06-08,1958.6,1958.6,1958.6,1958.6,0.0
2023-06-09,1943.4,1943.4,1943.4,1943.4,0.0
2023-06-12,1950.3,1950.3,1950.3,1950.3,0.0
2023-06-13,1974.2,1974.2,1974.2,1974.2,0.0
