DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2019-06-20,1581.1,1581.1,1581.1,1581.1,0.0
2019-06-21,1566.0,1566.0,1566.0,1566.0,0.0
2019-06-24,1550.4,1550.4,1550.4,1550.4,0.0
2019-06-25,1538.4,1538.4,1538.4,1538.4,0.0
2019-06-26,1534.5,1534.5,1534.5,1534.5,0.0
2019-06-27,1562.5,1562.5,1562.5,1562.5,0.0
2019-06-28,1582.0,1582.0,1582.0,1582.0,0.0
2019-07-01,1586.5,1586.5,1586.5,1586.5,0.0
2019-07-02,1579.3,1579.3,1579.3,1579.3,0.0
2019-07-03,1591.8,1591.8,1591.8,1591.8,0.0
2019-07-05,1592.5,1592.5,1592.5,1592.5,0.0
2019-07-08,1578.4,1578.4,1578.4,1578.4,0.0
2019-07-09,1578.1,1578.1,1578.1,1578.1,0.0
2019-07-10,1581.6,1581.6,1581.6,1581.6,0.0
2019-07-11,1573.5,1573.5,1573.5,1573.5,0.0
2019-07-12,1586.1,1586.1,1586.1,1586.1,0.0
2019-07-15,1578.8,1578.8,1578.8,1578.8,0.0
2019-07-16,1579.6,1579.6,1579.6,1579.6,0.0
2019-07-17,1565.9,1565.9,1565.9,1565.9,0.0
2019-07-18,1571.0,1571.0,1571.0,1571.0,0.0
2019-07-19,1563.3,1563.3,1563.3,1563.3,0.0
2019-07-22,1561.6,1561.6,1561.6,1561.6,0.0
2019-07-23,1570.6,1570.6,1570.6,1570.6,0.0
2019-07-24,1597.0,1597.0,1597.0,1597.0,0.0
2019-07-25,1577.1,1577.1,1577.1,1577.1,0.0
2019-07-26,1595.1,1595.1,1595.1,1595.1,0.0
2019-07-29,1584.6,1584.6,1584.6,1584.6,0.0
2019-07-30,1600.8,1600.8,1600.8,1600.8,0.0
2019-07-31,1592.2,1592.2,1592.2,1592.2,0.0
2019-08-01,1565.8,1565.8,1565.8,1565.8,0.0
2019-08-02,1549.8,1549.8,1549.8,1549.8,0.0
2019-08-05,1482.3,1482.3,1482.3,1482.3,0.0
2019-08-06,1501.1,1501.1,1501.1,1501.1,0.0
2019-08-07,1502.0,1502.0,1502.0,1502.0,0.0
2019-08-08,1534.9,1534.9,1534.9,1534.9,0.0
2019-08-09,1515.5,1515.5,1515.5,1515.5,0.0
2019-08-12,1494.9,1494.9,1494.9,1494.9,0.0
2019-08-13,1514.9,1514.9,1514.9,1514.9,0.0
2019-08-14,1470.6,1470.6,1470.6,1470.6,0.0
2019-08-15,1465.2,1465.2,1465.2,1465.2,0.0
2019-08-16,1495.2,1495.2,1495.2,1495.2,0.0
2019-08-19,1510.1,1510.1,1510.1,1510.1,0.0
2019-08-20,1497.6,1497.6,1497.6,1497.6,0.0
2019-08-21,1514.9,1514.9,1514.9,1514.9,0.0
2019-08-22,1509.1,1509.1,1509.1,1509.1,0.0
2019-08-23,1465.0,1465.0,1465.0,1465.0,0.0
2019-08-26,1480.6,1480.6,1480.6,1480.6,0.0
2019-08-27,1457.9,1457.9,1457.9,1457.9,0.0
2019-08-28,1475.4,1475.4,1475.4,1475.4,0.0
2019-08-29,1498.7,1498.7,1498.7,1498.7,0.0
2019-08-30,1496.5,1496.5,1496.5,1496.5,0.0
2019-09-03,1471.8,1471.8,1471.8,1471.8,0.0
2019-09-04,1485.2,1485.2,1485.2,1485.2,0.0
2019-09-05,1508.2,1508.2,1508.2,1508.2,0.0
2019-09-06,1507.0,1507.0,1507.0,1507.0,0.0
2019-09-09,1523.0,1523.0,1523.0,1523.0,0.0
2019-09-10,1545.5,1545.5,1545.5,1545.5,0.0
2019-09-11,1585.0,1585.0,1585.0,1585.0,0.0
2019-09-12,1586.4,1586.4,1586.4,1586.4,0.0
2019-09-13,1588.8,1588.8,1588.8,1588.8,0.0
2019-09-16,1592.9,1592.9,1592.9,1592.9,0.0
2019-09-17,1588.6,1588.6,1588.6,1588.6,0.0
2019-09-18,1576.9,1576.9,1576.9,1576.9,0.0
2019-09-19,1569.8,1569.8,1569.8,1569.8,0.0
2019-09-20,1568.1,1568.1,1568.1,1568.1,0.0
2019-09-23,1568.3,1568.3,1568.3,1568.3,0.0
2019-09-24,1541.7,1541.7,1541.7,1541.7,0.0
2019-09-25,1559.0,1559.0,1559.0,1559.0,0.0
2019-09-26,1543.1,1543.1,1543.1,1543.1,0.0
2019-09-27,1529.0,1529.0,1529.0,1529.0,0.0
2019-09-30,1532.0,1532.0,1532.0,1532.0,0.0
2019-10-01,1499.8,1499.8,1499.8,1499.8,0.0
2019-10-02,1482.3,1482.3,1482.3,1482.3,0.0
2019-10-03,1493.6,1493.6,1493.6,1493.6,0.0
2019-10-04,1507.3,1507.3,1507.3,1507.3,0.0
2019-10-07,1504.0,1504.0,1504.0,1504.0,0.0
2019-10-08,1481.1,1481.1,1481.1,1481.1,0.0
2019-10-09,1487.6,1487.6,1487.6,1487.6,0.0
2019-10-10,1496.5,1496.5,1496.5,1496.5,0.0
2019-10-11,1519.3,1519.3,1519.3,1519.3,0.0
2019-10-14,1512.8,1512.8,1512.8,1512.8,0.0
2019-10-15,1532.3,1532.3,1532.3,1532.3,0.0
2019-10-16,1532.0,1532.0,1532.0,1532.0,0.0
2019-10-17,1549.2,1549.2,1549.2,1549.2,0.0
2019-10-18,1544.4,1544.4,1544.4,1544.4,0.0
2019-10-21,1558.2,1558.2,1558.2,1558.2,0.0
2019-10-22,1558.1,1558.1,1558.1,1558.1,0.0
2019-10-23,1562.3,1562.3,1562.3,1562.3,0.0
2019-10-24,1559.6,1559.6,1559.6,1559.6,0.0
2019-10-25,1566.9,1566.9,1566.9,1566.9,0.0
2019-10-28,1582.0,1582.0,1582.0,1582.0,0.0
2019-10-29,1584.6,1584.6,1584.6,1584.6,0.0
2019-10-30,1581.1,1581.1,1581.1,1581.1,0.0
2019-10-31,1570.0,1570.0,1570.0,1570.0,0.0
2019-11-01,1597.0,1597.0,1597.0,1597.0,0.0
2019-11-04,1604.4,1604.4,1604.4,1604.4,0.0
2019-11-05,1606.0,1606.0,1606.0,1606.0,0.0
2019-11-06,1598.8,1598.8,1598.8,1598.8,0.0
2019-11-07,1600.4,1600.4,1600.4,1600.4,0.0
2019-11-08,1605.4,1605.4,1605.4,1605.4,0.0
2019-11-11,1603.4,1603.4,1603.4,1603.4,0.0
2019-11-12,1602.3,1602.3,1602.3,1602.3,0.0
2019-11-13,1599.3,1599.3,1599.3,1599.3,0.0
2019-11-14,1596.0,1596.0,1596.0,1596.0,0.0
2019-11-15,1603.7,1603.7,1603.7,1603.7,0.0
2019-11-18,1598.5,1598.5,1598.5,1598.5,0.0
2019-11-19,1605.4,1605.4,1605.4,1605.4,0.0
2019-11-20,1599.7,1599.7,1599.7,1599.7,0.0
2019-11-21,1591.4,1591.4,1591.4,1591.4,0.0
2019-11-22,1598.4,1598.4,1598.4,1598.4,0.0
2019-11-25,1629.7,1629.7,1629.7,1629.7,0.0
2019-11-26,1634.5,1634.5,1634.5,1634.5,0.0
2019-11-27,1641.5,1641.5,1641.5,1641.5,0.0
2019-11-29,1630.1,1630.1,1630.1,1630.1,0.0
2019-12-02,1615.7,1615.7,1615.7,1615.7,0.0
2019-12-03,1610.8,1610.8,1610.8,1610.8,0.0
2019-12-04,1620.5,1620.5,1620.5,1620.5,0.0
2019-12-05,1623.3,1623.3,1623.3,1623.3,0.0
2019-12-06,1643.3,1643.3,1643.3,1643.3,0.0
2019-12-09,1636.8,1636.8,1636.8,1636.8,0.0
2019-12-10,1639.1,1639.1,1639.1,1639.1,0.0
2019-12-11,1640.2,1640.2,1640.2,1640.2,0.0
2019-12-12,1651.8,1651.8,1651.8,1651.8,0.0
2019-12-13,1646.7,1646.7,1646.7,1646.7,0.0
2019-12-16,1657.9,1657.9,1657.9,1657.9,0.0
2019-12-17,1664.0,1664.0,1664.0,1664.0,0.0
2019-12-18,1671.1,1671.1,1671.1,1671.1,0.0
2019-12-19,1673.8,1673.8,1673.8,1673.8,0.0
2019-12-20,1679.0,1679.0,1679.0,1679.0,0.0
2019-12-23,1680.2,1680.2,1680.2,1680.2,0.0
2019-12-24,1683.8,1683.8,1683.8,1683.8,0.0
2019-12-26,1684.7,1684.7,1684.7,1684.7,0.0
2019-12-27,1674.1,1674.1,1674.1,1674.1,0.0
2019-12-30,1670.4,1670.4,1670.4,1670.4,0.0
2019-12-31,1675.2,1675.2,1675.2,1675.2,0.0
2020-01-02,1673.5,1673.5,1673.5,1673.5,0.0
